"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3410","S109","internal fragmentation 是當被分配到的超過需要的，而沒有用到的部分就是內碎
external fragmentation 是當所有未被分配的pages 加起來可以分配，但因為不是連續的，無法分配造成浪費
internal fragmentation is associated witn the paging memory management scheme","3","",""
"2","3243","S015","Internal fragmentation: the memory allocated to the process is more than it need, wasting the allocated memory.
External fragmentation: the total space of memory is enough, but there too small to contain a process.

External fragmentation is associated with paging memory since paging technique solves the problem of external fragmentation. But it still has the internal fragmentation problem.","2","Paging 部分先答 External 再提 Internal，說法混淆，主要論點指向 External",""
"3","6595","S054","internal frag.:allocated memory block is larger than required memory , so remain memory stay allocated and unused.

external frag. : memory frequently allocated and delocated caused many gaps that there is enough memory in total but cannot provide a continuous memory space for required.

external fragmentation  ","2","Paging 答 External Fragmentation，應為 Internal",""
"4","4469","S117","internal: 分給process用的memory超過該process的需要，但因該空間不被其他process使用，因此造成浪費
external: memory 空間超過運行process需要的空間，但memory中的連續空間太小，無法分給process
externel fragmentation is typically asscociated with the paging memory management scheme.","2","Paging 答 External Fragmentation，應為 Internal",""
"5","3571","S093","internal fragmentation是指將memory可以切成需多相同大小的block進行使用，因為block大小相同，所以有些block中被實際存取的內容比block小，沒有被用到的部分即是interna fragmentation
external fragmentation是指將memory切成不同大小的空間去做存取，因為memory的存取需要連續，所以經過一系列的存取和釋放空間，整段memory會有許多大小不一可使用的memory空間，如果需要一段memory space大於每一個可用的空間但小於所有可用空間的和，即為external fragmentation
每一個Paging memory management scheme都會有internal fragmention的問題","3","",""
"6","4205","S012","internal fragmentation是在一個page內有許多沒用到的記憶體空間
external fragmentation是有許多未被配置的記憶體空間，但不連續，所以沒有一塊足夠大的連續記憶體空間可以分配

internal fragmentation is associated with paging memory managemeny scheme，因為page size大於需求太多的話就會在一個page中出現internal fragmentation
","3","",""
"7","5076","S108","internal fragmentation: 分配給 process 使用的記憶體大小超過其所要求的，而那些多出來的記憶起空間變得沒有被使用。
external fragemetation: 整個記憶體空間所剩餘的大小可以滿足要求的空間大小，但是因為其 free space 不連續，導致要求無法滿足；通常發生在很多小小的 free hole 產生時導致。
paging memory management scheme 通常遭受 internal fragementation 的問題，頁框大小的整數倍無法剛好符合所要求的空間，便會有無用的空間浪費。","3","",""
"8","3747","S099","1. Internal Fragmentation: 當 OS 分配的記憶體大於 process 實際請求的，在所被分配的記憶體中，內部未被使用浪費掉的空間。
    External Fragmentation: 所以可用記憶體的空間總和大於 process 所需的，但因為記憶體不連續導致 OS 無 法分配給該 process，稱為 External Fragmentation

2. Internal Fragmentation","3","",""
"9","4941","S070","1.internal fragmention:當process allocate一個比他需求更大的memory時，會導致部分memory浪費無法被使用(ex:他需要3KB但要了4KB)
external fragmention: memory中有總和夠用的空間可以allocate，但他們不連續無法當成一個block
2.internal fragmention，更大的page size會導致更嚴重的internal fragmention","3","",""
"10","4955","S080","internal fragmentation is happened when one process is allocated more memory than it need, happened when the memory is allocated in fixed size block.
external fragmentation is that when there is still have enough memory for one process, but it is not contiguous or in the same block.
the internal fragmentation is typically associated with the paging memory management scheme.","3","",""
"11","4608","S003","Internal is that the allocated is more than needed, and the unused portion is unused and allocated.
The External means that the free space seems enough but actually scattered, which make it having lots of small holes, and make us hard to fill in those holes.
The paging is actually helping with the external fragmentation.","2","Paging 答 helping with external fragmentation，應為 Internal Fragmentation",""
"12","4008","S035","q1 :
Internal fragmentation : when the system allocate a memory space or block larger than the memory request, leads to some memory allocated but unused.

External fragmentation : the block in the memory system are not continuous(may be caused by frequent allocation/deallocation). This may lead to a case : although the total memory space is enough for a memory request, the system doesn't have a continuous and large enough space for it, then the allocation is failed.
q2:
Internal fragmentation, the page size may larger than the memory request.","3","",""
"13","4966","S037","Internal fragmentation is that when a segment of memory allocate to a process, the non-used allocated memory. External fragmentation is that there are enough free space in the memory. But there is no any free space is large enough for the request. Internal fragmentation, because it use paging and virtual memory to resolve the problem of non-contiguous memory which is external fragmentation. But paging result woud in internal fragmentation.","3","",""
"14","3868","S096","Internal fragmentation - associated with paging memory management. when process doesn't utilize the full size of the page, the free memory of the page is wasted, because it can't be used by other processes.

External fragmentation - when processes are given contiguous chunk of physical memory, it may result in chunks of used memory between processes' memory. This chunks may be too small for another process, thus they are wasted.
","3","",""
"15","4788","S013","1. Internal: a partition is too much for a process
External: a partition is too small for a process
2.External Fragmentation","1","Internal/External 定義過於簡略且描述混亂；Paging 答 External，應為 Internal",""
"16","4409","S040","internal: os assign to process but process doesn't use all memory
external: memory region between many contiguous process memory region
paging can prevent external fragment but stile has internal fragment.","3","",""
"17","2525","S124","Internal fragmentation and external fragmentation happen when partitioning memory. 
External fragmentation happens when, between two partitions, a hole of a size so small that no process can use it is left. Therefore, a portion of memory becomes unusable and is wasted.
Internal fragmentation happens when a partition is allocated to a process, but is too big for it to use it completely. Since this portion is allocated, another process cannot use it, and it becomes unusable and is wasted.
As pages are fixed-sized, most of the processes simply won't use all of it, which leads to internal fragmentation.","3","",""
"18","3429","S121","- Internal fragmentation occurs when a process has to much memory for it. It induce that there is a waste of memory because it does not use all its personal memory.
- External fragmentation occurs when the multiple fixed partition lead to some partitions that are not assigned to a process. It can became more serious with the time, because little memory holes increase with the time. 

The external fragmentation is typically associated with the paging memory management because it can solve partially the problem by managing where the stores the data in memory. It uses the concepts of frames (physical) and pages (logical) to solve it with the page table","1","External 定義描述偏差（非不連續概念）；Paging 答 External，應為 Internal",""
