"index","exam_answer_id","username","original_score","original_feedback"
"1","1591","S109","2.0",""
"2","1597","S015","2.0",""
"3","1541","S054","2.0",""
"4","1578","S117","2.0",""
"5","1530","S093","2.0",""
"6","1564","S012","2.0",""
"7","1498","S108","2.0",""
"8","2066","S099","1.0",""
"9","1568","S070","2.0",""
"10","1616","S080","1.0",""
"11","1539","S003","2.0",""
"12","1510","S035","2.0",""
"13","1531","S037","2.0",""
"14","1520","S096","1.0",""
"15","1554","S013","1.0",""
"16","1600","S040","2.0","Update 0407: 抱歉助教重新跑了一次，echo 有換行行為"
"17","1580","S124","2.0",""
"18","1641","S121","2.0",""
"19","6747","S068","0.0","hellow 是笑著說 hello 的意思嗎"
"20","1464","S102","2.0",""
"21","1787","S034","0.5",""
"22","5435","S084","0.0",""
"23","1779","S079","0.0",""
"24","1445","S122","0.0",""
"25","1521","S086","0.0",""
"26","1545","S052","0.5",""
"27","1552","S033","0.0",""
"28","1594","S123","0.0",""
"29","1532","S027","2.0",""
"30","1463","S081","0.5",""
"31","1456","S008","2.0",""
"32","2423","S078","2.0",""
"33","1479","S087","2.0",""
"34","1473","S022","0.5",""
"35","2576","S110","2.0",""
"36","1537","S082","2.0",""
"37","1657","S105","2.0",""
"38","1582","S111","1.0",""
"39","1556","S085","2.0","Update 0407: 抱歉助教重新跑了一次，echo 有換行行為"
"40","1558","S004","2.0",""
"41","1470","S011","2.0",""
"42","2205","S046","2.0",""
"43","3436","S005","2.0",""
"44","4688","S061","0.0",""
"45","4480","S014","0.0",""
"46","1566","S028","2.0",""
"47","1538","S107","0.5",""
"48","5993","S126","0.0",""
"49","1744","S017","2.0",""
"50","1709","S115","0.0",""
"51","1536","S089","2.0",""
"52","1583","S009","0.5",""
"53","1515","S094","0.0","我知道你想講什麼但不是這樣"
"54","2816","S066","0.0",""
"55","3567","S041","2.0",""
"56","2262","S031","0.0",""
"57","1593","S116","2.0",""
"58","1821","S059","2.0",""
"59","3531","S064","0.0",""
"60","1547","S101","2.0",""
"61","1691","S103","2.0",""
"62","1814","S104","0.0",""
"63","6442","S023","0.0",""
"64","1416","S113","1.0",""
"65","1610","S055","2.0",""
"66","1622","S119","0.0",""
"67","2174","S067","0.0",""
"68","1733","S076","0.0",""
"69","6386","S074","0.0",""
"70","1596","S063","2.0",""
"71","1555","S090","2.0",""
"72","1700","S100","1.5","沒有逗號哦同學"
"73","1523","S114","1.0",""
"74","1500","S038","0.0",""
"75","1842","S047","2.0",""
"76","1667","S044","2.0",""
"77","1570","S075","2.0",""
"78","1501","S030","0.5",""
"79","1668","S106","1.0",""
"80","6125","S019","2.0",""
"81","1551","S020","2.0",""
"82","1477","S010","0.5",""
"83","2007","S091","0.5",""
"84","1480","S051","2.0",""
"85","1494","S039","2.0",""
"86","1585","S018","1.0","所以會輸出啥要講阿"
"87","2144","S049","2.0",""
"88","1665","S053","2.0",""
"89","1816","S092","1.0",""
"90","1612","S125","1.0",""
"91","1614","S021","1.0",""
"92","1603","S050","1.0",""
"93","1549","S036","0.5",""
"94","1625","S048","1.0",""
"95","2183","S112","0.0",""
"96","1497","S006","1.5","不會有逗號"
"97","1840","S026","0.0",""
"98","4229","S032","0.0",""
"99","1958","S057","0.0",""
"100","1800","S002","2.0",""
"101","1682","S007","2.0","Update 0407: 抱歉助教重新跑了一次，echo 有換行行為"
"102","1742","S016","0.0",""
"103","1672","S083","0.5",""
"104","1638","S088","0.0",""
"105","1918","S058","0.0",""
"106","1590","S043","0.0",""
"107","1526","S060","0.0",""
"108","1505","S024","2.0",""
"109","6266","S095","0.5",""
"110","1573","S077","2.0",""
"111","1655","S120","0.0",""
"112","1572","S073","0.0","我知道你想講什麼但不是這樣"
"113","1475","S069","2.0",""
"114","5055","S072","2.0",""
"115","4425","S042","0.0",""
"116","1518","S071","2.0",""
"117","2042","S062","2.0",""
"118","1746","S045","2.0",""
"119","1763","S056","2.0",""
"120","1575","S029","0.5",""
"121","5949","S065","0.0",""
"122","1729","S025","0.5",""
"123","1589","S098","2.0",""
