"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1831","S109","把memory切成page 的大小去分配；這樣就不用受限於連續分配的問題","0","(a)只描述一般paging而非demand paging的「需要時才載入」概念；(b)所述為paging的好處而非demand paging特有優勢",""
"2","1880","S015","Demand paging is a technique that only swap the pages when it's necessary. It is commonly used because it saves a lot of resource since it minimize the number of swapping.","2","",""
"3","2153","S117","透過valid bit檢查access的page是否在memory，如不在從secondory device (disk)中載入到memory，memory access比直接從disk讀資料更快，只載入需要的page到memory可節省memory用量","2","",""
"4","5037","S093","不用將整個process所需的page一次輸入到memory中，只需輸入目前所需的apge即可，這樣可以有更多的空間做到同時有許多process在執行","2","",""
"5","2160","S012","demand paging是在有需要的時候（process要reference這個page），才把他從second storage的swapping area交換出來，放到memory。
使用demand paging可以讓process的logical address規模超過physical address，讓更多process可以同時使用memory","2","",""
"6","2152","S108","在需要頁面時才將他載入記憶體，而非一開始就將 process 所需的所有頁面都一次載入。
此作法的好處是使得 process 的啟動速度快；另外也可以讓 process 所需的所有頁面大小大於 memory 的空間，因為可以在工作的途中再替換成需要的頁面。","2","",""
"7","6029","S099","1. 透過一個 valid/invalid 去看檢查該 page 是否在 memory 裡
2. More efficient","0.5","(a)僅提及valid/invalid bit但未說明「需要時才載入」核心概念；(b)理由過於空泛",""
"8","5679","S070","用valid/invalid bit(1/0)來表示那個page的資料是不是有用的，0表示沒用或是不在memory中，方便選擇page去做替換","0.5","(a)僅說明valid/invalid bit機制，未描述「需要時才載入」的核心概念；(b)未說明為何被廣泛使用",""
"9","2254","S080","separate a process into different page, only load the page which is needed to RAM, so that RAM can have many processes with part of them, it commonly used because it can let process save more time to swap the whole process in and out.","2","",""
"10","1753","S003","Demand paging means we swap in the frames only when it is requested.
The virtual memory use a valid bit to show whether the page is valid or not.
It can make good use of the page table, since the pages usually more than frames.
And save spaces since some frames are not often required. Only swap in when we need it.
","2","",""
"11","2058","S035","q1 : demand paging : The system load in the page when we need it.
q2 : because we have limit physical memory space, use demand paging can load the page only when we need it, save the memory usage, and more efficient. ","2","",""
"12","2347","S037","page與frame是分開的，page比frame還要多，因此系統會把用不到的page swap out到storage，在遭遇page fault的時候再swap in，能夠大幅減少physical frame的需求，減少page swap並增加效率","2","",""
"13","6046","S096","When a process starts instead of loading the complete program into the memory, only the required parts to continue execution are loaded to the memory.","1","(a)正確描述需要時才載入的概念；(b)未說明為何被廣泛使用",""
"14","2004","S013","By using the concept of virtual paging, it achieves that(Why common use?) no limitation of the contiguous physical address and it's easy to check if the needs is on the memory by viewing the page table; if the needs is not on the memory, then do ""swap in"" from the disk and record it on demand page. ","0.5","(a)提及swap in機制但混淆了demand paging與一般paging概念；(b)所述為一般paging好處非demand paging特有",""
"15","2142","S040","in virtual memory system, process won't get physical memory for its all logical memory address, only ask for what it need. If a process need more memory, it will demand paging. Use virtual memory system let our computer run more processes even all needed memory of these processes more then physical memory.","2","",""
"16","1897","S124","Demand paging is when a process needs a page from its logical address space that is not currently loaded in the physical address space to be loaded in one of the frames. ","1","(a)正確描述demand paging機制；(b)未說明為何被廣泛使用",""
"17","6488","S121","Demand paging is a concept when a process try to access to a data. Instead of accessing to the data thanks to the physical address (seen by the memory unit), it uses the logical address to simplify the memory management by the user, to secure the memory between the different users and by abstraction to allow more logical memory for a process than the actual physical memory. Therefore, when a process try to access to a data, it ask the MMU to translate the logical address to the physical address to get from a page, a frame.","0","(a)描述virtual memory與MMU位址轉換，未觸及demand paging核心機制；(b)所述為virtual memory一般優點",""
"18","2665","S068","讓執行中的 process 可以不用一次性載入所有需要的 memory frame / page，在有需要用到特定資料實在載入特定的 memory blocks。常被使用的原因有實作簡單，以及這樣的做法可以使比較大的 process 使用相對小的 memory blocks，從而增加整體運行的所需記憶體上限，減少 memory and disk 之間的資訊交換次數，增加效率，吞吐量等等。","2","",""
"19","1933","S102","demand pageing 是要使用時才把這個page弄到memory裡，他這樣可以讓virtual momory比physcial memory大","2","",""
"20","2082","S034","Demand paging is that bring a page into memory when it is needed.
It commonly used because it can reduce memory size.","2","",""
"21","5587","S084","demand paging的核心概念是需要多少就用多少，相較於其他paging方法，較不會浪費，假如是valid bit，代表這個page在memory裡；假如是invalid bit，代表可能是非法存取或這個page不在memory裡。","2","",""
"22","2458","S079","Since the logical address space is often larger than the physical memory, we will not keep all the data in memory but often load the required page from physical memory when needed to decrease the CPU usage.","2","",""
"23","6564","S122","損害頁面，導致資料丟失

因為很簡易","0","完全誤解demand paging概念，答非所問",""
"24","1964","S086","Because when the process executing, only part of logical address need to be in physical memory, so we only need these logical address in physical memory, this is called demand paging.","1","(a)描述部分載入概念但略顯含糊；(b)未說明為何被廣泛使用",""
"25","2187","S052","Demand paging is that a part of a process is allocated a block of physical memory only when a process needs to use that part of process. It is commonly used because each process only occupies a part of block in physical memory, then it allows multiple processes to share the physical memory.","2","",""
"26","2193","S033","paging將memory分成固定大小的空間，使的當多個process要使用memory時可以平行運作。","0","(a)僅描述一般paging而非demand paging「需要時才載入」機制；(b)所述非demand paging特有優勢",""
"27","6234","S123","If there is an invalid reference, the OS will bring the missing page into the memory; if the page is simply not in the memory, the process will be aborted.","0.5","(a)部分描述載入機制但邏輯有誤（page不在memory應觸發page fault而非abort）；(b)未說明為何被廣泛使用",""
"28","1986","S027","demand paging是指physical memory要的page,直接跟logical address 要","0","對demand paging機制理解錯誤，未掌握「需要時從disk載入」核心概念",""
"29","5393","S081","'demand paging' in the virtual memory implementation is allowing the pages to be properly executed so that virtual memory doesnt use physical memory so there is space to run this properly","0","對demand paging與virtual memory概念有根本性誤解，答非所問",""
"30","2317","S008","Virtual memory separates logical address space and physical memory space. It allows logical address space to be larger than the actual physical address space. The concept of demand paging means we only load the block we need into the memory. It is commonly used because it allows us to have much smaller resident set per process so we can load more processes, and allows us to run load process more conveniently and more efficient by just loaded the pages we need next.","2","",""
"31","5681","S078","no","0","未作答",""
"32","4813","S087","demand oaging指的是讓有需要的page再載入physical memory即可。因為virtual memory將logical memory和physical memory分開，且logical可以遠大於physical memory，而logical memory也允許部分載入physical memory。","2","",""
"33","5806","S022","A technique between logical memory and physical memory and to get faster access time.","0","描述過於空泛，未解釋demand paging的核心機制與使用原因",""
"34","3218","S110","only put recently used or need page in virtual memory, if needed page not in virtual memory, swap a victom page out and swap in needed page from disk","1","(a)正確描述demand paging的swap in機制；(b)未說明為何被廣泛使用",""
"35","2123","S082","a data or a resource is loaded to memory only when it is on demand. So the virtual memory can be much larger than physical memory, that is why we can run an 64GB game on a merely 8GB RAM.","2","",""
"36","2204","S105","只將執行時需要用到的 pages 載入 main memory。
可以減少每個 process 占用的 memory 大小，讓更多 process 有機會同時運行。","2","",""
"37","1956","S111","有被實際用到的page才會在實際的記憶體中，而沒有使用到的則會在儲存設備中。這樣可以使得logical memory大於physical memory。","2","",""
"38","2038","S085","將記憶體分為使用者邏輯位址與實體記憶體空間，在程式需要使用時才從後備空間放入主記憶體，暫時不用的資料可不被放入，大幅提升記憶體利用效率(邏輯位址數量>實體空間)","2","",""
"39","2059","S004","demand paging是指要用到的page才載入memory。可以更有效的使用memory空間","2","",""
"40","1562","S011","demand paging指的是CPU要求載入記憶體分頁。因為記憶體可能很大，所以等到有需要的時候再載入會比較方便。","1","(a)「CPU要求載入」說法不夠精確，但大致掌握需要時才載入概念；(b)理由僅說「比較方便」過於空泛",""
"41","6273","S046","Demand paging 會用 valid bit 跟 invalid bit 去區分，這樣的方法很直觀。","0.5","(a)僅提及valid/invalid bit但未說明「需要時才載入」核心概念；(b)理由「很直觀」過於空泛",""
"42","1617","S005","1. Only load the memory when needed
2. so it can have a large virtual memory with small physical memory","2","",""
"43","6032","S061","because the data is too much, it can be reduce the memory space by demand paging.","0.5","(a)未描述demand paging是什麼；(b)僅簡述減少memory空間但未深入",""
"44","1916","S028","virtual memory implementation是指logical address space與physical memory 的分離。當要進行execution時，只有部分的logical address space要在physical memory裡面，代表logical address space可以遠大於physical address space,讓一個physical memory可以分配給多個process

demand paging則是以一個bit表示，valid bit代表在尋找的page在memory中， invalid bit代表不在memory中","1","(a)僅以valid/invalid bit描述demand paging，未說明「需要時才載入」核心；(b)所述優勢歸因於virtual memory而非demand paging",""
