"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2408","S109","130 ns","","",""
"2","2481","S015","130ns","","",""
"3","6326","S054","117.25","","",""
"4","3533","S117","130","","",""
"5","2731","S093","(15 + 100) * 0.85 + (15 + 100 + 100) * 0.15 = 130ns","","",""
"6","3044","S012","30ns","","",""
"7","3880","S108","130ns","","",""
"8","2906","S099","127.75","","",""
"9","2369","S070","130ns","","",""
"10","3853","S080","130ns","","",""
"11","3382","S003","130ns","","",""
"12","3035","S035","130 ns","","",""
"13","3929","S037","130ns","","",""
"14","2461","S096","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130","","",""
"15","3767","S013","127.75ns","","",""
"16","2871","S040","130ns","","",""
"17","3111","S124","(100+15) * 0.85 + (100+100) * 0.15 = 127.75","","",""
"18","6347","S121","0.85*15ns + 0.15*200ns ","","",""
"19","6624","S068","130ns","","",""
"20","2613","S102","0.85*15+0.85*(15+100) = 85+25.5ns = 110.5ns","","",""
"21","3954","S034","EAT=0.85*(15+100)+0.15*(15+100+100)=97.75+32.25=130ns","","",""
"22","3198","S084","0.85*(15+100)+0.15*(15+100+100)=130ns","","",""
"23","3822","S079","130ns","","",""
"24","2278","S122","30ns","","",""
"25","4570","S086","0.85*115+0.15*215 =130 ns","","",""
"26","3490","S052","130ns","","",""
"27","3536","S033","30","","",""
"28","2701","S123","115*0.85+215*0.15=130ns","","",""
"29","2698","S027","(15+100)*0.85+(15+100+100)*0.15=131.5 ns","","",""
"30","1782","S081","130.00ns","","",""
"31","3024","S008","130ns","","",""
"32","3142","S078","200","","",""
"33","4397","S087","130ns","","",""
"34","2635","S022","130ns","","",""
"35","4747","S110","130ns","","",""
"36","2948","S082","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130ns","","",""
"37","3778","S105","147.25ns","","",""
"38","2842","S111","115ns","","",""
"39","2543","S085","15+100+0.15*100=130ns","","",""
"40","2755","S004","130ns","","",""
"41","1722","S011","130ns","","",""
"42","2439","S046"," 130ns","","",""
"43","4258","S005","117.25 ns","","",""
"44","3219","S061","1.3","","",""
"45","2853","S014","130 ns","","",""
"46","2498","S028","130ns","","",""
"47","2607","S107","117.25","","",""
"48","2637","S126","0.85*(15+100)+0.15*(15+100+100)","","",""
"49","2855","S017","130","","",""
"50","3939","S115","130ns","","",""
"51","2320","S089","130ns","","",""
"52","4190","S009","20ns","","",""
"53","4005","S094","130ns","","",""
"54","4951","S066","130ns","","",""
"55","2133","S041","130ns","","",""
"56","3532","S031","130ns","","",""
"57","4509","S116","42.75ns","","",""
"58","3163","S059","0.85*(15+100)+0.15*(15+100+100)=130ns","","",""
"59","2057","S064","130ns","","",""
"60","2509","S101","30","","",""
"61","4063","S103","130ns","","",""
"62","6302","S104","0.85(15ns+100ns)+0.15(15ns+2*100ns)=130ns","","",""
"63","2619","S023","130ns","","",""
"64","3447","S113","130ns","","",""
"65","2477","S055","0.85*(15+100)+0.15*(15+100+100) =130 ns","","",""
"66","2748","S119","130ns","","",""
"67","3610","S067","0.85*(15ns + 100ns) + 0.15*(15ns+100ns+100ns)","","",""
"68","3982","S076","EAT = 130","","",""
"69","6319","S074","0.85(15+100) + 0.15(15+ 2*100) = 130.22","","",""
"70","2736","S063","130ns","","",""
"71","3584","S090","0.85*(15ns + 100ns) + 0.15*(15ns + 200ns) = 130ns","","",""
"72","4737","S100","205.25ns","","",""
"73","2910","S114","130","","",""
"74","2020","S038","130ns","","",""
"75","2753","S047","130","","",""
"76","2730","S044","130ns","","",""
"77","2661","S075","100ns","","",""
"78","2391","S030","130","","",""
"79","2792","S106","130ns ","","",""
"80","6189","S019","130 ns","","",""
"81","2563","S020","130ns","","",""
"82","3848","S010","130","","",""
"83","4583","S091","130ns","","",""
"84","4062","S051","130","","",""
"85","4672","S039","130ns","","",""
"86","2689","S018","130ns","","",""
"87","3046","S049","130ns","","",""
"88","3837","S053","0.85*115+0.15*215= 130ns","","",""
"89","3417","S092","130 ns","","",""
"90","2343","S125","130ns","","",""
"91","6267","S021","130ns","","",""
"92","2524","S050","130ns","","",""
"93","2416","S036","130ns","","",""
"94","2684","S048","27.75ns","","",""
"95","6498","S112","15*0.85+(15+100)*0.15=30","","",""
"96","2724","S006","0.85*(15+100)+0.15*(15+100+100)  sorry 沒帶筆沒算出來。","","",""
"97","3321","S026","30","","",""
"98","4667","S057","effective memory access time = ( 0.85 x 15ns ) + ( 0.15 x 1000 ns ) ","","",""
"99","5945","S002","130 ns","","",""
"100","6427","S007","0.85*(15+100)ns + 0.15*(15+100*2)ns = 130ns","","",""
"101","3955","S016","130ns","","",""
"102","4413","S083","有效記憶體存取時間=124","","",""
"103","2821","S088","127.75ns","","",""
"104","3453","S058","(100+15)*0.85+(100+100)*0.15=127.75ns","","",""
"105","3290","S043","130","","",""
"106","2478","S060","0.85*（15+100）+0.15*（15+100+100）= 130 = 1.3 times","","",""
"107","2441","S024","130ns","","",""
"108","2804","S095","130ns","","",""
"109","2921","S077","130 ns","","",""
"110","2681","S120","130ns","","",""
"111","2820","S073","45ns","","",""
"112","2683","S069","0.85*(15+100)+0.15*(15+100+100)=130ns","","",""
"113","3821","S072","130ns","","",""
"114","2691","S042","130ns","","",""
"115","2695","S071","EAT = 0.85*(15+100)+0.15*(15+100+100) = 130ns","","",""
"116","4249","S062","0.85*(15+100) + 0.15*(15+100+100) =130ns","","",""
"117","2674","S045","0.85*(115)+0.15*(215)=130ns","","",""
"118","2511","S056","the effective memory access time = (15 + 100) * 0.85 + (15 + 100 * 2 ) * 0.15 = 130ns","","",""
"119","3199","S029","130 ns","","",""
"120","3147","S065","130n","","",""
"121","5205","S025","130ns","","",""
"122","2534","S098","130","","",""
