"index","exam_answer_id","username","original_score","original_feedback"
"1","3624","S109","3.0",""
"2","3384","S015","2.0",""
"3","6625","S054","3.0",""
"4","4568","S117","3.0",""
"5","3716","S093","3.0",""
"6","4652","S012","3.0",""
"7","5297","S108","3.0",""
"8","4139","S099","3.0",""
"9","5306","S070","3.0",""
"10","5147","S080","3.0",""
"11","2768","S003","3.0",""
"12","4202","S035","3.0",""
"13","5027","S037","3.0",""
"14","4207","S096","3.0",""
"15","4802","S013","1.5",""
"16","4514","S040","3.0",""
"17","6336","S124","3.0",""
"18","3898","S121","2.0",""
"19","5991","S068","3.0",""
"20","4751","S102","0.0",""
"21","6408","S034","3.0",""
"22","6383","S084","0.0",""
"23","5650","S079","3.0",""
"24","3396","S122","0.0",""
"25","5345","S086","3.0",""
"26","6591","S052","3.0",""
"27","4883","S033","3.0",""
"28","4168","S123","3.0",""
"29","4056","S027","3.0",""
"30","5595","S081","3.0",""
"31","4830","S008","3.0",""
"32","4326","S078","0.0",""
"33","5651","S087","3.0",""
"34","3525","S022","3.0",""
"35","6357","S110","3.0",""
"36","4153","S082","3.0",""
"37","5693","S105","0.0",""
"38","3728","S111","0.0",""
"39","3921","S085","3.0",""
"40","5477","S004","3.0",""
"41","2177","S011","0.0",""
"42","3706","S046","3.0",""
"43","2284","S005","3.0",""
"44","5925","S061","2.5",""
"45","4856","S014","3.0",""
"46","3640","S028","3.0",""
"47","6523","S107","3.0",""
"48","4009","S126","0.0",""
"49","4753","S017","3.0",""
"50","4995","S115","3.0",""
"51","2800","S089","3.0",""
"52","4730","S009","3.0",""
"53","5255","S094","0.0",""
"54","6710","S066","3.0",""
"55","2571","S041","3.0",""
"56","6409","S031","0.0",""
"57","3985","S116","3.0",""
"58","4590","S059","3.0",""
"59","2604","S064","3.0",""
"60","3944","S101","0.0",""
"61","5434","S103","3.0",""
"62","5153","S104","0.0",""
"63","4121","S023","3.0",""
"64","2987","S113","0.0",""
"65","4355","S055","3.0",""
"66","3965","S119","3.0",""
"67","4681","S067","3.0",""
"68","6658","S076","0.0",""
"69","5322","S074","3.0",""
"70","3541","S063","3.0",""
"71","6025","S090","2.0",""
"72","3104","S100","3.0",""
"73","4050","S114","3.0",""
"74","2579","S038","0.0",""
"75","4809","S047","3.0",""
"76","4093","S044","3.0",""
"77","4060","S075","0.0",""
"78","3790","S030","3.0",""
"79","4775","S106","3.0",""
"80","4466","S019","3.0",""
"81","3206","S020","3.0",""
"82","2794","S010","3.0",""
"83","5365","S091","3.0",""
"84","5038","S051","3.0",""
"85","3777","S039","3.0",""
"86","3451","S018","3.0",""
"87","3917","S049","3.0",""
"88","4993","S053","3.0",""
"89","4428","S092","3.0",""
"90","3836","S125","3.0",""
"91","6593","S021","0.0",""
"92","6416","S050","2.0",""
"93","5618","S036","3.0",""
"94","3674","S048","3.0",""
"95","5271","S112","3.0",""
"96","3456","S006","3.0",""
"97","4923","S026","0.0",""
"98","6482","S057","3.0",""
"99","6615","S002","2.0",""
"100","5495","S007","3.0",""
"101","6121","S016","3.0",""
"102","6162","S083","3.0",""
"103","3840","S088","3.0",""
"104","5164","S058","3.0",""
"105","4618","S043","3.0",""
"106","3033","S060","3.0",""
"107","3685","S024","3.0",""
"108","6353","S095","3.0",""
"109","3522","S077","3.0",""
"110","3616","S120","3.0",""
"111","6360","S073","3.0",""
"112","3751","S069","3.0",""
"113","2907","S072","3.0",""
"114","3174","S042","3.0",""
"115","3813","S071","3.0",""
"116","5737","S062","3.0",""
"117","4495","S045","3.0",""
"118","5688","S056","3.0",""
"119","4858","S029","3.0",""
"120","4214","S065","3.0",""
"121","6413","S025","2.0",""
"122","4701","S098","2.5",""
