"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2408","S109","130 ns","1","答案正確但無計算過程",""
"2","2481","S015","130ns","1","答案正確但無計算過程",""
"3","6326","S054","117.25","0","答案錯誤（117.25），無公式過程",""
"4","3533","S117","130","1","答案正確但無計算過程",""
"5","2731","S093","(15 + 100) * 0.85 + (15 + 100 + 100) * 0.15 = 130ns","2","",""
"6","3044","S012","30ns","0","答案錯誤（30ns），無公式",""
"7","3880","S108","130ns","1","答案正確但無計算過程",""
"8","2906","S099","127.75","0","答案錯誤（127.75），無公式過程",""
"9","2369","S070","130ns","1","答案正確但無計算過程",""
"10","3853","S080","130ns","1","答案正確但無計算過程",""
"11","3382","S003","130ns","1","答案正確但無計算過程",""
"12","3035","S035","130 ns","1","答案正確但無計算過程",""
"13","3929","S037","130ns","1","答案正確但無計算過程",""
"14","2461","S096","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130","2","",""
"15","3767","S013","127.75ns","0","答案錯誤（127.75ns），無公式過程",""
"16","2871","S040","130ns","1","答案正確但無計算過程",""
"17","3111","S124","(100+15) * 0.85 + (100+100) * 0.15 = 127.75","1","miss路徑少計TLB存取時間（用200而非215），答案因此有誤",""
"18","6347","S121","0.85*15ns + 0.15*200ns ","0","公式結構錯誤：hit路徑未加memory access，miss路徑只用200非215",""
"19","6624","S068","130ns","1","答案正確但無計算過程",""
"20","2613","S102","0.85*15+0.85*(15+100) = 85+25.5ns = 110.5ns","0","公式根本錯誤，將TLB hit與memory分開計算後疊加，邏輯不正確",""
"21","3954","S034","EAT=0.85*(15+100)+0.15*(15+100+100)=97.75+32.25=130ns","2","",""
"22","3198","S084","0.85*(15+100)+0.15*(15+100+100)=130ns","2","",""
"23","3822","S079","130ns","1","答案正確但無計算過程",""
"24","2278","S122","30ns","0","答案錯誤（30ns），無公式",""
"25","4570","S086","0.85*115+0.15*215 =130 ns","2","",""
"26","3490","S052","130ns","1","答案正確但無計算過程",""
"27","3536","S033","30","0","答案錯誤（30），無公式",""
"28","2701","S123","115*0.85+215*0.15=130ns","2","",""
"29","2698","S027","(15+100)*0.85+(15+100+100)*0.15=131.5 ns","1","公式結構正確但算術誤导致答案錯誤（得131.5而非130）",""
"30","1782","S081","130.00ns","1","答案正確但無計算過程",""
"31","3024","S008","130ns","1","答案正確但無計算過程",""
"32","3142","S078","200","0","答案錯誤（200），無公式",""
"33","4397","S087","130ns","1","答案正確但無計算過程",""
"34","2635","S022","130ns","1","答案正確但無計算過程",""
"35","4747","S110","130ns","1","答案正確但無計算過程",""
"36","2948","S082","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130ns","2","",""
"37","3778","S105","147.25ns","0","答案錯誤（147.25ns），無公式過程",""
"38","2842","S111","115ns","0","答案錯誤（115ns），僅算hit路徑",""
"39","2543","S085","15+100+0.15*100=130ns","1","公式邏輯有誤（未正確區分hit/miss加權），答案巧合為130",""
"40","2755","S004","130ns","1","答案正確但無計算過程",""
"41","1722","S011","130ns","1","答案正確但無計算過程",""
"42","2439","S046"," 130ns","1","答案正確但無計算過程",""
"43","4258","S005","117.25 ns","0","答案錯誤（117.25ns），無公式過程",""
"44","3219","S061","1.3","0","答案錯誤（1.3），無公式",""
"45","2853","S014","130 ns","1","答案正確但無計算過程",""
"46","2498","S028","130ns","1","答案正確但無計算過程",""
"47","2607","S107","117.25","0","答案錯誤（117.25），無公式過程",""
"48","2637","S126","0.85*(15+100)+0.15*(15+100+100)","1","公式正確但未寫出最終答案",""
"49","2855","S017","130","1","答案正確但無計算過程",""
"50","3939","S115","130ns","1","答案正確但無計算過程",""
"51","2320","S089","130ns","1","答案正確但無計算過程",""
"52","4190","S009","20ns","0","答案錯誤（20ns），無公式",""
"53","4005","S094","130ns","1","答案正確但無計算過程",""
"54","4951","S066","130ns","1","答案正確但無計算過程",""
"55","2133","S041","130ns","1","答案正確但無計算過程",""
"56","3532","S031","130ns","1","答案正確但無計算過程",""
"57","4509","S116","42.75ns","0","答案錯誤（42.75ns），無公式過程",""
"58","3163","S059","0.85*(15+100)+0.15*(15+100+100)=130ns","2","",""
"59","2057","S064","130ns","1","答案正確但無計算過程",""
"60","2509","S101","30","0","答案錯誤（30），無公式",""
"61","4063","S103","130ns","1","答案正確但無計算過程",""
"62","6302","S104","0.85(15ns+100ns)+0.15(15ns+2*100ns)=130ns","2","",""
