"index","exam_answer_id","username","original_score","original_feedback"
"1","2832","S109","3.0",""
"2","3030","S015","3.0",""
"3","4209","S117","0.0",""
"4","3185","S093","3.0",""
"5","3951","S012","3.0",""
"6","4785","S108","3.0",""
"7","6550","S099","0.0",""
"8","5963","S070","2.0","Bounded Waiting"
"9","4653","S080","0.0",""
"10","5789","S003","0.0",""
"11","3686","S035","3.0",""
"12","4542","S037","2.0","Bounded Waiting"
"13","6335","S096","1.0",""
"14","4553","S013","0.0",""
"15","4242","S040","3.0",""
"16","3962","S124","2.0",""
"17","3273","S121","3.0",""
"18","6516","S068","3.0",""
"19","5355","S102","2.0",""
"20","6250","S034","2.0","Bounded Waiting"
"21","4086","S084","3.0",""
"22","5034","S079","3.0",""
"23","6632","S122","0.0","Mutual Exclusion Progress Bounded Waiting"
"24","4151","S052","3.0",""
"25","4232","S033","1.0",""
"26","5920","S123","1.0","Progress Bounded Waiting"
"27","3534","S027","1.0",""
"28","3733","S081","0.0","Mutual Exclusion Progress Bounded Waiting"
"29","4291","S008","2.0",""
"30","6150","S078","1.0",""
"31","3383","S087","3.0",""
"32","2997","S022","3.0",""
"33","6002","S110","3.0",""
"34","6146","S082","2.0",""
"35","5231","S105","2.0",""
"36","3438","S111","3.0",""
"37","3677","S085","3.0",""
"38","3510","S004","3.0",""
"39","6556","S046","0.0","Mutual Exclusion Progress Bounded Waiting"
"40","4890","S005","3.0",""
"41","6251","S061","0.0","Mutual Exclusion Progress Bounded Waiting"
"42","6487","S014","0.0",""
"43","2944","S107","2.0","Progress"
"44","3428","S126","3.0",""
"45","5089","S017","2.0","Bounded Waiting"
"46","2238","S115","2.0","Bounded Waiting"
"47","2641","S089","0.0","Mutual Exclusion Progress Bounded Waiting"
"48","5201","S009","2.0","Mutual Exclusion"
"49","6647","S066","0.0","Mutual Exclusion Progress Bounded Waiting"
"50","5817","S041","0.0",""
"51","6736","S031","0.0",""
"52","6003","S116","2.0","Bounded Waiting"
"53","4223","S059","0.0",""
"54","3636","S101","1.0","Progress Bounded Waiting"
"55","4982","S103","0.0",""
"56","5900","S104","3.0",""
"57","6739","S023","0.0",""
"58","3879","S113","3.0",""
"59","3893","S055","0.0",""
"60","6426","S119","3.0",""
"61","4244","S067","3.0",""
"62","5311","S076","0.0",""
"63","4778","S074","2.0","Bounded Waiting"
"64","5252","S063","1.0","Progress Bounded Waiting"
"65","5497","S090","3.0",""
"66","5970","S100","2.0",""
"67","3766","S114","3.0",""
"68","2365","S038","3.0",""
"69","4582","S047","2.0",""
"70","3614","S044","2.0",""
"71","3595","S075","0.0","requirements"
"72","3246","S030","3.0",""
"73","6145","S106","0.0",""
"74","3855","S019","3.0",""
"75","2847","S020","3.0",""
"76","6406","S010","0.0",""
"77","5020","S091","1.0",""
"78","6057","S051","0.0","Mutual Exclusion Progress Bounded Waiting"
"79","5820","S039","1.0",""
"80","3226","S018","3.0",""
"81","3623","S049","0.0","Mutual Exclusion Progress Bounded Waiting"
"82","6421","S053","0.0",""
"83","6290","S092","3.0",""
"84","2938","S125","3.0",""
"85","6606","S021","0.0","Mutual Exclusion Progress Bounded Waiting"
"86","4212","S050","1.5","requirements"
"87","5207","S036","3.0",""
"88","3810","S048","3.0",""
"89","6748","S112","1.0",""
"90","5063","S006","1.0","Progress Bounded Waiting"
"91","4544","S026","0.0","Mutual Exclusion Progress Bounded Waiting"
"92","3895","S032","3.0",""
"93","6260","S057","2.0",""
"94","6698","S002","0.0","Mutual Exclusion Progress Bounded Waiting"
"95","5998","S007","2.0","Bounded Waiting"
"96","5739","S016","0.0","Mutual Exclusion Progress Bounded Waiting"
"97","3289","S088","3.0",""
"98","6700","S043","0.0","Mutual Exclusion Progress Bounded Waiting"
"99","6235","S060","2.0","Bounded Waiting"
"100","6479","S024","0.0",""
"101","5267","S077","1.0","Progress Bounded Waiting"
"102","2957","S120","3.0",""
"103","5882","S073","0.0",""
"104","3370","S069","3.0",""
"105","2998","S072","3.0",""
"106","3401","S071","3.0",""
"107","6429","S062","1.0",""
"108","3907","S045","0.0",""
"109","6082","S065","2.0","Bounded Waiting"
"110","6061","S025","0.0","Mutual Exclusion Progress Bounded Waiting"
"111","3865","S098","3.0",""
