experiment_id,exam_key,preset,contest_id,question_id,question_order,question_type,max_score,answer_count,scored_count,blank_score_count,model_id,run_status,terminal_event_type,started_at,ended_at,elapsed_seconds,input_tokens,output_tokens,cost_cents,cost_usd,session_id,run_id,prompt_preview,run_dir,grade_csv_path,rubric_path
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,essay,2,118,118,0,deepseek-v4-pro,completed,run_completed,2026-05-26T17:26:51.936579Z,2026-05-26T17:30:16.491270Z,204.560,423819,11671,20,0.2000,6ccbdcfb-ecba-44fd-9375-7eedf14eabd1,f9f24330-e492-4676-b40e-83407c5f6916,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/deepseek-v4-pro,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,essay,3,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T17:26:51.936305Z,2026-05-26T17:32:10.829610Z,318.901,556353,29448,9,0.0900,f3087b7e-38d7-4a45-b9cb-562fd64366c1,340a3da2-effc-4891-8ad7-afaaefe9556f,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritance solve this issue?,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-flash,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c,7,essay,3,123,123,0,deepseek-v4-pro,completed,run_completed,2026-05-26T17:30:16.524785Z,2026-05-26T17:35:36.928476Z,320.412,624360,17082,29,0.2900,e3fa34b6-6d86-41a4-b83b-a012a5bb6364,f1ea19ae-40a3-431b-a530-861733f1e8ae,What is priority inversion? Describe a scenario where busy waiting (spinlock) can lead to it. How can priority inheritance solve this issue?,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-pro,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/1a14a6d1-4d2f-41fd-ac54-cc63a8de7b3c/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,979c5847-2933-4887-b7fd-05f878541734,8,short_answer,2,122,122,0,deepseek-v4-flash,completed,run_completed,2026-05-26T17:32:10.903011Z,2026-05-26T17:34:18.380379Z,127.481,372935,15955,6,0.0600,9d258232-5388-44bb-a752-42c465f60553,8223e0ca-fd53-4526-8eb9-6c690b65f69d,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effective memory access time (EAT).",reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-flash,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,979c5847-2933-4887-b7fd-05f878541734,8,short_answer,2,122,122,0,deepseek-v4-pro,completed,run_completed,2026-05-26T17:34:18.479309Z,2026-05-26T17:38:21.069435Z,242.596,359079,13041,17,0.1700,f15b8751-cecd-4f4b-9afa-dda3e0c2efa5,bbd3c5d7-94aa-425e-9194-75c77e588b90,"In a system with a TLB hit ratio of 85%, if TLB access time is 15ns and memory access time is 100ns, calculate the effective memory access time (EAT).",reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-pro,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/979c5847-2933-4887-b7fd-05f878541734/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,bcfce196-f980-45ec-9dfb-16ca53c1c6bf,10,essay,6,123,123,0,deepseek-v4-flash,completed,run_completed,2026-05-26T17:35:36.965722Z,2026-05-26T17:38:53.550400Z,196.589,520209,21959,8,0.0800,26666806-3216-40b0-a83b-fbd33bec6a1e,ea12fd5b-7d34-4bfa-85e2-5a13f9a89067,"List three attributes that are shared among threads in the same process, and three that are not shared.",reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/bcfce196-f980-45ec-9dfb-16ca53c1c6bf/deepseek-v4-flash,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/bcfce196-f980-45ec-9dfb-16ca53c1c6bf/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/bcfce196-f980-45ec-9dfb-16ca53c1c6bf/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,90fd763a-b0e8-4296-986b-e2b18af93a4a,12,short_answer,2,122,122,0,deepseek-v4-pro,completed,run_completed,2026-05-26T17:38:21.115550Z,2026-05-26T17:42:38.300285Z,257.191,390314,11690,18,0.1800,a0f0c68b-fbe2-41eb-b380-e5060bb30c4d,3fc235e7-bc61-4347-aead-f364856a30cc,"In a UNIX inode with 12 direct blocks and 1 single indirect block, assuming a block size of 8KB and address size of 4 bytes, calculate the maximum file size.",reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/90fd763a-b0e8-4296-986b-e2b18af93a4a/deepseek-v4-pro,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/90fd763a-b0e8-4296-986b-e2b18af93a4a/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/90fd763a-b0e8-4296-986b-e2b18af93a4a/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,7cc6d0c4-5832-45da-887f-502a70a914bf,13,essay,4,95,95,0,deepseek-v4-flash,completed,run_completed,2026-05-26T17:38:53.592988Z,2026-05-26T17:40:47.913681Z,114.324,342424,13044,5,0.0500,587a3b27-27de-4416-90c8-1520e8e743f8,cc9ead01-3c0c-44fa-bf86-2ed0895cdc65,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-flash,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-flash/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,7cc6d0c4-5832-45da-887f-502a70a914bf,13,essay,4,95,95,0,deepseek-v4-pro,completed,run_completed,2026-05-26T17:40:47.952118Z,2026-05-26T17:45:05.815247Z,257.870,389728,14121,18,0.1800,c0769241-748e-45b5-a56e-140d5d0a2bbd,79e8075d-10d1-42e7-9891-c22faf3a6aae,List the four necessary conditions that must hold simultaneously for a system-wide deadlock to occur.,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-pro,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-pro/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7cc6d0c4-5832-45da-887f-502a70a914bf/deepseek-v4-pro/rubric.md
exam1-subjective-deepseek-flash-pro-recovery-20260527-012651,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,7692d1fe-db5b-4ba5-9e19-21957a3c17d0,14,essay,3,111,111,0,deepseek-v4-flash,completed,run_completed,2026-05-26T17:42:38.327121Z,2026-05-26T17:45:00.327684Z,142.004,544342,13457,8,0.0800,762ad90d-d537-4b45-af4b-bceec91a47c7,5cd9907e-0cdb-4a35-8601-ef304fc8f001,Describe the three requirements that a solution to the Critical Section problem must satisfy to be considered correct.,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7692d1fe-db5b-4ba5-9e19-21957a3c17d0/deepseek-v4-flash,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7692d1fe-db5b-4ba5-9e19-21957a3c17d0/deepseek-v4-flash/grade.csv,reports/qjudge-paper-experiments/exam1-subjective-deepseek-flash-pro-recovery-20260527-012651/runs/7692d1fe-db5b-4ba5-9e19-21957a3c17d0/deepseek-v4-flash/rubric.md
