"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1513","S109","5","","",""
"2","1504","S015","5","","",""
"3","1434","S054","5","","",""
"4","1446","S117","5","","",""
"5","1449","S093","5","","",""
"6","1466","S012","5","","",""
"7","1460","S108","5","","",""
"8","2031","S099","5","","",""
"9","1534","S070","5","","",""
"10","1567","S080","4","","",""
"11","1471","S003","5","","",""
"12","1444","S035","5","","",""
"13","1441","S037","5","","",""
"14","1488","S096","5","","",""
"15","1522","S013","6","","",""
"16","1454","S040","5","","",""
"17","1514","S124","5","","",""
"18","1581","S121","5","","",""
"19","1429","S068","3","","",""
"20","1418","S102","5","","",""
"21","1604","S034","3","","",""
"22","5349","S084","5","","",""
"23","1623","S079","1","","",""
"24","1419","S122","2","","",""
"25","1440","S086","5","","",""
"26","1459","S052","5","","",""
"27","1452","S033","4","","",""
"28","1553","S123","5","","",""
"29","1455","S027","5","","",""
"30","1409","S081","2","","",""
"31","1411","S008","5","","",""
"32","1467","S078","5","","",""
"33","1413","S087","5","","",""
"34","1414","S022","4","","",""
"35","2512","S110","5","","",""
"36","1417","S082","5","","",""
"37","1490","S105","5","","",""
"38","1540","S111","3","","",""
"39","1507","S085","5","","",""
"40","1474","S004","5次","","",""
"41","1428","S011","5","","",""
"42","2141","S046","4","","",""
"43","3407","S005","5","","",""
"44","2902","S061","5","","",""
"45","4696","S014","5","","",""
"46","1483","S028","5","","",""
"47","1503","S107","5","","",""
"48","1432","S126","5","","",""
"49","1524","S017","5","","",""
"50","1634","S115","5","","",""
"51","1461","S089","5","","",""
"52","1506","S009","5","","",""
"53","1496","S094","3","","",""
"54","2733","S066","5","","",""
"55","1442","S041","5","","",""
"56","2231","S031","5","","",""
"57","1482","S116","5","","",""
"58","1781","S059","5","","",""
"59","1422","S064","3","","",""
"60","1447","S101","5","","",""
"61","1542","S103","5","","",""
"62","1674","S104","5","","",""
"63","1433","S023","3","","",""
"64","1408","S113","5","","",""
"65","1517","S055","5","","",""
"66","1481","S119","5","","",""
"67","2110","S067","5","","",""
"68","1632","S076","5","","",""
"69","2437","S074","5","","",""
"70","1546","S063","5","","",""
"71","1451","S090","5 times","","",""
"72","1658","S100","5","","",""
"73","1502","S114","5","","",""
"74","1525","S038","5","","",""
"75","1739","S047","5","","",""
"76","1565","S044","5","","",""
"77","1512","S075","5","","",""
"78","1438","S030","5","","",""
"79","1646","S106","5","","",""
"80","6076","S019","4","","",""
"81","1509","S020","5","","",""
"82","1412","S010","5","","",""
"83","1962","S091","5","","",""
"84","1426","S051","5","","",""
"85","1420","S039","5","","",""
"86","1430","S018","5","","",""
"87","1592","S049","5","","",""
"88","1588","S053","5","","",""
"89","1718","S092","5","","",""
"90","1569","S125","3","","",""
"91","1584","S021","5","","",""
"92","1499","S050","5","","",""
"93","1427","S036","7","","",""
"94","1599","S048","3","","",""
"95","2165","S112","5","","",""
"96","1407","S006","5","","",""
"97","1598","S026","4","","",""
"98","4256","S032","2","","",""
"99","1788","S057","4 time","","",""
"100","1721","S002","4","","",""
"101","1469","S007","5","","",""
"102","1630","S016","3","","",""
"103","1543","S083","5","","",""
"104","1576","S088","5","","",""
"105","1748","S058","4","","",""
"106","1484","S043","5","","",""
"107","1425","S060","5","","",""
"108","1435","S024","5","","",""
"109","6538","S095","3","","",""
"110","1528","S077","5","","",""
"111","1561","S120","5","","",""
"112","1533","S073","4","","",""
"113","1415","S069","5","","",""
"114","5385","S072","3","","",""
"115","4251","S042","3","","",""
"116","1489","S071","5","","",""
"117","1979","S062","5","","",""
"118","1636","S045","5","","",""
"119","1706","S056","5","","",""
"120","1529","S029","3次","","",""
"121","1642","S065","5","","",""
"122","1640","S025","4","","",""
"123","1487","S098","5","","",""
