"index","exam_answer_id","username","original_score","original_feedback"
"1","12515","S109","1.5","exactly M out of N
M 可以等於 1 或 N"
"2","12178","S015","2.0",""
"3","15958","S054","2.0",""
"4","12584","S117","2.0",""
"5","12030","S093","2.0",""
"6","12172","S012","2.0",""
"7","12207","S108","2.0",""
"8","12292","S099","2.0",""
"9","12196","S070","2.0",""
"10","13058","S080","2.0",""
"11","11298","S003","1.5","exactly M out of N
M 可以等於 1 或 N"
"12","12641","S035","2.0",""
"13","13366","S037","2.0",""
"14","12498","S097","1.0","不是訊息送達確認 是回應數量"
"15","13201","S013","2.0",""
"16","12806","S040","2.0",""
"17","11295","S124","1.5","exactly M out of N
M 可以等於 1 或 N"
"18","12831","S121","1.5","MN反了"
"19","15719","S068","1.0","不是至少 是exact MN反了"
"20","12061","S102","2.0",""
"21","12169","S034","2.0",""
"22","11400","S084","1.5","不是「次數」而是 receiver/group size"
"23","12625","S079","1.5","NM反了 然後他可以等於"
"24","12185","S122","1.5","M-out-of-N-reliable 未清楚表達「N 個 receiver 中期待 M 個回應」之意義"
"25","12107","S086","2.0",""
"26","12999","S052","0.0","exactly M out of N
M 可以等於 1 或 N"
"27","12317","S033","0.0","sender 不期待任何 receiver 回應
N 個 receiver 中期待 M 個回覆。"
"28","12931","S123","1.5","exactly M out of N
M 可以等於 1 或 N"
"29","11972","S027","2.0",""
"30","11475","S081","1.5","exact"
"31","12784","S008","2.0",""
"32","12247","S078","1.0","M-out-of-N-reliable 未正確表達 M out of N 概念，誤寫為需 N 個 client 回應"
"33","12986","S087","1.5","exactly M out of N
M 可以等於 1 或 N"
"34","12727","S022","1.0","MN反了"
"35","12889","S110","2.0",""
"36","12716","S082","2.0",""
"37","12370","S105","2.0",""
"38","11575","S111","2.0",""
"39","12116","S085","2.0",""
"40","12189","S004","2.0",""
"41","12101","S011","0.0","空白答案"
"42","11942","S046","2.0",""
"43","11483","S005","2.0",""
"44","15560","S014","0.0","Both parts insufficient"
"45","12175","S107","2.0",""
"46","12586","S126","1.0","正確是 在 N 個 receivers 中期待 M 個 responses，不是 M 個 messages 中收到 N 個 receive"
"47","14657","S017","2.0",""
"48","11379","S115","1.5","exactly M out of N
M 可以等於 1 或 N"
"49","11974","S089","2.0",""
"50","12081","S009","0.0","0-reliable sender 不期待任何 receiver response。
是 N 個 receiver 中期待 M 個回覆，不是 M 個 sender 對 N 個"
"51","12581","S094","2.0",""
"52","12980","S066","1.5","exactly M out of N
M 可以等於 1 或 N"
"53","12045","S041","2.0",""
"54","14898","S031","2.0",""
"55","12032","S116","1.0","不期待"
"56","12793","S059","2.0",""
"57","11099","S064","2.0",""
"58","12547","S101","2.0",""
"59","12085","S103","2.0",""
"60","13368","S104","2.0",""
"61","12536","S023","1.0","M-out-of-N 定義不完整"
"62","11880","S113","2.0",""
"63","12238","S055","1.5","exactly M out of N
M 可以等於 1 或 N"
"64","12412","S119","2.0",""
"65","12345","S067","1.5","他可以等於1"
"66","12977","S076","2.0",""
"67","11333","S074","0.5","1 sender 不期待任何 receiver response。
2 是收到不是回復"
"68","12468","S063","2.0",""
"69","12353","S090","2.0",""
"70","13272","S100","2.0",""
"71","11695","S114","2.0",""
"72","13003","S038","2.0",""
"73","15363","S047","1.0","誤解為節點可靠性／容錯能力，而非 receiver 回應數量之期待，故僅部分給分。"
"74","13217","S044","2.0",""
"75","12262","S075","1.0","不期待 respons"
"76","12218","S030","2.0",""
"77","11876","S106","2.0",""
"78","12251","S019","2.0",""
"79","11918","S020","2.0",""
"80","12072","S010","2.0",""
"81","12639","S091","1.0",""
"82","11976","S051","2.0",""
"83","12996","S039","1.5","exactly M out of N
M 可以等於  N"
"84","12076","S018","2.0",""
"85","11935","S049","2.0",""
"86","12280","S053","2.0",""
"87","12421","S092","2.0",""
"88","11744","S125","2.0",""
"89","11236","S021","1.5","exactly M out of N
M 可以等於 1 或 N"
"90","12281","S050","2.0",""
"91","12351","S036","2.0",""
"92","12057","S048","2.0",""
"93","12233","S112","2.0",""
"94","12043","S006","2.0",""
"95","12225","S057","1.0","M"
"96","14438","S002","2.0",""
"97","12228","S007","1.5","exactly M out of N
M 可以等於 1 或 N"
"98","13187","S118","1.0","不是比例"
"99","16158","S016","1.5","exactly M out of N
M 可以等於  N"
"100","14513","S083","2.0",""
"101","12356","S088","2.0",""
"102","13028","S058","2.0",""
"103","11950","S043","2.0",""
"104","11813","S060","1.5","MN反"
"105","12002","S024","2.0",""
"106","12259","S095","1.5","exactly M out of N
M 可以等於 1 或 N"
"107","12114","S077","2.0",""
"108","12123","S120","2.0",""
"109","12519","S073","2.0",""
"110","12194","S069","1.5","exactly M out of N
M 可以等於 1 或 N"
"111","12552","S072","2.0",""
"112","11989","S042","1.5","exactly M out of N
M 可以等於 1 或 N"
"113","12414","S071","2.0",""
"114","12110","S062","2.0",""
"115","12460","S045","1.5","exactly M out of N
M 可以等於 1 或 N"
"116","12963","S056","2.0",""
"117","13136","S128","0.0","兩者皆未正確解釋語意"
"118","13239","S029","2.0",""
"119","12267","S065","1.5","exactly M out of N
M 可以等於 1 或 N"
"120","12524","S098","2.0",""
