"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3989","S109","2^12= 4Kb","1","數值正確(2^12)但單位誤寫為 Kb (kilobits)，應為 entries",""
"2","3815","S015","2^{11} entries","0","誤用 physical memory (2^31/2^20=2^11)，應以 virtual address space (2^32) 計算",""
"3","3892","S054","2048","0","誤用 physical memory 計算，正確應為 4096",""
"4","5108","S117","4096","2","",""
"5","4101","S093","4K(2^12)","2","",""
"6","5378","S012","2048","0","誤用 physical memory 計算，正確應為 4096",""
"7","6053","S108","4096","2","",""
"8","5006","S099","4096","2","",""
"9","3664","S070","2^12=4K","2","",""
"10","5981","S080","4Kbyte","1","數值正確但單位誤寫為 Kbyte，page table entries 非 bytes",""
"11","2334","S003","4096","2","",""
"12","5085","S035","32-20 = 12, 2^12 = 4096   , Ans : 4096","2","",""
"13","5259","S037","4KB","1","數值正確但單位誤寫為 KB (kilobytes)，應為 entries",""
"14","5039","S096","2^(31 - 20) = 2^11 = 2048","0","誤用 physical memory (2^31) 計算，應以 virtual address space (2^32) 計算",""
"15","5326","S013","4096 entries","2","",""
"16","5036","S040","4KB","1","數值正確但單位誤寫為 KB，應為 entries",""
"17","5294","S124","2^11 = 2048 entries","0","誤用 physical memory 計算，正確應為 4096",""
"18","4826","S121","2^19","0","答案錯誤(2^19)，正確為 2^12=4096",""
"19","6749","S068","1024","0","答案錯誤(1024)，正確為 4096",""
"20","3990","S102","2048","0","誤用 physical memory 計算，正確應為 4096",""
"21","5314","S034","2^(32-20)=2^12=4096 entries","2","",""
"22","4531","S084","(2^32)/(2^20)=4KB","1","計算過程正確(2^12)但最終答案單位誤寫為 KB",""
"23","6197","S079","2048 (211) entries","0","答案錯誤(2048)，正確應為 4096",""
"24","4036","S122","4KB","1","數值正確但單位誤寫為 KB，應為 entries",""
"25","2762","S086","4 KB","1","數值正確但單位誤寫為 KB，應為 entries",""
"26","5400","S052","4096 entries","2","",""
"27","5621","S033","4096","2","",""
"28","4477","S123","4096","2","",""
"29","4513","S027","2^12=4096","2","",""
"30","5747","S081","11098 entires","0","答案錯誤(11098)，正確為 4096",""
"31","5689","S008","4096","2","",""
"32","2388","S078","2^21","0","答案錯誤(2^21)，正確為 2^12=4096",""
"33","4054","S087","4096","2","",""
"34","4030","S022","2^12 entries","2","",""
"35","6579","S110","2^21","0","答案錯誤(2^21)，正確為 2^12=4096",""
"36","4947","S082","2^12 = 4096","2","",""
"37","6224","S105","4096","2","",""
"38","4102","S111","2 ^ 12","2","",""
"39","4496","S085","2^32/2^20=2^12=4096","2","",""
"40","4452","S004","4096","2","",""
"41","2356","S011","2048","0","誤用 physical memory 計算，正確應為 4096",""
"42","4385","S046","4K entries","2","",""
"43","5775","S005","4K","2","",""
"44","2002","S061","4096","2","",""
"45","3684","S014","4096","2","",""
"46","4123","S028","4096 entries","2","",""
"47","3473","S107","12","0","僅給出 bit 數(12)，未回答 entry 數量(4096)",""
"48","4549","S126","2(12)=4096 entries","2","",""
"49","3759","S017","4K enrties    也就是2的12次方  (32-20=12)","2","",""
"50","5498","S115","4096","2","",""
"51","3082","S089","4K entries","2","",""
"52","3630","S009","4K entries","2","",""
"53","2502","S094","21","0","答案錯誤(21)，正確為 4096",""
"54","6370","S066","2^12","2","",""
"55","3022","S041","4096","2","",""
"56","5483","S031","4096 entries","2","",""
"57","2873","S116","4096 entries","2","",""
"58","5094","S059","2^31/2^20=2^11","0","誤用 physical memory (2^31) 計算，正確應為 2^32/2^20=2^12=4096",""
"59","3797","S064","21","0","答案錯誤(21)，正確為 4096",""
"60","4671","S101","2^12","2","",""
"61","6311","S103","2000","0","答案錯誤(2000)，正確為 4096",""
"62","4048","S104","(2^32)/(2^20)=2^12=4*1024=4096 entries","2","",""
"63","5479","S023","4096 entries","2","",""
"64","4204","S113","2^12","2","",""
"65","4829","S055","2^12 = 4K","2","",""
"66","4746","S119","4096","2","",""
"67","5743","S067","4GB","0","答案錯誤(4GB)，與 page table entries 無關",""
"68","6378","S076","1048","0","答案錯誤(1048)，正確為 4096",""
"69","2240","S074","11 + 32 = 43 entries of page table","0","計算邏輯錯誤(11+32=43)，正確為 2^(32-20)=4096",""
"70","3875","S063","4096","2","",""
"71","4656","S090","2^12 entries","2","",""
"72","2406","S100","4096","2","",""
"73","4892","S114","4096","2","",""
"74","2687","S038","4096","2","",""
"75","5186","S047","4096","2","",""
"76","4817","S044","4096","2","",""
"77","4790","S075","4096(如果在正常情況，即有virtual memory運作的情形時)","2","",""
"78","4318","S030","2K","0","答案錯誤(2K=2048)，正確為 4K=4096",""
"79","5310","S106"," 4K entries","2","",""
"80","6375","S019","2^12 = 4096 entries","2","",""
"81","3629","S020","4K","2","",""
"82","2190","S010","2^12","2","",""
"83","5779","S091","16","0","答案錯誤(16)，正確為 4096",""
"84","5533","S051","2^11","0","誤用 physical memory 計算，正確為 2^12=4096",""
"85","3177","S039","4096","2","",""
"86","4091","S018","4K entries","2","",""
"87","4408","S049","4k","2","",""
"88","5568","S053","2^12 entries","2","",""
"89","5166","S092","4096","2","",""
"90","4491","S125","4096","2","",""
"91","6463","S021","4096 entries","2","",""
"92","6043","S050","4096","2","",""
"93","4913","S036","2^12","2","",""
"94","4642","S048","4096","2","",""
"95","4210","S112","2048","0","誤用 physical memory 計算，正確應為 4096",""
"96","3908","S006","2^12=4096 entries","2","",""
"97","5647","S026","2^12","2","",""
"98","5421","S032","2^22 entries","0","答案錯誤(2^22)，正確為 2^12=4096",""
"99","6608","S057","32 bit -  20 bit = 12 bit ;  2 的 12 次方  =  4096 entries","2","",""
"100","6545","S002","4096","2","",""
"101","4288","S007","2048","0","誤用 physical memory 計算，正確應為 4096",""
"102","6497","S016","2^12 entries","2","",""
"103","6567","S083","1","0","答案錯誤(1)，正確為 4096",""
"104","4767","S088","4096 entries","2","",""
"105","5902","S058","2^(32-20)=4096","2","",""
"106","5242","S043","2^12","2","",""
"107","4487","S060","32-20 = 12， 所以2^12 = 4096","2","",""
"108","4166","S024","4k","2","",""
"109","6441","S095","4096 pages","1","數值正確但用詞為 pages 而非 entries",""
"110","4002","S077","4096","2","",""
"111","4252","S120","2^21","0","答案錯誤(2^21)，正確為 2^12=4096",""
"112","3936","S073","4096","2","",""
"113","4188","S069","2^12=4096 entries","2","",""
"114","2280","S072","4096","2","",""
"115","3817","S042","4KB entries","2","",""
"116","4350","S071","2^32/2^20 = 2^12 = 4096 entries","2","",""
"117","6232","S062","2^12","2","",""
"118","5243","S045","1MB=2^20B  32-20=12 , 2^12=4096","2","",""
"119","3940","S056","2^12 = 4096 entries","2","",""
"120","6178","S029","2的12次方entries","2","",""
"121","5079","S065","2^12","2","",""
"122","6607","S025","4096","2","",""
