"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3700","S109","是當一個process太久沒有被處理，隨著時間會提升它的priority，例如 shortest job first 中一個很花時間而久未被處理的job","1","有提到隨時間提高優先權，但未明確說明解決 starvation，且混入 SJF 描述不精準。",""
"2","3486","S015","Aging technique solves the starvation by increasing the priority of remained task periodically.","1","有說明會逐步提高優先權，但未完整點出 Aging 主要用來避免 starvation。",""
"3","5023","S054","as time progresses, 提高還未執行process的優先度, 避免starvation ,也就是有些低優先的process永遠執行不到.","2","完整說出隨時間提高未執行行程優先權，並明確提到避免 starvation。",""
"4","4577","S117","stavation","0","只寫出 starvation，沒有回答 Aging 的機制。",""
"5","3832","S093","Aging是如果一個process一直因為priority太低而沒有被執行，則會使其priority上升，以此來解決starvation的問題","2","完整說明 Aging 會提升長時間等待行程的優先權，並用來解決 starvation。",""
"6","4814","S012","low priority process could increase priority with the time goes. it solves the problem that low priority process may never run on cpu because there may always exist a process has a higher priority","2","有說明低優先權行程會隨時間提高優先權，且能避免長期得不到 CPU。",""
"7","5440","S108","Aging: process 在經過一段時間都沒拿到資源後，提高其優先程度。此方法是為了解決 starving 的問題，也就是低優先程度的 process 因為高優先程度的 process 不斷進入導致其永遠拿不到資源。","2","清楚描述長時間等待後提高優先權，並指出可解決 starvation。",""
"8","4233","S099","1. 當一個 process 一直沒有被分配的 CPU 資源時，該 process 會隨著時間被提高執行優先度。2. Starvation","2","有寫出長時間未分配 CPU 時提升優先度，且答案指出 starvation。",""
"9","4325","S070","隨者時間變長會讓低權限的thread(process)的權限慢慢變高，可以解決starvation","2","明確說出隨時間讓低優先權程序優先權提高，可解決 starvation。",""
"10","5309","S080","aging is to raise the priority of process that cannot run as the time grow, to solve the starvation","2","有說明隨時間提高無法執行行程的優先權，並指出解決 starvation。",""
"11","2751","S003","Aging means the priority would grows as the time goes, to solve the starving problem","2","有提到優先權會隨時間增加，並對應 starvation 問題。",""
"12","4306","S035","q1 : increase the priority of a process when it haven't run for a long time. q2 : the low priority process's starvation ","2","清楚描述長時間未執行的行程優先權提升，並指出低優先權行程的 starvation。",""
"13","5675","S037","Aging make a process wait in ready state for a long time to higher priority. It prevent the starvation in priority scheduling","2","有說明等待過久的 process 優先權提高，並能防止 starvation。",""
"14","4335","S096","Problem: low-priority process doesn't get cpu time for a long time, because of the high-priority processes. Solution: processes, that haven't get cpu time for a long time, get higher priority (this is called aging)","2","同時寫出問題是低優先權行程得不到 CPU，以及解法是提高其優先權。",""
"15","4868","S013","1. increase the priority from low to high. 2. Starvation","1","只概略說優先權從低變高，未明確交代是隨等待時間提升或解決 starvation。",""
"16","4599","S040","long time not be processed process will be aging for higher priority, prevent starving.","2","有說明長時間未被處理會提高優先權，並用來避免 starvation。",""
"17","2555","S124","Aging is when a lower priority process has been waiting for a long time, its priority becomes higher. It solves starvation.","2","完整指出低優先權行程等待久了優先權提高，並解決 starvation。",""
"18","4095","S121","Aging technique consist to increase the priority level of a process if it is waiting too long in the scheduler queue. It solves the starvation problem, where high priority processes take a the cpu utilization and do not allow low priority process to run ","2","有說明排程佇列中等待太久會提高優先權，並解決 starvation。",""
"19","5646","S068","讓尚未執行的 process 隨著時間推移增加其對於系統資源的使用優先權，這可以避免某些低優先權的 process 始終無法獲得資源的狀況，即 starvation。","2","清楚描述隨時間提高資源優先權，避免低優先權行程無法獲得資源，也就是 starvation。",""
"20","4342","S102","隨著時間增加會增加process的 priority，避免他持續的執行不到","1","有提到隨時間提高 priority，但對 starvation 的解釋較含糊。",""
"21","4907","S034","aging is gradually increasing the priority of process that wait in the system for a long time. aging solve starvation.","2","完整說明長時間等待的行程會提高優先權，並指出可解決 starvation。",""
"22","4243","S084","1. 慢慢提高低優先權的priority。2. 解決starvation。","2","有說明低優先權會隨時間提高 priority，並能解決 starvation。",""
"23","5821","S079","aging says that a low priority process is raises its priority over time. this solution solve the ""starvation"" problem.","2","清楚描述低優先權 process 會隨時間升高優先權，並解決 starvation。",""
"24","3542","S122","可以解決低優先權和長時間被占用資源的問題，使用此方法可以解決上述問題，隨著時間越長的，他的優先權會變大，避免starvation問題產生","2","有說明等待越久優先權越高，並明確提到可避免 starvation。",""
"25","5501","S086","Aging refers to as time progresses, increasing the priority of the waiting threads. It can solve starvation, which means low priority threads may never execute.","2","完整回答 Aging 的機制與其解決 starvation 的目的。",""
"26","4796","S052","Aging 讓process或thread隨著時間提高priority，可以解決低priority process或thread永遠無法執行到的問題(starvation)。)","2","有說明 process/thread 會隨時間提高 priority，且可避免永遠無法執行。",""
"27","5005","S033","Agine是指根據時間流逝，提升thread的priority，他可以處理starvation的問題。","2","指出會依時間流逝提升 thread priority，並可處理 starvation。",""
