"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3715","S109","可以節省到memory查詢地址的時間","1","有提到節省查位址時間，但未完整說明 TLB 是快取頁表項目來加速轉譯。",""
"2","3570","S015","TLB is used like a cache of page table. It tries to minimize the translation time by reducing the number of accessing main memory.","2","明確指出 TLB 是 page table 的 cache，可減少存取主記憶體次數並加速轉譯。",""
"3","4908","S054","can access memory use abstract table, improve efficiency and can use less pointer point to more memory address.","1","有提到提升效率與記憶體位址存取，但未清楚說明 TLB 的快取/轉譯用途。",""
"4","4649","S117","減少因查看page table而增加的memory access 時間成本","1","有指出可減少查 page table 的 memory access，但說明仍偏簡略。",""
"5","3900","S093","TLB是用來避免每一次找page都要到memory中找page table，可以把常用的page的位置存在TLB中，這樣可以不用一直enter memory","2","有寫出避免到 memory 查 page table、並可加快位址轉換，符合主要用途。",""
"6","4876","S012","to cache a used page's frame address. when a page is referenced again, you don't have to check page table again","2","有說明快取常用頁框位址，重複存取時不必再查 page table。",""
"7","5575","S108","避免查詢 page table 需要進入 memory，用來加快 virtual address 和 physical address 的轉換。","2","同時提到避免查 page table 的 memory access 與加快 virtual/physical address 轉換。",""
"8","4347","S099","TLB 有較快的 Access 速度，因此在 TLB 中放常用的 Page 可以提高整體 Paging 速度。","1","有提到常用 page 與提升 paging 速度，但未直接說明是快取頁表項目來做位址轉譯。",""
"9","4158","S070","在找memory資料(page)時，如果可以在TLB(速度很快)找到在memory的某個位置，那可以少一次的memory access，否則要先去memory裡的page table找(memory access)","2","有明確指出可少一次 memory access，並提到 page table 與 TLB 的關係。",""
"10","5398","S080","to lower the effect memory access time by put some commonly used entries into TLB, this way the system can lower the access time.","2","有指出將常用項目放入 TLB 以降低 memory access time，符合用途。",""
"11","2720","S003","To save time for accessing the page table. which would need  memory accessing time, but with TLB, it is much faster than the memory accessing, and we can think of it a nearer page table.","2","有說明 TLB 用來減少存取 page table 的成本，並可視為較近的 page table。",""
"12","4493","S035","Reduce the memory access time : access main memory is time consuming, and page table is stored in main memory. TLB is used to reduce the times to access page table(TLB hit rate higher is better).","2","有指出 page table 在主記憶體中，TLB 用來減少查 page table 的次數。",""
"13","5589","S037","A page access need two memory access, one for page table, one for address. TLB can reduce the memory access to page table.","2","有提到頁面存取需要兩次 memory access，而 TLB 可減少查 page table 的一次。",""
"14","4485","S096","to increase memory access speed, by caching virtual page addresses and their related physical frame addresses","2","有寫出快取 virtual page 與 physical frame 對應，可加速位址存取。",""
"15","4896","S013","Decrease the number of the memory access","1","只提到減少 memory access，未交代快取頁表項目或位址轉譯。",""
