"index","exam_answer_id","username","original_score","original_feedback"
"1","1513","S109","2.0",""
"2","1504","S015","2.0",""
"3","1434","S054","2.0",""
"4","1446","S117","2.0",""
"5","1449","S093","2.0",""
"6","1466","S012","2.0",""
"7","1460","S108","2.0",""
"8","2031","S099","2.0",""
"9","1534","S070","2.0",""
"10","1567","S080","0.0",""
"11","1471","S003","2.0",""
"12","1444","S035","2.0",""
"13","1441","S037","2.0",""
"14","1488","S096","2.0",""
"15","1522","S013","0.0",""
"16","1454","S040","2.0",""
"17","1514","S124","2.0",""
"18","1581","S121","2.0",""
"19","1429","S068","0.0",""
"20","1418","S102","2.0",""
"21","1604","S034","0.0",""
"22","5349","S084","2.0",""
"23","1623","S079","0.0",""
"24","1419","S122","0.0",""
"25","1440","S086","2.0",""
"26","1459","S052","2.0",""
"27","1452","S033","0.0",""
"28","1553","S123","2.0",""
"29","1455","S027","2.0",""
"30","1409","S081","0.0",""
"31","1411","S008","2.0",""
"32","1467","S078","2.0",""
"33","1413","S087","2.0",""
"34","1414","S022","0.0",""
"35","2512","S110","2.0",""
"36","1417","S082","2.0",""
"37","1490","S105","2.0",""
"38","1540","S111","0.0",""
"39","1507","S085","2.0",""
"40","1474","S004","2.0",""
"41","1428","S011","2.0",""
"42","2141","S046","0.0",""
"43","3407","S005","2.0",""
"44","2902","S061","2.0",""
"45","4696","S014","2.0",""
"46","1483","S028","2.0",""
"47","1503","S107","2.0",""
"48","1432","S126","2.0",""
"49","1524","S017","2.0",""
"50","1634","S115","2.0",""
"51","1461","S089","2.0",""
"52","1506","S009","2.0",""
"53","1496","S094","0.0",""
"54","2733","S066","2.0",""
"55","1442","S041","2.0",""
"56","2231","S031","2.0",""
"57","1482","S116","2.0",""
"58","1781","S059","2.0",""
"59","1422","S064","0.0",""
"60","1447","S101","2.0",""
"61","1542","S103","2.0",""
"62","1674","S104","2.0",""
"63","1433","S023","0.0",""
"64","1408","S113","2.0",""
"65","1517","S055","2.0",""
"66","1481","S119","2.0",""
"67","2110","S067","2.0",""
"68","1632","S076","2.0",""
"69","2437","S074","2.0",""
"70","1546","S063","2.0",""
"71","1451","S090","2.0",""
"72","1658","S100","2.0",""
"73","1502","S114","2.0",""
"74","1525","S038","2.0",""
"75","1739","S047","2.0",""
"76","1565","S044","2.0",""
"77","1512","S075","2.0",""
"78","1438","S030","2.0",""
"79","1646","S106","2.0",""
"80","6076","S019","0.0",""
"81","1509","S020","2.0",""
"82","1412","S010","2.0",""
"83","1962","S091","2.0",""
"84","1426","S051","2.0",""
"85","1420","S039","2.0",""
"86","1430","S018","2.0",""
"87","1592","S049","2.0",""
"88","1588","S053","2.0",""
"89","1718","S092","2.0",""
"90","1569","S125","0.0",""
"91","1584","S021","2.0",""
"92","1499","S050","2.0",""
"93","1427","S036","0.0",""
"94","1599","S048","0.0",""
"95","2165","S112","2.0",""
"96","1407","S006","2.0",""
"97","1598","S026","0.0",""
"98","4256","S032","0.0",""
"99","1788","S057","0.0",""
"100","1721","S002","0.0",""
"101","1469","S007","2.0",""
"102","1630","S016","0.0",""
"103","1543","S083","2.0",""
"104","1576","S088","2.0",""
"105","1748","S058","0.0",""
"106","1484","S043","2.0",""
"107","1425","S060","2.0",""
"108","1435","S024","2.0",""
"109","6538","S095","0.0",""
"110","1528","S077","2.0",""
"111","1561","S120","2.0",""
"112","1533","S073","0.0",""
"113","1415","S069","2.0",""
"114","5385","S072","0.0",""
"115","4251","S042","0.0",""
"116","1489","S071","2.0",""
"117","1979","S062","2.0",""
"118","1636","S045","2.0",""
"119","1706","S056","2.0",""
"120","1529","S029","0.0",""
"121","1642","S065","2.0",""
"122","1640","S025","0.0",""
"123","1487","S098","2.0",""
