"index","exam_answer_id","username","original_score","original_feedback"
"1","11694","S109","3.0",""
"2","13208","S015","3.0",""
"3","14648","S054","3.0",""
"4","14291","S117","3.0",""
"5","12770","S093","3.0",""
"6","13340","S012","3.0",""
"7","13142","S108","3.0",""
"8","13033","S099","3.0",""
"9","12898","S070","3.0",""
"10","14617","S080","3.0",""
"11","11843","S003","3.0",""
"12","13630","S035","3.0",""
"13","15121","S037","1.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")"
"14","13598","S097","2.5","Initialization: execute out(""sem"") N times."
"15","11402","S013","3.0",""
"16","14083","S040","3.0",""
"17","11601","S124","3.0",""
"18","14582","S121","3.0",""
"19","11961","S068","3.0",""
"20","12810","S102","3.0",""
"21","13139","S034","1.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")."
"22","11930","S084","3.0",""
"23","13423","S079","3.0",""
"24","11821","S122","3.0",""
"25","13041","S086","3.0",""
"26","14368","S052","3.0",""
"27","13066","S033","3.0",""
"28","13979","S123","3.0",""
"29","12758","S027","3.0",""
"30","11713","S081","2.5","Initialization: execute out(""sem"") N times."
"31","14399","S008","1.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")."
"32","11216","S078","3.0",""
"33","12382","S087","3.0",""
"34","12208","S022","2.5","Initialization: execute out(""sem"") N times."
"35","14066","S110","3.0",""
"36","14633","S082","3.0",""
"37","12109","S111","3.0",""
"38","13008","S085","3.0",""
"39","13157","S004","3.0",""
"40","12757","S046","3.0",""
"41","11919","S005","3.0",""
"42","11706","S014","3.0",""
"43","12700","S107","3.0",""
"44","13750","S126","3.0",""
"45","15893","S017","3.0",""
"46","11897","S115","3.0",""
"47","12711","S089","3.0",""
"48","12487","S009","3.0",""
"49","13850","S094","3.0",""
"50","13890","S066","3.0",""
"51","12932","S041","2.5","Initialization: execute out(""sem"") N times."
"52","15919","S031","3.0",""
"53","12826","S116","3.0",""
"54","13973","S059","3.0",""
"55","13054","S064","2.5","Initialization: execute out(""sem"") N times."
"56","14124","S101","3.0",""
"57","13021","S103","3.0",""
"58","11847","S104","3.0",""
"59","14128","S023","2.5","Initialization: execute out(""sem"") N times."
"60","12666","S113","3.0",""
"61","13092","S055","3.0",""
"62","13407","S119","3.0",""
"63","13165","S067","3.0",""
"64","14523","S076","3.0",""
"65","11983","S074","2.5","Initialization: execute out(""sem"") N times."
"66","13732","S063","2.5","Initialization: execute out(""sem"") N times."
"67","13101","S090","3.0",""
"68","11913","S100","3.0",""
"69","15681","S114","1.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")."
"70","13525","S038","3.0",""
"71","12788","S047","3.0",""
"72","14996","S044","3.0",""
"73","13159","S075","3.0",""
"74","13053","S030","2.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")."
"75","12868","S106","3.0",""
"76","13462","S019","3.0",""
"77","12623","S020","3.0",""
"78","13283","S010","3.0",""
"79","13263","S091","3.0",""
"80","12922","S051","1.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")"
"81","12480","S039","3.0",""
"82","13114","S018","3.0",""
"83","12695","S049","2.5","Initialization: execute out(""sem"") N times."
"84","13301","S053","3.0",""
"85","13670","S092","3.0",""
"86","12492","S125","2.5","Initialization: execute out(""sem"") N times."
"87","11962","S021","2.5","Initialization: execute out(""sem"") N times."
"88","13274","S050","3.0",""
"89","13023","S036","2.5","Initialization: execute out(""sem"") N times."
"90","12852","S048","3.0",""
"91","13383","S112","3.0",""
"92","12951","S006","3.0",""
"93","13304","S057","2.5","Initialization: execute out(""sem"") N times."
"94","15518","S002","3.0",""
"95","13150","S007","3.0",""
"96","12472","S118","2.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")"
"97","16195","S016","2.5","Initialization: execute out(""sem"") N times."
"98","16144","S083","3.0",""
"99","13451","S088","3.0",""
"100","14532","S058","3.0",""
"101","12407","S043","3.0",""
"102","12256","S060","3.0",""
"103","12822","S024","3.0",""
"104","13189","S095","2.5","Initialization: execute out(""sem"") N times."
"105","13587","S077","3.0",""
"106","12816","S120","3.0",""
"107","15822","S073","2.5","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")."
"108","13211","S069","3.0",""
"109","13777","S072","3.0",""
"110","12919","S042","3.0",""
"111","13428","S071","3.0",""
"112","12989","S062","3.0",""
"113","13382","S045","3.0",""
"114","15696","S056","3.0",""
"115","13953","S128","0.0","Initialization: execute out(""sem"") N times. Wait(): execute in(""sem""). Signal(): execute out(""sem"")"
"116","15231","S029","3.0",""
"117","13158","S065","3.0",""
"118","13626","S098","3.0",""
