"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","11444","S109","pros: (1) 比較好設計與管理，只要寫好 master 就好 (2)適合需要高度平行化的工作，因為只有master在分派工作
cons: (1) master 是效能頻頸，會有擴充上的限制 (2) single point failure could bring down to the whole system, master 掛掉就不能做事、分派任務了 ","4","四點齊全",""
"2","13320","S015","Advantages:
1. Easy to implement: Only 1 OS image and 1 master CPU to maintain.
2. Better load balance: The master CPU may use the slave CPUs equally, preventing unbalance loaded.

Disadvantage:
1. Limited scalability: The number of CPUs in MS-MP is limited by the ability of the master CPU. And the limited number is usually less than other types of MP.
2. Single point failure: Once the master CPU crashes, the whole system are broken.","4","四點齊全",""
"3","14514","S054","pros：
1, simplicity：簡單的程式執行運作邏輯
2, efficient：階層明確
cons：
1, 工作量大時master 可能會成為瓶頸
2, slave 無法處理時，需要交給master，產生overhead","2","僅部分對到要點，優缺點都不夠明確",""
"4","14377","S117","pros:
simplicity: only need to modify code and manage one processor (master)
load balancing: 統一由master分配process，方便平衡各processor的負載量
cons:
scalability: performance由master決定，與master的負載量有關
one point failure: 如果master failure，則slaves也會一起failure","4","四點齊全",""
"5","12848","S093","pros
1. 比較好實作跟管理，不用考慮一些比較複雜的情況
2. resource allocation比較簡單，不用考慮搶資源，因為都由master去做統一的管理
cons:
1. scalability不好，因為如果加很多slave的話，效能會卡在master那裏
2. failure的機會比較高，如果master壞掉了，整個系統就壞了","4","四點齊全",""
"6","13411","S012","advantages:
1. easy to implemente: only have to program schedule algorithm on master core
2. good resource utilization: master core helps allocate resources to each slave cores

disadvantages:
1. bad scalibility: increase the number of slave cores means the master core should have a job to do when allocate resources. the master core then become the bottleneck of the whole system
2. once the master core is broken, the whole system will be broken because nobody can lead all slave cores.","4","四點齊全",""
"7","13207","S108","Pros: 1. 簡單實作 2. 資源分配有效率
Cons: 1. master 成為瓶頸，可擴充性差 2. 穩定性差，有 single point failure 的問題。","4","四點齊全",""
"8","13045","S099","Pros:
1. 架構較簡單，只需維持一份 OS 複本
2. 負載較平衡，所有工作都由 Master 統一派發
Cons:
1. System call、I/O 都由 Master 負責，Master 可能會變成效能瓶頸
2. 若 Master crash，整個系統都會壞掉","4","四點齊全",""
"9","12976","S070","pros:1. 簡單易管理 2. 只有一份OS，沒有像檔案格式那類的問題
cons:1.擴展性低，processor多容易bottleneck 2.master壞了就全部壞了","3","缺點完整，優點僅一項較明確",""
"10","14671","S080","pros:
1. it is easier to design since there is only one processor need to be monitored.
2. the deadlock is less likely to happened.

cons:
1. scalabiltiy: the architecture's performance is depend on the master, temp to have bottleneck.
2. if the master processor fail, then the whole architecture may all fail.","2","僅對到設計簡單與系統失效，其他點不夠明確",""
"11","11895","S003","pros:
easier to design and places, better resource allocation
cons:
master may be the bottleneck, and it might brings down whole system if failed","3","有對到設計與資源分配，但缺點描述較少",""
"12","13712","S035","advantages :
(1) it is easy to implement and manage , because only the master processor need to be managed.
(2) it is efficient for resource using and load balancing, because the master processor will allocate the work and resource to slave processors automatically.
disadvantages :
(1) the master processor may become the bottleneck when the number of slave processor increases.
(2) if the master processor crash, the whole system may fail.","4","四點齊全",""
"13","15230","S037","Pros: load balance, simple
Cons: low scalability, master processor become bottleneck","3","優點與缺點大致對到，但答案偏精簡",""
"14","13619","S097","Advantages:
1. Easy to implement
2. Effective load balancing: master cpu knows the workload of each cpu, so it can distribute tasks effectively between slave cpus.
Disadvantages:
1. Single point of failure: if master cpu faults, the whole system goes down
2. Scalability: it's hard to add a lot of cpu's, because load on master cpu will increase and it can become a bottleneck","4","四點齊全",""
"15","11142","S013","Pros:
1. simple to design
2. easy to control the processors
Cons:
1. it only fits on small size
2. single point of failure","4","四點齊全",""
"16","14121","S040","Advantage:
1. better resource allocate: master can control all CPU resources and allocate it in better way
2. easier to design

Disadvantage:
1. master may become bottleneck when many IO request
2. single failure of master will affect whole system","4","四點齊全",""
"17","11635","S124","Advantages : 
- it's simple to implement and to use 
- the workload between slaves is balanced by the master 
Disadvantages : 
- the master can quickly become a performance bottleneck  
- the master is a single point of failure -> if it fails, whole system fails ","4","四點齊全",""
"18","14732","S121","- The scalability : the master became a bottleneck when the system is too much scaled.
- Ressources allocation : it is easy to split the ressources among all the processors with MS-MP","2","僅對到擴充性與資源分配兩個概念",""
"19","12037","S068","優點：負載平衡、提高吞吐量
缺點：單點故障、效能瓶頸","4","四點齊全",""
"20","12903","S102","優點:容易管理，可以分配平均
缺點: 瓶頸會在master、如果master crash的話，系統會全部失效","4","四點齊全",""
"21","13190","S034","優點:
1. 簡單且好管理，因為只有一個processor在做管理和分配。
2. 資源分配效率高，因為有專門的processor在做管理和分配。
缺點:
1. single point of failure: 因為管理的processor只有一個，如果它故障就麻煩了。
2. 擴展性差： 因為只有一個管理的processor，所以擴展性會被其限制住。","4","四點齊全",""
"22","12001","S084","優 : (1)實作與設計簡單。
       (2)工作分配平衡，都由master統一分配。
缺 : (1)單點故障，master只要一當機，整個系統就會當機。
       (2)擴充性限制，master假如忙不過來，可能成為效能瓶頸。","4","四點齊全",""
"23","13515","S079","advantage: easy to implement, and it can achieve load balance
disadvantage: the scalability is low and it does not work when there are many nodes. also, the master node will be a performance bottleneck, if master broke.","4","四點齊全",""
"24","11688","S122","優點:
效率高
有效分配資源


缺點:
單點死機
缺乏靈活應變 
缺乏擴展性","3","有對到單點故障與擴充性，但優點表述較籠統",""
"25","13096","S086","advantage:
1. Easier to design and manage
2. No unbalance workload
disadvantage:
1. Performance bottleneck: All system calls and OS operation go through the master CPU
2. Master failure crash the system","4","四點齊全",""
"26","14553","S052","Advantages:
1. Single OS copy is easy to implement.
2. Master CPU使用OS來分配process給各slave CPU，可以確保load balancing。

Disadvantages:
1. Single point of failure: 只有master CPU可以使用OS function，因此如果master CPU fails，整個系統就會fail
2. 只有master CPU可以使用OS function，如果增加更多slave CPUs，master CPU會變得太忙，master CPU容易變成performance bottleneck。","4","四點齊全",""
"27","13182","S033","優點
1.容易管理以及利用
2.有效節省資訊
缺點
1.scalibilty不佳
2.one point of failure","2","僅對到管理與單點故障，另一優點不明確",""
"28","14117","S123","Pros:
1. Easy to design and manage: Only master needs to be programmed and monitored.
2. Efficient resource allocation: The master can allocate tasks to the slaves. Automatic load balancing.
Cons:
1. Limited scalability: The performance depends on the master.
2. Single point of failure: If the master fails, the whole system may fail.","4","四點齊全",""
"29","12837","S027","Pros:
Easy to design and manage:only the master controls the system
better task allocation:the master can assign job to slave CPUs
Cons:
Limited scalaility: the master may become a bottleneck
single point of failure:if the master fail,the whole system may fail","4","四點齊全",""
"30","11841","S081","Advantages-
1. only one os file on memory
2. master runs the os functions
Disadvantages-
1. master fails then the whole system is down
2.  slave runs system processes","2","只看得出一個較明確的優點與一個缺點",""
