"index","exam_answer_id","username","original_score","original_feedback"
"1","3828","S109","3.0",""
"2","3675","S015","3.0",""
"3","4534","S054","3.0",""
"4","4861","S117","3.0",""
"5","4070","S093","3.0",""
"6","5129","S012","3.0",""
"7","5875","S108","3.0",""
"8","4632","S099","3.0",""
"9","3920","S070","3.0",""
"10","5769","S080","3.0",""
"11","2456","S003","3.0",""
"12","4914","S035","3.0",""
"13","5410","S037","3.0",""
"14","4727","S096","3.0",""
"15","5119","S013","3.0",""
"16","4800","S040","3.0",""
"17","2670","S124","3.0",""
"18","4474","S121","3.0",""
"19","5241","S068","3.0",""
"20","4218","S102","3.0",""
"21","5162","S034","3.0",""
"22","4418","S084","3.0",""
"23","6051","S079","3.0",""
"24","3798","S122","2.0","a. number of queues b. scheduling algorithms for each queue c. methods used to determine when to upgrade a process d. methods used to determine when to demote a process e. methods used to determine which queue a process will enter when that process needs service"
"25","2889","S086","3.0",""
"26","5099","S052","3.0",""
"27","5319","S033","3.0",""
"28","4371","S123","3.0",""
"29","4375","S027","3.0",""
"30","5878","S081","0.0","a. number of queues b. scheduling algorithms for each queue c. methods used to determine when to upgrade a process d. methods used to determine when to demote a process e. methods used to determine which queue a process will enter when that process needs service"
"31","5413","S008","3.0",""
"32","4511","S078","3.0",""
"33","3816","S087","3.0",""
"34","3864","S022","3.0",""
"35","6515","S110","3.0",""
"36","4692","S082","3.0",""
"37","6064","S105","3.0",""
"38","4013","S111","3.0",""
"39","4298","S085","3.0",""
"40","4757","S004","3.0",""
"41","4626","S011","3.0",""
"42","4094","S046","3.0",""
"43","2468","S005","3.0",""
"44","2290","S061","3.0",""
"45","2095","S014","1.0",""
"46","3999","S028","3.0",""
"47","3870","S107","3.0",""
"48","6228","S126","0.0","a. number of queues b. scheduling algorithms for each queue c. methods used to determine when to upgrade a process d. methods used to determine when to demote a process e. methods used to determine which queue a process will enter when that process needs service"
"49","3981","S017","3.0",""
"50","2390","S115","3.0",""
"51","3011","S089","3.0",""
"52","3803","S009","3.0",""
"53","2787","S094","3.0",""
"54","6733","S066","3.0",""
"55","2943","S041","3.0",""
"56","5288","S031","3.0",""
"57","3482","S116","3.0",""
"58","4931","S059","3.0",""
"59","2817","S064","3.0",""
"60","4391","S101","3.0",""
"61","6129","S103","3.0",""
"62","4395","S104","3.0",""
"63","5031","S023","3.0",""
"64","2719","S113","3.0",""
"65","4693","S055","3.0",""
"66","4458","S119","3.0",""
"67","5473","S067","3.0",""
"68","6219","S076","3.0",""
"69","2295","S074","1.0","a. number of queues b. scheduling algorithms for each queue c. methods used to determine when to upgrade a process d. methods used to determine when to demote a process e. methods used to determine which queue a process will enter when that process needs service"
"70","3754","S063","3.0",""
"71","4759","S090","3.0",""
"72","2801","S100","3.0",""
"73","4446","S114","3.0",""
"74","3414","S038","3.0",""
"75","5033","S047","3.0",""
"76","4563","S044","3.0",""
"77","4507","S075","3.0",""
"78","4088","S030","3.0",""
"79","5077","S106","3.0",""
"80","4862","S019","3.0",""
"81","3507","S020","3.0",""
"82","2353","S010","3.0",""
"83","5333","S051","3.0",""
"84","3357","S039","3.0",""
"85","3931","S018","3.0",""
"86","4208","S049","3.0",""
"87","5359","S053","3.0",""
"88","4901","S092","3.0",""
"89","4253","S125","3.0",""
"90","6529","S021","3.0",""
"91","5446","S050","3.0",""
"92","3882","S036","3.0",""
"93","6065","S048","2.0",""
"94","4614","S112","3.0",""
"95","3688","S006","3.0",""
"96","5301","S026","3.0",""
"97","6587","S057","3.0",""
"98","6470","S002","3.0",""
"99","4794","S007","3.0",""
"100","6404","S016","3.0",""
"101","6464","S083","3.0",""
"102","4517","S088","3.0",""
"103","5694","S058","3.0",""
"104","5098","S043","3.0",""
"105","4329","S060","3.0",""
"106","3948","S024","3.0",""
"107","6418","S095","3.0",""
"108","3874","S077","3.0",""
"109","4068","S120","3.0",""
"110","4124","S073","3.0",""
"111","3991","S069","3.0",""
"112","2465","S072","3.0",""
"113","3612","S042","3.0",""
"114","4119","S071","3.0",""
"115","6151","S062","3.0",""
"116","4934","S045","3.0",""
"117","3814","S056","3.0",""
"118","6054","S029","3.0",""
"119","4683","S065","3.0",""
"120","6571","S025","3.0",""
"121","5093","S098","3.0",""
