"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2582","S109","shared: process memory, code, text
not shared:  thread id, stack, program counter","","",""
"2","2621","S015","shared:
code, static data, process ID

not shared:
program counter, stack, CPU registers","","",""
"3","6022","S054","shared: global variable, shared meomory, 
not shared: thread id, stack pointer, program counter","","",""
"4","3719","S117","shared: file desceiption, code, data
not shared: thread ID, stack, stack pointer","","",""
"5","4386","S093","shared: heap section, text section, global variable
not shared: thread ID, stack section, program counter","","",""
"6","3261","S012","shared: open files, text, global data
not shared: pc, stack, signal mask","","",""
"7","4043","S108","Shared: code section, global variable, static variable
Not shared: thread ID, stack, program counter","","",""
"8","3004","S099","Shared: Heap, text, data
Not shared: Program counter, register, stack pointer","","",""
"9","2516","S070","shared:text(code)、static data、global variable
not shared:threadID、program counter、stack","","",""
"10","4069","S080","shared: BSS segment, data, opened file descriptor
not-shared: ThreadID, saved cpu register, program counter","","",""
"11","3150","S003","Not shared:
Stack(like local variables), Stack pointer, thread id
Shared
heap, code , data section","","",""
"12","3298","S035","shared :  1. data/global variable 2. text segment(code) 3. open file
not shared : 1. stack pointer 2. program counter 3. CPU register","","",""
"13","4159","S037","Shared: heap, shared library, global variable
not shared: PC, stack, cpu register","","",""
"14","2710","S096","Shared:
- file descriptors
- global variables
- process id

Not shared:
- program counter
- stack pointer
- cpu registers","","",""
"15","4038","S013","1. stack, register, process ID
2. saved CPU register, thread ID, stack pointer.","","",""
"16","3877","S040","shared: PC, register, stack
not shared: text, data, bss","","",""
"17","2243","S124","Global variables, text (code) and data are shared between threads 
Thread ID, priority and stack pointer aren't","","",""
"18","2828","S121","not shared by threads :
- PC (program counter)
- Stack
- SP (Stack pointer)

shared by threads : 
- Static data 
- text (code)
- heap","","",""
"19","6603","S068","Shared: 全域變數，記憶體，process ID
Not Shared: 區域變數，暫存器內容，thread IDs","","",""
"20","2874","S102","Shared: heap, program, process ID
NOT shared : threads ID, stack, CPU register","","",""
"21","4165","S034","shared:
global variable, memory, static data

not shared:
thread ID, saved CPU register, program counter","","",""
"22","3572","S084","1. global variable, address space, page table
2. thread ID, program counter, priority","","",""
"23","4177","S079","Shared: Text segment, Data segment, BSS segment, signal
Not Shared: Program Counter, Stack Pointer, Thread ID, signal mask","","",""
"24","6078","S122","shared: id 排程 time

not shared: dAta memory  
","","",""
"25","3839","S086","Not shared: thread ID, saved CPU register, stack
Shared: process ID, memory","","",""
"26","3711","S052","Shared: Process ID, signal, global variables 
Not shared: Thread ID, signal mask, stack pointer","","",""
"27","3748","S033","not share:priority、 process count、CUP ID
 ","","",""
"28","3467","S123","Shared attribute:
Non-shared attribute: thread ID, register, program counter","","",""
"29","2895","S027","Shared:code,heap,static data
Not shared:thread ID,Saved CPU register,stack","","",""
"30","2273","S081","three attributes that are shared-
1. parent and child
2. pointer counter 
3.  linked allocation
three attributes that are not shared-
1. program counter 
2. threadID
3. slack","","",""
"31","3233","S008","Shared:
1. text
2. bss
3. user id / group id

Not Shared:
1. thread ID
2. stack pointer
3. program counter","","",""
"32","3388","S078","share: code section, global variable 
not share: stack, thread ID, PCB","","",""
"33","3205","S087","shared:Text,Bss,Data
not shared:register,program counter,stack pointer","","",""
"34","2778","S022","Shared: Global variables, text, heap

Non-shared: Program counter, stack pointer, thread ID","","",""
"35","4989","S110","shared: code,  global variable, PCB
not shared: thread ID, program counter, stack ","","",""
"36","3133","S082","Shared: data, user id, process id
Not shared: thread id, stack pointer, program counter","","",""
"37","4422","S105","Shared: text segment, static memories, global memories.

Not shared: local variables, dynamic memories, thread ID.","","",""
"38","2700","S111","Shared: memory, PID, open work file
Not shared: TID, stack pointer, program counter, stack","","",""
"39","2693","S085","共享: data segment, bss segment, 當前目錄
不共享: program counter, stack, thread id","","",""
"40","2986","S004","share:code section、data section、global 變數
not share:thread id,program counter,stack","","",""
"41","1987","S011","shared: pid, uid, heap.
not shared: thread id, stack, mutex.","","",""
"42","2757","S046","Shared: Signals, Global register, CPU　memory
Not Shared: Thread ID, Program counter, Saved CPU register, Stack pointer, priority","","",""
"43","1972","S005","Shared:
Code
Data
Heap

Not shared:
Thread ID
Stacks
CPU registers
","","",""
"44","5505","S061","Share : Thread , Global Replacement , Heap
Not Share : Thread ID , Stack , Stack Pointer","","",""
"45","2603","S014","not shared:stack、register、thread ID
shared:cpu、os、data","","",""
"46","2776","S028","Shared: Global Variables, Memory space

Not Shared: Thread ID, Stack Pointer, Program Counter","","",""
"47","2513","S107","shared: signal, stack, global variable
not shared: thread ID, program counter, signal mask ","","",""
"48","2836","S126","share:code,memory,program counter
no share:thread id,stack,register","","",""
"49","5554","S017","shared : global variables, shared data,  page table


not shared: Program counter, priority, signal mask, saved cpu registers, stack pointer","","",""
"50","2818","S115","Three attributes shared are global variables, libraries, heap.
Three that are not shared are program count, local variables, stack pointer. ","","",""
"51","2453","S089","shared : text segment, BSS segment, User ID
not shared : thread ID, CPU register, program counter","","",""
"52","2717","S009","shared among threads: global variable, static data, 
not shared among threads: CPU register, stack pointer ,thread ID","","",""
"53","3838","S094","share：程式碼、全域變數、memory
not share：thread ID、CPU register、stack","","",""
"54","6628","S066","shared: code, memory, data
not shared: threads ID, registers, pointer","","",""
"55","2331","S041","shared: Heap, BSS, information in the code file
not shared: Thread ID, Stack, CPU register","","",""
"56","3859","S031","threads shared : Text segment 、 BSS segment、 Data segment、全域變數
threads not shared : Thread ID、 Program Counter、 Stack Point","","",""
"57","5014","S116","shared: data segment , open files , BSS segment, text segment,
not shared: thread ID, program counter, stack, stack pointer
","","",""
"58","3914","S059","Shared: global variable, memory address, text

not shared: saved CPU register, thread ID, stack pointer","","",""
"59","2218","S064","shared: 1. code 2.全域變數 3. 記憶體

not shared:1. program counter 2. stack 3. register value","","",""
"60","2763","S101","Shared: static data, 
Not shared: Thread ID, local variables, pointer","","",""
"61","4454","S103","shared : 
1. CPU
2. memory
3. global variable
not shared : 
1. thread ID
2. register
3. stack","","",""
"62","6211","S104","SHARED: text segment , data segment , BSS segment
NOT SHARED: thread ID , program counter , stack pointer","","",""
"63","2814","S023","shared: CPU utilization, throughput, waiting time
not shared: Thread ID, Saving CPU register, Program Counter, Stack","","",""
"64","3594","S113","shared:data,code,open file
not shared:program counter,stack pointer,register","","",""
"65","3515","S055","shared:global variable, text code, process ID

non shared: program counter, register, stack section.
","","",""
"66","2990","S119","not shared: thread ID, saved CPU register, stack pointer
shared: data segment, context segment, ","","",""
"67","3847","S067","same: Data, code, process execute address,O.S.

not-share: thread ID,priority,stack pointer","","",""
"68","4512","S076","Three attributes that are shared among threads include memory - local address, global variables, and files. 
Three attributes not shared include stack pointer, program counter, and registers.","","",""
"69","4459","S074","Shared
1. Working directory
2. Global variable
3. Process ID

Not Shared
1. Thread ID
2. Track counter
3. Pointer","","",""
"70","2870","S063","shared: Memory, BSS segment, file descriptor
not shared: thread ID, stack, CPU register","","",""
"71","3763","S090","Shared: text segment, data segment, heap
Not shared: stack, register, thread ID","","",""
"72","3784","S100","Shared : code text, global variables, shared memory region.
Not shared : CPU registers, stack, program counter.","","",""
"73","3402","S114","Shared :
1. code section
2. data section 
3. heap 
Not shared:
1. thread ID
2. stack 
3. register set","","",""
"74","2134","S038","1.PID、PARENT PID、process status
2.TID、register、PC","","",""
"75","2837","S047","Shared:
Global Variable
在同一個 process 底下（Process ID 同）
程式的值會一樣 （但沒 share 同一個 memory）
會從 fork 後的下一段程式執行 

Not Shared:
Thread ID
Program Counter
Stack (local variable)
","","",""
"76","2869","S044","shared: heap, user and group id, open file descriptor
not shared: thread id, program counter, stack","","",""
"77","3925","S075","shared:
process id 
global variable(對於thread)
process time
not shared:
thread id 
local variable(對於thread)
CPU register","","",""
"78","2585","S030","三個 share among threads
1. heap 2. code 3. resources
三個 not shared among threads
pc stack registers","","",""
"79","3957","S106","shared : heap , global variable, static program 
not shared : cpu register , stack , stack pointer ","","",""
"80","3504","S019","Shared : PID, files, Code, globel variables
Not shared : Thread ID, save CPU registers, Program Counter, Stack
","","",""
"81","2680","S020","Shared: heap, global variables
Non-shared: stack, program counter, CPU registers","","",""
"82","4049","S010","Global variales, are shared.
Thread ID, program counter, stack pointer are not shared.","","",""
"83","2648","S091","share:code,data,file
not share:register,PC,stack","","",""
"84","4219","S051","shared: heap, code, global variable
not shared: thread ID, PC, stack","","",""
"85","4470","S039","shared:
text segment, data segment, BSS segment

not shared:
CPU register, stack pointer, program counter","","",""
"86","2893","S018","shared: text,program id,heap
not shared: thread id,stack,program counter","","",""
"87","3319","S049","shared : static data , code, file discription
not shared: stack ,thread ID, priority","","",""
"88","4058","S053","shared: heap, text(code), global variable
not shared: stack, register, program counter","","",""
"89","3502","S092","shared: text, code, BSS
not shared: stack, thread ID, priority","","",""
"90","2476","S125","1.thread id
2.Saved cpu register
3.stack","","",""
"91","6322","S021","thread ID ,stack ,Process counter -not shared
Memory,address,register-shared
 ","","",""
