"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","11694","S109","初始化:out(""sem"") N 次
wait():in(""sem"")
signal():out(""sem"")","3","",""
"2","13208","S015","Initialize: Repeat `out(""semaphore"")` for N time

For accessing semaphore, use `in(""semaphore"")` to acquire and `out(""semaphore"")` to release.","3","",""
"3","14648","S054","initialization：執行 out(""sem"") N次
wait：in(""sem"")
signal：out(""sem"")","3","",""
"4","14291","S117","initialization: out(""sem"") N times
wait: in(""sem"")
signal: out(""sem"")","3","",""
"5","12770","S093","wait(): in(""sem"")
signal(): out(""sem"")
initialized: n次out(""sem"")","3","",""
"6","13340","S012","initalized: out(""sem"") for N times
wait: in(""sem"")
signal: out(""sem"")","3","",""
"7","13142","S108","out(""sem"") 做 N 次，此可以將 semaphore 的初始值設為 N，wait 使用 in(""sem"")，signal 使用 out(""sem"")
","3","",""
"8","13033","S099","初始化: execute out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"9","12898","S070","initial():out(""sem"")*N
wait():in(""sem"")
signal():out(""sem"")","3","",""
"10","14617","S080","initialization: out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"11","11843","S003","Init: out(""sem"") N times
Wait: In(""sem"")
Signal: out(""sem"")","3","",""
"12","13630","S035","1. Initialization : execute out(""sem"") for N times
2. Wait : execute in(""sem"")
3. Signal : execute out(""sem"")","3","",""
"13","15121","S037","for range(0,N)
     out(""sem"")

put N lock tuples to tuple space","1","僅描述初始化（for loop out N 次），未提供 wait/signal 的 Linda in/out 操作",""
"14","13598","S097","init: out(""sem"")
wait: in(""sem"")
signal:  out(""sem)","2","初始化未標明 N 次（僅 out(""sem"") 一次），signal 語法錯誤",""
"15","11402","S013","initialized: executed out(""sem"") N times
in(""sem"")
out(""sem"")","3","",""
"16","14083","S040","Initialization: out(sem) N time
wait: in(sem)
signal: out(sem)","3","",""
"17","11601","S124","out(""sem"") N times -> initializing the counting semaphore to N by adding n (""sem"") tuples to the tuple table
in(""sem"") -> decrement 1 to the counting semaphore as we remove one (""sem"") tuple from the tuple table, blocks if there is no (""sem"") tuple present (ie waits if counting semaphore = 0)
out(""sem"") -> increment 1 to the counting semaphore as we add one (""sem"") tuple to the tuple table ","3","",""
"18","14582","S121","Initialisation : out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"19","11961","S068","out(sem, 0)  # 初始化
in(sem, N)
out(sem, N)","1","使用非 Linda 標準語法 out(sem,0)/in(sem,N)/out(sem,N)，誤解 Linda primitive 用法",""
"20","12810","S102","initial: 執行n次 out(""sem"")
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"21","13139","S034","execute out(""sem"") N times","1","僅描述初始化 out(""sem"") N times，未提供 wait/signal 的 Linda in/out 操作",""
"22","11930","S084","Initialization : execute out(""sem"") N times
wait() : in(""sem"")
signal() : out(""sem"")","3","",""
"23","13423","S079","initialize: out('sem') for N times
write: in('sem')
equal: out('sem')","3","",""
"24","11821","S122","initilization: out(""sem"") 執行n次
wait:in(""sem"")
signal:out(""sem"")","3","",""
"25","13041","S086","Initialization: execute out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"26","14368","S052","Initialization: out(""sem"") N times
wait() (acquire lock): in(""sem"")
signal() (release lock): out(""sem"")","3","",""
"27","13066","S033","initialization:execute out(""sem"") for N times
wait():in (""sem"")
signal():out (""sem"")","3","",""
"28","13979","S123","Initialization: executing out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"29","12758","S027","Initialization:out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"30","11713","S081","initialization- out (""sem"")
wait-in(""sem"")
change- out(""sem"")","2","初始化未標明 N 次（僅 out(""sem"") 一次）",""
"31","14399","S008","out(""sem"") (use this for N times in the initialization)","1","僅描述初始化（out N 次概念），未提供 wait/signal 的 Linda in/out 操作",""
"32","11216","S078","initial: out(""sem"") n time
call : in(""sem"")
break : out(""sem"")","3","",""
"33","12382","S087","Initialization:執行out(""sem"") n次
wait:in(""sem"")
signal:out(""sem"")","3","",""
"34","12208","S022","Initialize: out(""sem"")
Wait: in(""sem"")
Release: out(""sem"")","2","初始化未標明 N 次（僅 out(""sem"") 一次）",""
"35","14066","S110","initilization: out(sem) * N
wait: in(sem)
signal: out(sem)","3","",""
"36","14633","S082","initial: out(sem) N times
write(): in(sem)
signal(): out(sem)","3","",""
"37","12109","S111","初始時 : out('smp') n次
signal() : out('smp')
wait() : in('smp')","3","",""
"38","13008","S085","初始化: out(""sem"")，N次
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"39","13157","S004","initialization:執行out(""sem"")N次
wait():in(""sem"")
signal():out(""sem"")","3","",""
"40","12757","S046","Initialization: execute out(""sem"") N times 
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"41","11919","S005","Initialization : Out(""sem"") N times
Wait :   In(""sem"")
Signal : Out(""sem"")","3","",""
"42","11706","S014","initialization:execute out(""sem"") counter N
wait():in(""sem"")
signal():out(""sem"")","3","",""
"43","12700","S107","initiate(): execute out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"44","13750","S126","initialize: 執行N次 out(""sem"")
wait() :  in(""sem"")
signal() : out(""sem"")","3","",""
"45","15893","S017","initialization : out(""sem"") N times    相當於N個可用資源
wait() : in(""sem"") 
signal() : out(""sem"")","3","",""
"46","11897","S115","initialize: out(""sem"") n times
wait: in(""sem"")
signal; out(""sem"")","3","",""
"47","12711","S089","Initialization : execute out('sem') N times
wait() in('sem');
signal() out('sem')","3","",""
"48","12487","S009","Initialization: out(""sem"") for n times
wait():in(""sem"")
signal():out(""sem"")","3","",""
"49","13850","S094","Initialization ：execute out(""sem"")N times
wait()：in(""sem"")
signal()：out(""sem"")","3","",""
"50","13890","S066","initialization: execute out(""sem"")  N times
wait():in(""sem"") 
siginal():out(""sem"") ","3","",""
"51","12932","S041","Init. :       out(""sem"")
wait() :    in(""sem"")
signal() : out(""sem"")","2","初始化未標明 N 次（僅 out(""sem"") 一次）",""
"52","15919","S031","初始化 : out(""sem"") N times
wait() : in(""sem"")
signal() : out(""sem"")","3","",""
"53","12826","S116","Initiazation: out(""sem"") n time
wait:out(""sem"")
signal: in(""sem"")","1","wait/signal 的 in/out 寫反：wait 用 out，signal 用 in",""
"54","13973","S059","Initialization: execute out(""sem"") N times
wait: in(""sem"")
signal: out(""sem"")","3","",""
"55","13054","S064","initialization：out(""sem"")
wait()：in(""sem"")
signal()：out(""sem"")","2","初始化未標明 N 次（僅 out(""sem"") 一次）",""
"56","14124","S101","Initialization: out(""sem"") N times
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
"57","13021","S103","initialization : execute out(""sem"") N time
wait() : in(""sem"")
signal() : out(""sem"")","3","",""
"58","11847","S104","initialization: out(""sem"") N次
wait(): in(""sem"")
signal(): out(""sem"")","3","",""
