"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2503","S109","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","",""
"2","2566","S015","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"3","6358","S054","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 40","1","C-SCAN 最後一項為 40，應為 45，序列有誤",""
"4","3655","S117","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"5","2791","S093","SCAN: 90 120 130 45 20 10 5
C-SCAN: 90 120 130 5 10 20 45","2","",""
"6","3172","S012","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"7","3978","S108","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"8","2981","S099","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"9","2469","S070","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","2","",""
"10","3946","S080","SCAN: 80->90->120->130->45->20->10->5
C-SCAN: 80->90->120->130->5->10->20->45","2","",""
"11","3301","S003","Scan
90, 120, 130, 45, 20, 10, 5
C-SCAN
90, 120, 130, 5, 10, 20, 45","2","",""
"12","3171","S035","SCAN : 90 120 130 45 20 10 5
C-SCAN : 90 120 130 5 10 20 45","2","",""
"13","4020","S037","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","",""
"14","2573","S096","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"15","3937","S013","1. 80, 90, 120, 130, 149, 0, 5, 10, 20, 45 
2. 80, 90, 120, 130, 5, 10, 20, 45","2","",""
"16","3843","S040","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"17","2206","S124","SCAN : 90 120 130 45 20 10 5 
C-SCAN : 90 120 130 5 10 20 45 ","2","",""
"18","2706","S121","SCAN : 90, 120, 130, 5, 10, 20, 45
C-SCAN : 90, 120, 130, 5, 10, 20, 45","1","SCAN 序列與 C-SCAN 相同，未正確反向掃描",""
"19","6616","S068","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"20","2747","S102","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5,10,20,45

","2","",""
"21","4046","S034","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","",""
"22","3346","S084","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","2","",""
"23","4031","S079","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","",""
"24","2385","S122","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","2","",""
"25","3210","S086","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","",""
"26","3590","S052","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","2","",""
"27","3627","S033","SCAN:90 120 130 45 20 10 5
C-SCAN:90 120 130 5 10 20 45","2","",""
"28","2827","S123","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5, 10, 20, 45","2","",""
"29","2782","S027","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","",""
"30","1926","S081","scan: 90, 120, 130, 45, 20, 10, 5
c-scan: 90, 120, 130, 45, 20, 5, 10","1","C-SCAN 序列順序錯誤，未正確從最低端循環",""
"31","3112","S008","SCAN: 90, 120, 130, (149), 45, 20, 5
C-SCAN: 90, 120, 130, (149), (0), 5, 20, 45","1","SCAN 與 C-SCAN 均缺少 track 10，序列不完整",""
"32","3230","S078","SCAN 90 120 130 5 10 20 45 
C-scan 90 120 130 45 20 10 5","0","SCAN 與 C-SCAN 答案互換，兩者均錯誤",""
"33","3131","S087","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","",""
"34","2709","S022","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"35","4833","S110","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","",""
"36","3063","S082","SCAN: 80 90 120 130 45 20 10 5
C-SCAN: 80 90 120 130 5 10 20 45","2","",""
