"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","11920","S109","當 cpu 想要寫 one word 並發現他在不只一個 cache 中的時候，他需要告知每個cache 他要做寫入的動作
(1)when it's a clean copy, 就直接把他捨棄掉就好
(2)when it's a dirty copy, 就需要把她寫回去記憶體
以上規則就是所謂的 cache coherence protocol
","2","有說明需通知各 cache，clean copy 可丟棄，dirty copy 需寫回 memory，符合題意。",""
"2","12832","S015","Cache coherence problem: A cache line may exist in multiple caches. If the cache line is modified (i.e. dirty), we must ensure all the caches has the same copies. If a CPU wants to write a cached word, it has 2 choice:
1. Invalid all other cache lines. Those which own this cache line need to refill the cache line again when they need it.
2. Broadcast the modification to all the caches, and modify the cache line in the cache.","1","有抓到多個 cache 的一致性與 invalidate/broadcast 概念，但未清楚交代 clean/dirty 的基本處理規則。",""
"3","14988","S054","當寫入新的 cached word時，其他CPU的Cached word也要變動
規則是：如果cached word is 未修改過的，可以直接discard;如果是dirty，可以在修改前傳回給CPU或傳給writer
","2","有說明其他 CPU 也要同步變動，且 clean 可 discard、dirty 可轉回 writer，重點完整。",""
"4","13596","S117","需要保持cache資料的一致性以及被修改的順序。如果需要write a cache line, 需要先去檢查有沒有其他processor存了這個cache line，如果別的processor存的是乾淨未修改過的cache line,直接標為invalid, 如果是有修改過的cache line(dirty), 需要先寫回memory, 然後更新到目前要執行寫入的cpu的cache，才能執行write。","2","有提到檢查其他 processor 的副本，clean 直接 invalid，dirty 需先寫回 memory，再進行寫入。",""
"5","13138","S093","在multiprocessor中如果在不同processor的相同cache block中，如果所持有的資料理論上要相同，但是因為其中有一個已經write了，導致資料的不一致，這就是cache coherence。
basic rules 就是當一個word要被寫時，會先把其他processor中的相同位置改成無效後，再改目前的processor中的資料，並將改完的資料標記為dirty","1","有描述多處理器同資料不一致與先讓其他副本無效，但 dirty copy 的處理說明不完整。",""
"6","12657","S012","when a core want to write a word that there are more than one core has a cache line of it, it has to notify those cores to maintain the coherence. it is the cache coherence problem. Then the cores being notified, if the cache line is not dirty, the core should just drop the cache line. If the cache line is dirty, it should either write the modify cache line back into memory firstly before the core who wants to write a word to maintance coherence or directly send the modified cache line to the core who wants to write a word.","2","有說明寫入前要通知其他 caches，clean copy 丟棄，dirty copy 先寫回或直接傳給 writer。",""
"7","12818","S108","當一個資料被儲存在多個處理器的 cache 中，此資料被修改時，需要所有的 cache 皆被修改，若只有改到某部分的 cache 而非全部，會導致不同的處理器之間資料不對齊。
當 cache word 被修改時，一個系統需要廣播給所有處理器，使得擁有此 cache word 的處理器同樣修改 (或直接使他失效) 此 cache word。","1","有提到多個 cache 間需同步或失效化，但未說明 dirty copy 與 write-back 的規則。",""
"8","12589","S099","在 MP 系統中要修改某資料，且該資料存在於多台機器的 cache，會遵循以下的方式：
1. 若該機器上的 cache 是 clean 的，則可以直接丟棄
2. 若該機器上的 cache 是 dirty 的，則須先將其 write-back 回主記憶體，或是傳送給要寫入他的 CPU．","2","有正確說明 clean copy 直接丟棄、dirty copy 需寫回 memory 或轉給 writer。",""
"9","12638","S070","不同cpu他們cache的相同data因有人寫入不同步
寫了就要作廢其他CPU 的那個cached word，之後看要直接寫回memory或是發送給其他CPU","1","有提到要讓其他 CPU 的副本作廢並處理寫回，但對 clean/dirty 規則交代不夠完整。",""
"10","13788","S080","when the write resquest happen on the data which is accessd by one more cache.
if the copy is clean which means it hasn't been modify, then the old copy can be disgarded and change to the new version.
if the copy has been modify, then it need to be sent to the memory before the write request continue to processed, or it can directly send to the writer.","2","有說明 clean copy 可丟棄，dirty copy 需先寫回 memory 或直接傳給 writer，符合題意。",""
