"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1591","S109","hellohello","","",""
"2","1597","S015","hello hello","","",""
"3","1541","S054","print 兩個 hello (excel後不會執行最後一行的print done)","","",""
"4","1578","S117","hello hello","","",""
"5","1530","S093","輸出2個hello","","",""
"6","1564","S012","hellohello","","",""
"7","1498","S108","two times of hello","","",""
"8","2066","S099","hello","","",""
"9","1568","S070","hellohello","","",""
"10","1616","S080","hello","","",""
"11","1539","S003","hello hello","","",""
"12","1510","S035","print hello two times","","",""
"13","1531","S037","兩個process分別echo hello","","",""
"14","1520","S096","hello","","",""
"15","1554","S013","hello","","",""
"16","1600","S040","output hello in two line","","",""
"17","1580","S124","It prints ""hello"" 2 times","","",""
"18","1641","S121","It prints 2 times : hello","","",""
"19","6747","S068","hellow hellow done","","",""
"20","1464","S102","print hello 2 times","","",""
"21","1787","S034","fork(): generate child process; excel():transfer function to print ""hello"", and final print ""done"".","","",""
"22","5435","S084","2次hello跟2次的done","","",""
"23","1779","S079","parent 和children的process or function都會被改成echo and terminate, after that the system will print done.","","",""
"24","1445","S122","done","","",""
"25","1521","S086","hello hello done done","","",""
"26","1545","S052","print out : hellodone","","",""
"27","1552","S033","done","","",""
"28","1594","S123","none","","",""
"29","1532","S027","hello hello","","",""
"30","1463","S081","echo hello done","","",""
"31","1456","S008","hello hello","","",""
"32","2423","S078","hellohello","","",""
"33","1479","S087","""hello""""hello""","","",""
"34","1473","S022","echo hellodone\n","","",""
"35","2576","S110","hellohello","","",""
"36","1537","S082","hellohello","","",""
"37","1657","S105","hellohello","","",""
"38","1582","S111","hello","","",""
"39","1556","S085","hello\nhello，不會輸出done","","",""
"40","1558","S004","hellohello","","",""
"41","1470","S011","印兩次hello","","",""
"42","2205","S046","print hello 2 times","","",""
"43","3436","S005","hello hello","","",""
"44","4688","S061","hello hello done","","",""
"45","4480","S014","done done","","",""
"46","1566","S028","hellohello","","",""
"47","1538","S107","hello done","","",""
"48","5993","S126","done","","",""
"49","1744","S017","hellohello    該程式只會輸出兩個hello，因為excel會取代程式碼，所以後面的printf(""done\n"")根本不會被執行，parent process和child process都只執行到execl那行，各自輸出一個hello就結束了","","",""
"50","1709","S115","hellohellohellohellodone","","",""
"51","1536","S089","print兩次hello","","",""
"52","1583","S009","hello done","","",""
"53","1515","S094","2","","",""
"54","2816","S066","2","","",""
"55","3567","S041","輸出兩個 hello","","",""
"56","2262","S031","hellodonehellodone","","",""
"57","1593","S116","hello hello","","",""
"58","1821","S059","hellohello","","",""
"59","3531","S064","hello hello done","","",""
"60","1547","S101","hellohello","","",""
"61","1691","S103","hellohello","","",""
"62","1814","S104","done","","",""
"63","6442","S023","print 2 times hello and done","","",""
"64","1416","S113","hello","","",""
"65","1610","S055","hello hello","","",""
"66","1622","S119","hellodone hellodone","","",""
"67","2174","S067","hello done hello done","","",""
"68","1733","S076","Two processes print done. Thus, done is printed twice.","","",""
"69","6386","S074","done done","","",""
"70","1596","S063","hello hello","","",""
"71","1555","S090","hellohello","","",""
"72","1700","S100","hello, hello","","",""
"73","1523","S114","hello","","",""
"74","1500","S038","hellohello","","",""
"75","1842","S047","hellohello","","",""
"76","1667","S044","hellohello","","",""
"77","1570","S075","輸出兩個hello","","",""
"78","1501","S030","child 會輸出 hello, 本身會輸出 done","","",""
"79","1668","S106","hello","","",""
"80","6125","S019","""hello"" ""hello""","","",""
"81","1551","S020","hellohello","","",""
"82","1477","S010","hellodone","","",""
"83","2007","S091","hellodone","","",""
"84","1480","S051","It will only print 2 ""hello"".","","",""
"85","1494","S039","hellohello","","",""
"86","1585","S018","兩個程式code都改成/bin/echo的程式，原本printf不會產生。","","",""
"87","2144","S049","輸出 hello 兩次 ","","",""
"88","1665","S053","hello hello","","",""
"89","1816","S092","hello","","",""
"90","1612","S125","hello","","",""
"91","1614","S021","hello","","",""
"92","1603","S050","hello","","",""
"93","1549","S036","/bin/echo echo hello done","","",""
"94","1625","S048","hello","","",""
"95","2183","S112","0","","",""
"96","1497","S006","hello, hello","","",""
"97","1840","S026","/bin/hello done done","","",""
"98","4229","S032","done","","",""
"99","1958","S057","印出兩次 hello ,  done","","",""
"100","1800","S002","hellohello","","",""
"101","1682","S007","hello\nhello\n","","",""
"102","1742","S016","done","","",""
"103","1672","S083","hello,done","","",""
"104","1638","S088","hello hello done","","",""
"105","1918","S058","hellohellodone","","",""
"106","1590","S043","excel 抹去fork的內容，執行''/bin/echo'', print: done ","","",""
"107","1526","S060","印兩個hello 然後印done","","",""
"108","1505","S024","hello hello","","",""
"109","6266","S095","hello done","","",""
"110","1573","S077","hellohello","","",""
"111","1655","S120","P0: hello, print:done; P1 hello, print: done","","",""
"112","1572","S073","2","","",""
"113","1475","S069","hellohello","","",""
"114","5055","S072","hello hello","","",""
"115","4425","S042","done\n done\n","","",""
"116","1518","S071","hellohello","","",""
"117","2042","S062","""hellohello"" (print 2 hello)","","",""
"118","1746","S045","會print出兩個hello","","",""
"119","1763","S056","""hello"" ""hello""","","",""
"120","1575","S029","hello hello done","","",""
"121","5949","S065","print 2個hello，執行execl()變成echo，print done。","","",""
"122","1729","S025","hellodone","","",""
"123","1589","S098","hellohello","","",""
