"index","exam_answer_id","username","original_score","original_feedback"
"1","12787","S109","3.0","Polling, pop-up thread, interrupt handler covered. Missing interrupt as a distinct notification."
"2","11769","S015","4.0",""
"3","16179","S054","0.0","Only 'session method (AFS)' mentioned, not matching any of the 4 notification methods."
"4","11958","S117","4.0",""
"5","11634","S093","4.0",""
"6","11689","S012","3.0","Signal and interrupt are essentially the same method. Missing active message / interrupt handler processing."
"7","11628","S108","4.0",""
"8","11685","S099","4.0",""
"9","11803","S070","4.0",""
"10","12325","S080","4.0",""
"11","11243","S003","2.0","Only 2 methods covered (interrupt, pop-up thread). Missing polling and active message."
"12","12091","S035","4.0",""
"13","12684","S037","3.0","Poll, pop-up thread, interrupt handler covered. Missing interrupt as a distinct notification method."
"14","12230","S097","3.0","Interrupt, pop-up thread, polling covered. Missing active message / interrupt handler processing."
"15","13692","S013","4.0",""
"16","12124","S040","4.0",""
"17","11177","S124","4.0",""
"18","12255","S121","4.0",""
"19","14737","S068","2.0","Only poll and interrupt listed. Missing pop-up thread and active message."
"20","11671","S102","4.0",""
"21","11786","S034","4.0",""
"22","11255","S084","4.0",""
"23","11944","S079","4.0",""
"24","12648","S122","2.0","Only interrupt and polling identified. Missing pop-up thread and active message."
"25","11837","S086","1.0","Only 1 method identified (interrupt). Missing polling, pop-up thread, active message."
"26","12167","S052","4.0",""
"27","11869","S033","2.0","Only interrupt and pop-up thread covered. Missing polling and active message."
"28","12283","S123","3.0","Interrupt, pop-up thread, polling covered. Missing active message / interrupt handler processing."
"29","11630","S027","4.0",""
"30","14257","S081","0.0","Answer (crossbar, atomic messages, node receives) does not describe any of the 4 notification methods."
"31","12128","S008","4.0",""
"32","13168","S087","2.0","Only interrupt and polling covered. Missing pop-up thread and active message."
"33","13671","S022","0.0","Answer (message ID, sender address, receiver address) does not describe any of the 4 notification methods."
"34","12610","S110","3.0","Interrupt, polling, active message covered. Missing pop-up thread."
"35","12119","S082","4.0",""
"36","12250","S105","0.0","Empty answer."
"37","11373","S111","4.0",""
"38","11690","S085","4.0",""
"39","11766","S004","4.0",""
"40","11651","S046","4.0",""
"41","11331","S005","2.0","Only interrupt and polling identified. Missing pop-up thread and active message."
"42","11327","S014","2.0","Only interrupt and polling identified. 'thread' too vague for pop-up thread; missing active message."
"43","11754","S107","4.0",""
"44","11796","S126","3.0","Pop-up thread, polling, interrupt covered. Missing active message / interrupt handler processing."
"45","13556","S017","4.0",""
"46","11100","S115","4.0",""
"47","11710","S089","4.0",""
"48","12017","S094","4.0",""
"49","12528","S066","3.0","Interrupt, pop-up thread, polling covered. Missing active message / interrupt handler processing."
"50","11855","S041","4.0",""
"51","13905","S031","3.0","Interrupt, polling, pop-up thread covered. #4 (safe environment) does not describe active message processing."
"52","11669","S116","4.0",""
"53","12159","S059","4.0",""
"54","12039","S064","0.0","Answer ('passing pointer') does not describe any of the 4 notification methods."
"55","11823","S101","3.0","Interrupt, pop-up thread, polling covered. Active message description ('動態觀察') is incorrect; should describe processing in interrupt handler."
"56","11583","S103","4.0",""
"57","14109","S104","4.0",""
"58","12135","S023","4.0",""
"59","11564","S113","4.0",""
"60","11916","S055","4.0",""
"61","11810","S119","4.0",""
"62","11915","S067","4.0",""
"63","12433","S076","4.0",""
"64","16143","S074","2.0","Polling and interrupts identified. Signals/callbacks overlaps with interrupt. Missing pop-up thread and active message."
"65","11984","S063","4.0",""
"66","11822","S090","4.0",""
"67","14259","S100","4.0",""
"68","11377","S114","3.0","Interrupt, polling, pop-up thread covered. #4 (listening) does not describe active message in interrupt handler."
"69","12732","S038","1.0","Only pop-up (notify) vaguely matches. Mailbox, sound, money are not the 4 notification methods."
"70","11898","S047","4.0",""
"71","12562","S044","3.0","Interrupt, pop-up thread, interrupt handler covered. Missing polling."
"72","11800","S075","0.0","Answer describes basic message delivery (direct send, cache/mailbox) but does not identify any of the 4 notification methods."
"73","11782","S030","4.0",""
"74","11562","S106","4.0",""
"75","11826","S019","4.0",""
"76","11458","S020","4.0",""
"77","11763","S010","2.0","Only interrupt and polling identified. Missing pop-up thread and active message."
"78","11801","S091","4.0",""
"79","11549","S051","4.0",""
"80","13321","S039","4.0",""
"81","11743","S018","4.0",""
"82","11644","S049","4.0",""
"83","11894","S053","4.0",""
"84","11718","S092","2.0","Only 2 methods vaguely described. Missing pop-up thread and active message."
"85","11528","S125","0.0","Answer does not describe any of the 4 notification methods (RARA, RR, RRA, global ID list)."
"86","13169","S021","0.0","Empty/insufficient answer."
"87","11807","S050","4.0",""
"88","11888","S036","4.0",""
"89","11899","S048","4.0",""
"90","11874","S112","4.0",""
"91","11679","S006","3.0","Interrupt, polling, pop-up thread covered. Missing active message / interrupt handler processing."
"92","12013","S057","4.0",""
"93","14015","S002","4.0",""
"94","11838","S007","1.0","Only pop-up thread is relevant. System call, shared memory, queues are not the 4 notification methods."
"95","15046","S118","1.0","Only interrupt receiver mentioned. Missing polling, pop-up thread, active message."
"96","13976","S016","0.0","Answer describes acknowledgment strategies (1.0, 1.1, M-out-of-N, M-M), not the 4 notification methods."
"97","11731","S088","4.0",""
"98","12475","S058","4.0",""
"99","11626","S043","0.0","Empty answer (only numbered blanks)."
"100","11591","S060","4.0",""
"101","11584","S024","4.0",""
"102","11910","S095","3.0","Interrupt, polling, pop-up thread covered. Missing active message / interrupt handler processing."
"103","11928","S077","4.0",""
"104","11642","S120","4.0",""
"105","12040","S073","4.0",""
"106","11814","S069","4.0",""
"107","12010","S072","4.0",""
"108","11566","S042","4.0",""
"109","11979","S071","4.0",""
"110","15675","S062","1.0","Only interrupt matches. ACK, message buffer, timer are not the 4 notification methods."
"111","12056","S045","4.0",""
"112","12556","S056","3.0","Interrupt/signal and polling covered. #4 (callback/handler) is valid but active message missing."
"113","12346","S128","0.0","Answer (event-driven arch, Redis, message queue, async) does not describe the 4 notification methods."
"114","12188","S029","4.0",""
"115","11934","S065","4.0",""
"116","12190","S098","4.0",""
