"index","exam_answer_id","username","original_score","original_feedback"
"1","12609","S109","1.0","Only TSL with backoff identified; 'read after TSL' is not a valid mitigation (should be read before TSL)."
"2","11993","S015","2.0",""
"3","16051","S054","2.0",""
"4","12395","S117","2.0",""
"5","12018","S093","2.0",""
"6","11977","S012","2.0",""
"7","12096","S108","2.0",""
"8","12201","S099","2.0",""
"9","12044","S070","2.0",""
"10","13005","S080","2.0",""
"11","11287","S003","2.0",""
"12","12604","S035","2.0",""
"13","13020","S037","2.0",""
"14","12396","S097","1.0","TSL with back-off。"
"15","13314","S013","2.0",""
"16","12618","S040","2.0",""
"17","11249","S124","2.0",""
"18","12781","S121","2.0",""
"19","15854","S068","2.0",""
"20","12024","S102","2.0",""
"21","12100","S034","2.0",""
"22","11359","S084","2.0",""
"23","12493","S079","2.0",""
"24","12349","S122","2.0",""
"25","12094","S086","2.0",""
"26","12967","S052","2.0",""
"27","12273","S033","2.0",""
"28","12900","S123","2.0",""
"29","11931","S027","2.0",""
"30","11450","S081","1.0","Only Read before TSL identified; second approach 'tsl after that' is not backoff."
"31","12689","S008","2.0",""
"32","13105","S087","2.0",""
"33","12835","S110","2.0",""
"34","12533","S082","2.0",""
"35","12313","S105","2.0",""
"36","11530","S111","2.0",""
"37","12023","S085","2.0",""
"38","12149","S004","2.0",""
"39","11858","S046","2.0",""
"40","11438","S005","2.0",""
"41","11424","S014","2.0",""
"42","12137","S107","2.0",""
"43","12383","S126","2.0",""
"44","14559","S017","2.0",""
"45","11356","S115","2.0",""
"46","11948","S089","2.0",""
"47","15482","S009","0.0","No correct technique identified; 'Send before TSL' is not Read-before-TSL or backoff."
"48","12541","S094","2.0",""
"49","12928","S066","1.0","Only Read before TSL clearly identified; 'Mock off with TSL' does not clearly convey backoff."
"50","12004","S041","2.0",""
"51","14669","S031","2.0",""
"52","11980","S116","2.0",""
"53","12746","S059","2.0",""
"54","12579","S064","2.0",""
"55","12511","S101","2.0",""
"56","12070","S103","2.0",""
"57","13654","S104","2.0",""
"58","12506","S023","2.0",""
"59","11853","S113","2.0",""
"60","12141","S055","2.0",""
"61","12341","S119","2.0",""
"62","12305","S067","2.0",""
"63","12935","S076","2.0",""
"64","16135","S074","1.0","Only TSL with backoff identified; 'TSL with spinlock' is not a valid mitigation technique."
"65","12436","S063","2.0",""
"66","12232","S090","2.0",""
"67","13487","S100","2.0",""
"68","11590","S114","2.0",""
"69","12930","S038","0.0",""
"70","12163","S047","2.0",""
"71","13162","S044","2.0",""
"72","12140","S075","1.0","get key跟read還是有點不太一樣"
"73","12074","S030","2.0",""
"74","11846","S106","2.0",""
"75","12138","S019","2.0",""
"76","11850","S020","2.0",""
"77","12048","S010","2.0",""
"78","12497","S091","2.0",""
"79","11936","S051","2.0",""
"80","13102","S039","2.0",""
"81","12060","S018","2.0",""
"82","11844","S049","2.0",""
"83","12184","S053","2.0",""
"84","12224","S092","2.0",""
"85","14073","S125","0.0",""
"86","11210","S021","2.0",""
"87","12142","S050","2.0",""
"88","12134","S036","2.0",""
"89","11987","S048","2.0",""
"90","12214","S112","2.0",""
"91","11937","S006","2.0",""
"92","12153","S057","2.0",""
"93","14426","S002","2.0",""
"94","12154","S007","2.0",""
"95","14797","S016","2.0",""
"96","13922","S083","2.0",""
"97","12310","S088","2.0",""
"98","12940","S058","2.0",""
"99","11906","S043","1.0","Only Read before TSL identified; 'TSL with block dead' is not a valid mitigation technique."
"100","11745","S060","2.0",""
"101","11966","S024","2.0",""
"102","12220","S095","2.0",""
"103","12090","S077","2.0",""
"104","12042","S120","2.0",""
"105","12489","S073","2.0",""
"106","12145","S069","2.0",""
"107","12496","S072","2.0",""
"108","11952","S042","2.0",""
"109","12340","S071","2.0",""
"110","12071","S062","2.0",""
"111","12416","S045","2.0",""
"112","12849","S056","2.0",""
"113","13032","S128","0.0","Only mentions caching in general, not Read-before-TSL or backoff."
"114","12904","S029","1.5","第 2 點有提到 cache，與 read before TSL 概念相近，因此給部分分數；但第 1 點較偏向 blocking/sleep mechanism，未明確回答 back-off 機制，故酌扣分。"
"115","12210","S065","2.0",""
"116","12457","S098","2.0",""
