"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2727","S109","96Kb+16Mb 約為16Mb","2","",""
"2","2845","S015","roughly 16MB","1","只給近似結果，無計算過程",""
"3","6544","S054","16MB+98KB","1","Direct 誤為 98KB（應為 96KB），indirect 正確",""
"4","3926","S117","96KB + 16MB","2","",""
"5","3043","S093","(12 + 2k) * 8k = 96k + 16M 大約等於16MB","2","",""
"6","3717","S012","96kB + 16 MB","2","",""
"7","4508","S108","96KB + 16MB","2","",""
"8","3458","S099","96KB + 16GB","1","Indirect 單位錯誤（寫 16GB 應為 16MB），direct 正確",""
"9","2849","S070","(12+2K)*8KB=16480KB","2","",""
"10","4322","S080","96KB+16MB","2","",""
"11","3017","S003","96KB + 16MB","2","",""
"12","3506","S035","96KB + 16MB","2","",""
"13","4432","S037","96KB+16MB","2","",""
"14","6075","S096","96KB + 16MB","2","",""
"15","4255","S013","16MB + 96KB","2","",""
"16","3996","S040","96KB + 16MB","2","",""
"17","4481","S124","96KB + 16MB","2","",""
"18","2940","S121","16Mb+96Kb","2","",""
"19","6750","S068","1024 TB","0","答案完全錯誤（1024 TB）",""
"20","3148","S102","16GB","0","答案完全錯誤（16GB，應為約 16MB）",""
"21","4384","S034","file size: 12*8K+2K*8K=96K+16M","2","",""
"22","3930","S084","(12+(2K))*8K = 96KB+16MB, 約為16MB","2","",""
"23","4720","S079","3*2^15+2^24 bytes","2","",""
"24","2572","S122","16MB","1","只給近似結果，無計算過程",""
"25","4137","S086","96 KB + 16MB","2","",""
"26","3912","S052","96KB+16MB (約16MB)","2","",""
"27","3975","S033","16.096million bytes","1","結果數值不精確，無完整過程",""
"28","3363","S123","(12+2K)*8KB=96KB+16MB","2","",""
"29","3398","S027","16M+96K","2","",""
"30","2946","S081","4kb","0","答案完全錯誤(4KB)",""
"31","3481","S008","48 GiB + 8KiB","0","答案完全錯誤(48 GiB + 8KiB)",""
"32","3845","S078","8KB*(12 + 2048)= 16480 KB","2","",""
"33","4194","S087","96KB+16MB","2","",""
"34","2935","S022","6MB + 1GB","0","答案完全錯誤(6MB + 1GB)",""
"35","5317","S110","96KB+16MB","2","",""
"36","3653","S082","(12 * 8 + 1 * 2048 * 8) = 96KB + 16MB","2","",""
"37","5002","S105","16.48 GB","0","數量級錯誤(16.48 GB 應為約 16.48 MB)",""
"38","2799","S111","16MB + 96KB","2","",""
"39","2834","S085","(12*1+1*2K)*8K=96KB+16MB","2","",""
"40","3393","S004","96KB+16MB","2","",""
"41","2072","S011","16480KB","2","",""
"42","3040","S046","96KB+16MB","2","",""
"43","2077","S005","32MB+96KB","1","Indirect 誤為 32MB（應為 16MB）",""
"44","3511","S061","12*8K = 96KB , 2K*8K = 16MB Max: 96KB+16MB","2","",""
"45","3862","S014","112KB","0","答案完全錯誤(112KB)",""
"46","2856","S028","16M + 96K","2","",""
"47","2896","S107","96KB + 16MB","2","",""
"48","3175","S126","56","0","答案完全錯誤(56)",""
"49","5215","S017","96KB+16MB","2","",""
"50","4435","S115","16MB+96KB","2","",""
"51","2558","S089","96KB+16MB","2","",""
"52","3986","S009","2MB","0","答案完全錯誤(2MB)",""
"53","3491","S094","4MB","0","答案完全錯誤(4MB)",""
"54","5548","S066","16MB","1","只給近似結果，無計算過程",""
"55","2440","S041","16MB","1","只給近似結果，無計算過程",""
"56","4114","S031","96KB+16MB","2","",""
"57","5263","S116","96kb+16MB","2","",""
"58","4085","S059","12*8K+2K*8K=96K+16M","2","",""
"59","6000","S064","4MB","0","答案完全錯誤(4MB)",""
"60","3023","S101","16MB+96KB","2","",""
"61","4734","S103","96KB+16MB","2","",""
"62","6113","S104","(8KB)/(4B)=2K, direct 12*8KB=96KB, indirect 2K*8KB=16MB, file size = 16MB+96KB","2","",""
"63","3031","S023","32MB+96KB","1","Indirect 誤為 32MB（應為 16MB）",""
"64","3774","S113","(12+2K)*8K bytes","1","公式正確但未給出最終數値",""
"65","3762","S055","12*(8KB)+1*(2KB*8KB) ~= 16MB","1","Indirect entries 計算方式錯誤(2KB*8KB)，direct 正確",""
"66","3390","S119","24K+16M","1","Direct 誤為 24K（應為 96K），indirect 正確",""
"67","4174","S067","16MB+24KB","1","Direct 誤為 24KB（應為 96KB），indirect 正確",""
"68","4916","S076","Maximum file size = (12 + 2K) * 8KB = 96KB + 16MB","2","",""
"69","6450","S074","96KB + 16","1","Indirect 部分不完整（只寫 16 無單位）",""
"70","3058","S063","96KB+16MB","2","",""
"71","3909","S090","(12+2^11)*8KB","1","公式正確但未給出最終數値",""
"72","5950","S100","32GB + 16MB +96KB","0","答案錯誤，多出 32GB 項目且完全錯誤",""
"73","4811","S114","12 * 8KB + 2048 * 8KB = 16480 KB ","2","",""
"74","2275","S038","approx 16MB, exactly size is 16MB+96KB","2","",""
"75","3743","S047","16480KB","2","",""
"76","3412","S044","(12+2KB)x8KB 大約等於 16MB","1","Indirect entries 數量概念混淡(2KB 應為 2048 entries)",""
"77","3188","S075","16MB+96KB","2","",""
"78","2807","S030","96KB + 16MB","2","",""
"79","4183","S106","aprroximately 16MB  (16MB + 96KB )","2","",""
"80","6339","S019","96KB + 16MB ","2","",""
"81","2793","S020","96KB + 16MB","2","",""
"82","4169","S010","96KB+16MB","2","",""
"83","3178","S091","96KB+16MB","2","",""
"84","4543","S051","96KB+16MB","2","",""
"85","4272","S039","16MB+96KB","2","",""
"86","3161","S018","96KB+16MB","2","",""
"87","3503","S049","(12+4k)*8k=32mb+96kb","1","Indirect entries 誤為 4K（應為 2K），結果 32MB 誤誤",""
"88","4292","S053","96KB + 16MB","2","",""
"89","3707","S092","16 MB + 96 KB","2","",""
"90","2690","S125","12*8KB+2KB*8KB=96KB+16MB","2","",""
"91","6351","S021","96KB+16MB","2","",""
"92","4047","S050","8MB","0","答案完全錯誤(8MB)",""
"93","3117","S036","96KB","1","漏算 indirect block，只給出 direct 96KB",""
"94","3353","S048","96KB + 4MB","1","Indirect 誤為 4MB（應為 16MB）",""
"95","6742","S112","3*2^15+2^24","2","",""
"96","3084","S006","12*8KB+1*2KB*8KB","1","Indirect 寫法有歧義(2KB*8KB)，未給出最終答案",""
"97","4323","S026","96KB+2^14KB","2","",""
"98","6021","S057","96K + 16G","1","Indirect 單位錯誤(16G 應為 16M)",""
"99","6192","S002","96KB+16MB","2","",""
"100","6193","S007","352KB (96KB + 32MB)","1","Indirect 誤為 32MB，加總也錯誤",""
"101","5391","S016","2^23+80k ","0","答案完全錯誤(2^23+80k)",""
"102","5356","S083","最大檔案大小=192KB","0","答案完全錯誤(192KB)",""
"103","3145","S088","96KB+16MB","2","",""
"104","4089","S058","(12+2K)*8K=16.096MB","2","",""
"105","3835","S043","96KB+16MB","2","",""
"106","2824","S060","12*8k+ 1*2k*8k 約等於 16MB","2","",""
"107","2777","S024","16MB+96KB","2","",""
"108","6255","S095","96kb + 16mb","2","",""
"109","3272","S077","96kB+16MB","2","",""
"110","2924","S120","16MB+96KB","2","",""
"111","4912","S073","16MB","1","只給近似結果，無計算過程",""
"112","3190","S069","(12+2k)*8k=96KB+16MB","2","",""
"113","3159","S072","96KB + 16MB","2","",""
"114","2901","S042","16GB+96KB","1","Indirect 單位錯誤(16GB 應為 16MB)",""
"115","3276","S071","(8KB*12)+(1*8KB*2^11) = 96KB+16MB","2","",""
"116","4741","S062","96kB + 16MB","2","",""
"117","3690","S045","12*8k+2k*8k=96k+16Ｍ","2","",""
"118","2888","S056","Maximum file size = (12 + 4K) * 8K = 33652736 = 32864K","1","Indirect entries 誤為 4K（應為 2K），結果錯誤",""
"119","3987","S029","96KB+16MB","2","",""
"120","3794","S065","96KB+16MB","2","",""
"121","5995","S025","96KB+16MB","2","",""
"122","3556","S098","96KB+16MB","2","",""
