question_id,question_order,max_score,exam_answer_id,subject_id,human_score,deepseek-v4-flash,deepseek-v4-pro,flash_pro_abs_diff,flash_abs_error,pro_abs_error,best_abs_error,worst_abs_error,mean_ai_score,mean_ai_abs_error,mean_ai_diff
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2235,S011,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2267,S014,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2332,S005,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2487,S061,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2555,S124,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2592,S081,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2596,S010,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2602,S038,1.5,0.0,1.0,1.0,1.5,0.5,0.5,1.5,0.5,1.0,-1.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2653,S041,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
07975ab9-2b1d-40d4-88f0-9cff7a8c8fb8,17,2.0,2668,S064,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
