"index","exam_answer_id","username","original_score","original_feedback"
"1","1879","S109","2.0","missing example."
"2","2040","S015","3.0",""
"3","5462","S054","3.0",""
"4","2489","S117","3.0",""
"5","4812","S093","3.0",""
"6","2485","S012","3.0",""
"7","2822","S108","3.0",""
"8","2492","S099","3.0",""
"9","4593","S070","3.0",""
"10","2770","S080","3.0",""
"11","3772","S003","2.5","Example not specific enough."
"12","2309","S035","3.0",""
"13","2682","S037","3.0",""
"14","2022","S096","2.0","No comparison with non-preemptive scheduler."
"15","2756","S013","3.0",""
"16","2363","S040","3.0",""
"17","1938","S124","2.0","Missing concrete example."
"18","2168","S121","3.0",""
"19","6746","S068","3.0",""
"20","2076","S102","3.0",""
"21","2214","S034","1.0","Missing non-preemptive definition and unclear example."
"22","2769","S084","3.0",""
"23","2633","S079","1.0",""
"24","5805","S122","0.0",""
"25","2128","S086","2.0","missing example"
"26","2400","S052","3.0",""
"27","2422","S033","3.0",""
"28","2161","S123","1.0","Too brief; missing non-preemptive and example."
"29","2149","S027","2.0","Too brief and example incomplete."
"30","6338","S081","0.0",""
"31","2459","S008","3.0",""
"32","2725","S078","2.0","Example too brief."
"33","2242","S087","3.0",""
"34","2189","S022","3.0",""
"35","3872","S110","2.0","Example is unclear and partially incorrect."
"36","2421","S082","1.0","Example is correct, but missing definitions of preemptive and non-preemptive."
"37","3057","S105","3.0",""
"38","2106","S111","2.0","example describes blocking, not preemption."
"39","2178","S085","0.0",""
"40","2291","S004","3.0",""
"41","1652","S011","1.0","Too brief; missing non-preemptive and example."
"42","1694","S046","2.0","missing example"
"43","1703","S005","3.0",""
"44","4910","S061","1.5","Definition unclear and example too brief."
"45","4307","S014","2.0","Too brief and missing example."
"46","1984","S028","1.0","Missing non-preemptive scheduler and example."
"47","2129","S107","2.5","Example not specific enough."
"48","2222","S126","3.0",""
"49","2293","S017","3.0",""
"50","1896","S115","3.0",""
"51","1930","S089","2.0","example is incorrect (preemption does not exit loop)."
"52","2312","S009","2.5","Missing example scenario."
"53","4198","S094","1.0","Too brief and example not explained."
"54","6570","S066","2.0","Explanation incomplete and example abstract."
"55","5198","S041","3.0",""
"56","2716","S031","1.0","Incorrect: non-preemptive is not limited to FCFS; missing example."
"57","2373","S116","3.0",""
"58","2609","S059","3.0",""
"59","4841","S064","1.0","Too brief and missing example."
"60","2179","S101","2.0","Missing non-preemptive scheduler explanation."
"61","3029","S103","3.0",""
"62","6581","S104","1.0","Definitions reversed and example unclear."
"63","6576","S023","0.0",""
"64","2047","S113","3.0",""
"65","2051","S055","3.0",""
"66","2229","S119","2.0","Example is incorrect (page fault unrelated)."
"67","2559","S067","3.0",""
"68","2679","S076","2.0","preemptive scheduler written as non-preemptive."
"69","6371","S074","0.0",""
"70","2200","S063","3.0",""
"71","2831","S090","3.0",""
"72","5364","S100","2.0","Missing example and contains incorrect claims."
"73","2342","S114","3.0",""
"74","1756","S038","1.0","Too brief"
"75","2301","S047","2.0","Missing comparison"
"76","2119","S044","1.5","Incorrect statement and example too brief."
"77","2169","S075","2.0","Missing comparison with non-preemptive scheduler."
"78","2045","S030","3.0",""
"79","2270","S106","3.0",""
"80","2475","S019","2.0","preemptive scheduling does not prevent deadlock."
"81","2172","S020","3.0",""
"82","3288","S010","3.0",""
"83","2351","S091","2.0","missing example"
"84","2274","S051","3.0",""
"85","2162","S039","2.0","No comparison with non-preemptive scheduler."
"86","5509","S018","3.0",""
"87","2712","S049","3.0",""
"88","2425","S053","3.0",""
"89","2549","S092","3.0",""
"90","2081","S125","3.0",""
"91","2568","S021","2.0","Correct definitions, but example is unclear."
"92","1866","S050","2.0","Example not specific enough."
"93","2016","S036","2.0","No comparison with non-preemptive scheduler."
"94","2308","S048","3.0",""
"95","6600","S112","3.0",""
"96","2224","S006","3.0",""
"97","2446","S026","0.0",""
"98","2790","S032","0.0",""
"99","3479","S057","2.0","missing example"
"100","3080","S002","3.0",""
"101","2411","S007","2.0","Missing comparison."
"102","2483","S016","3.0",""
"103","3232","S083","2.0","missing example."
"104","2055","S088","3.0",""
"105","2584","S058","1.0","Missing non-preemptive scheduler and example unclear."
"106","2244","S043","2.5","“Ready → running → blocked” is not the definition of non-preemptive scheduling. A better description is that the running process cannot be forcibly preempted."
"107","3860","S060","2.5","example is brief."
"108","2085","S024","3.0",""
"109","2145","S095","3.0",""
"110","2324","S077","3.0",""
"111","2253","S120","2.0","No comparison with non-preemptive scheduler."
"112","2191","S073","3.0","Too brief. Please explain in more detail next time."
"113","2233","S069","3.0",""
"114","4697","S072","3.0",""
"115","4515","S042","3.0",""
"116","2261","S071","3.0",""
"117","3896","S062","3.0",""
"118","2300","S045","2.0","Example is blocking, not preemptive scheduling."
"119","5984","S056","0.0",""
"120","2618","S029","3.0",""
"121","2431","S065","2.0","Correct concept but example is too brief."
"122","3919","S025","3.0",""
"123","2112","S098","3.0",""
