"index","exam_answer_id","username","original_score","original_feedback"
"1","2000","S109","1.0",""
"2","2180","S015","2.0",""
"3","5884","S054","1.0","Which replacement algorithm?"
"4","2620","S117","1.0",""
"5","2378","S093","1.0","FCFS is CPU scheduling; should be FIFO."
"6","2664","S012","2.0",""
"7","3372","S108","2.0",""
"8","2542","S099","1.0","Which replacement algorithm?"
"9","2012","S070","2.0",""
"10","2883","S080","2.0",""
"11","3443","S003","1.0","FCFS is CPU scheduling; should be FIFO."
"12","2464","S035","2.0",""
"13","2819","S037","1.0","FCFS is CPU scheduling; should be FIFO."
"14","2117","S096","2.0",""
"15","3105","S013","1.0","FCFS is CPU scheduling"
"16","2462","S040","2.0",""
"17","2070","S124","2.0",""
"18","2257","S121","2.0",""
"19","6738","S068","1.0","FCFS is CPU scheduling"
"20","2104","S102","2.0",""
"21","2580","S034","1.0","Correct anomaly; wrong algorithm (FIFO)."
"22","2840","S084","2.0","FCFS is CPU scheduling"
"23","2741","S079","1.0","FCFS is CPU scheduling"
"24","1990","S122","0.0","其他?"
"25","3411","S086","1.0","FCFS is CPU scheduling"
"26","2507","S052","2.0",""
"27","2538","S033","0.0","not 負責處理"
"28","2288","S123","1.0","Which replacement algorithm?"
"29","2329","S027","1.0","Correct anomaly; wrong algorithm (FIFO)."
"30","4436","S081","0.0","Incorrect explanation and algorithm."
"31","2702","S008","1.0","FCFS is CPU scheduling; should be FIFO."
"32","4787","S078","1.0",""
"33","2305","S087","2.0",""
"34","2255","S022","2.0",""
"35","4161","S110","1.0",""
"36","2480","S082","2.0",""
"37","3231","S105","2.0",""
"38","2175","S111","1.0","FCFS is CPU scheduling; should be FIFO."
"39","2215","S085","1.0",""
"40","2337","S004","2.0",""
"41","1794","S046","1.0","Wrong algorithm; should be FIFO."
"42","1743","S005","2.0",""
"43","5004","S061","1.0","Which replacement algorithm?"
"44","3923","S014","0.0",""
"45","2091","S028","2.0",""
"46","2325","S107","2.0",""
"47","2318","S126","2.0",""
"48","2427","S017","2.0",""
"49","2021","S115","2.0",""
"50","2100","S089","1.0","FCFS is CPU scheduling. Should be FIFO."
"51","6453","S009","0.0",""
"52","6592","S066","1.0","FCFS is CPU scheduling"
"53","1996","S041","2.0",""
"54","6230","S031","1.0","FCFS is CPU scheduling"
"55","4324","S116","1.0","wrong algorithm"
"56","2905","S059","1.0","Incorrect algorithm."
"57","1696","S064","1.0","Which replacement algorithm?"
"58","2237","S101","2.0",""
"59","3483","S103","1.0","Wrong algorithm; should be FIFO."
"60","6506","S104","2.0",""
"61","2239","S023","1.0","Which replacement algorithm?"
"62","2090","S113","2.0",""
"63","2212","S055","2.0",""
"64","2360","S119","1.0","Incorrect explanation"
"65","2779","S067","1.0","FCFS is CPU scheduling"
"66","2737","S076","1.0","Which replacement algorithm?"
"67","2929","S074","1.0","FCFS is CPU scheduling. Should be FIFO."
"68","2372","S063","2.0",""
"69","3065","S090","2.0","FCFS is CPU scheduling"
"70","5489","S100","2.0",""
"71","2426","S114","2.0",""
"72","1811","S038","1.0","Please explain Belady’s Anomaly"
"73","2397","S047","0.0",""
"74","2211","S044","1.0","FCFS is CPU scheduling"
"75","2264","S075","2.0",""
"76","2107","S030","1.0","FCFS is CPU scheduling; should be FIFO."
"77","2381","S106","2.0",""
"78","2699","S019","1.0","FCFS is CPU scheduling. Should be FIFO."
"79","2286","S020","1.0","FCFS is CPU scheduling; should be FIFO."
"80","3551","S010","2.0",""
"81","2578","S051","1.0","Correct anomaly; wrong algorithm (FIFO)."
"82","2258","S039","2.0",""
"83","2039","S018","1.0","FCFS is CPU scheduling; should be FIFO."
"84","2786","S049","2.0",""
"85","2775","S053","1.0","FCFS is CPU scheduling; should be FIFO."
"86","2640","S092","1.0","FCFS is CPU scheduling"
"87","2176","S125","2.0",""
"88","2729","S021","1.0","Which replacement algorithm?"
"89","1995","S050","1.0","Which replacement algorithm?"
"90","2101","S036","1.0",""
"91","2418","S048","2.0",""
"92","6597","S112","0.0",""
"93","2361","S006","1.0","FCFS is CPU scheduling; should be FIFO."
"94","2642","S026","0.0","Which replacement algorithm?"
"95","3694","S002","1.0","Wrong algorithm; should be FIFO."
"96","2564","S007","0.0",""
"97","2942","S016","1.0","Which replacement algorithm?"
"98","3585","S083","0.0",""
"99","2467","S088","2.0",""
"100","2809","S058","2.0",""
"101","2499","S043","2.0",""
"102","2098","S060","1.0","Which replacement algorithm?"
"103","2159","S024","1.0","Which replacement algorithm"
"104","2287","S095","2.0",""
"105","2430","S077","1.0","FCFS is CPU scheduling"
"106","2326","S120","2.0",""
"107","5352","S073","2.0",""
"108","2302","S069","2.0",""
"109","4426","S072","1.0","FCFS is CPU scheduling; should be FIFO."
"110","2154","S042","1.0","Incorrect algorithm (FIFO)."
"111","2335","S071","2.0",""
"112","3036","S062","2.0",""
"113","2403","S045","2.0",""
"114","2196","S056","1.0","Which replacement algorithm?"
"115","2740","S029","2.0",""
"116","2601","S065","2.0",""
"117","4294","S025","1.0","FCFS is CPU scheduling"
"118","2194","S098","2.0",""
