"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3715","S109","可以節省到memory查詢地址的時間","1","僅提及加速位址轉換，未說明快取 page table entry 機制",""
"2","3570","S015","TLB is used like a cache of page table. It tries to minimize the translation time by reducing the number of accessing main memory.","2","",""
"3","4908","S054","can access memory use abstract table, improve efficiency and can use less pointer point to more memory address.","0","未正確描述 TLB 加速位址轉換或快取 page table entry 的機制",""
"4","4649","S117","減少因查看page table而增加的memory access 時間成本","2","",""
"5","3900","S093","TLB是用來避免每一次找page都要到memory中找page table，可以把常用的page的位置存在TLB中，這樣可以不用一直enter memory","2","",""
"6","4876","S012","to cache a used page's frame address. when a page is referenced again, you don't have to check page table again","2","",""
"7","5575","S108","避免查詢 page table 需要進入 memory，用來加快 virtual address 和 physical address 的轉換。","2","",""
"8","4347","S099","TLB 有較快的 Access 速度，因此在 TLB 中放常用的 Page 可以提高整體 Paging 速度。","2","",""
"9","4158","S070","在找memory資料(page)時，如果可以在TLB(速度很快)找到在memory的某個位置，那可以少一次的memory access，否則要先去memory裡的page table找(memory access)","2","",""
"10","5398","S080","to lower the effect memory access time by put some commonly used entries into TLB, this way the system can lower the access time.","2","",""
"11","2720","S003","To save time for accessing the page table. which would need  memory accessing time, but with TLB, it is much faster than the memory accessing, and we can think of it a nearer page table.","2","",""
"12","4493","S035","Reduce the memory access time : access main memory is time consuming, and page table is stored in main memory. TLB is used to reduce the times to access page table(TLB hit rate higher is better).","2","",""
"13","5589","S037","A page access need two memory access, one for page table, one for address. TLB can reduce the memory access to page table.","2","",""
"14","4485","S096","to increase memory access speed, by caching virtual page addresses and their related physical frame addresses","2","",""
"15","4896","S013","Decrease the number of the memory access","1","只說減少 memory access 次數，未說明快取 page table entry 的具體機制",""
"16","4663","S040","to prevent get data from memory two times","1","提及減少存取記憶體，但未說明 TLB 快取 page table entry 的機制",""
"17","2581","S124","To accelerate the execution by keeping in memory the address of recently used pages","2","",""
"18","4172","S121","It tries to solve the problem of 2 times access memory (1 access for page table + 1 access for data)","2","",""
"19","5451","S068","因為存取 memory 的時間很長，所以需要一個 Buffer 用來儲存最近使用的 data / instruction 資訊，減少記憶體與暫存器之間的資訊交換次數以增加整體系統的吞吐量。","1","描述為一般 buffer 減少記憶體交換，未明確說明加速邏輯→實體位址轉換或快取 page table entry",""
"20","5622","S102","memory access要比較多的時間，透過TLB來減少memory access","1","只提減少 memory access，未說明快取 page table entry 機制",""
"21","6292","S034","TLB是記載page在memory的哪裡。","1","只說 TLB 記載 page 位置，未說明加速位址轉換或快取 page table entry 的目的",""
"22","6119","S084","減少memory access time","1","只說減少 memory access time，未說明快取 page table entry 機制",""
"23","5883","S079","It record the recent used page-frame mapping into a buffer and decrease the two step memory access","2","",""
"24","4936","S122","減少時間，讓資料流更順暢以及連結","0","描述過於模糊，未說明 TLB 加速位址轉換或快取 page table entry",""
"25","5601","S086","save memory access time.","1","只說 save memory access time，未說明快取 page table entry 機制",""
"26","4819","S052","查找page對應的frame可以更快速","2","",""
"27","5127","S033","TLB避免取的data還要經過memory去取的，這樣會花太多時間，使用TLB可以有效降低獲取data的時間","1","加速的目的明確，但未說明快取 page table entry 的具體機制",""
