"index","exam_answer_id","username","original_score","original_feedback"
"1","1831","S109","0.5","描述的是 paging 避免連續分配問題，非 demand paging（按需載入）"
"2","1880","S015","2.0",""
"3","2153","S117","2.0",""
"4","5037","S093","2.0",""
"5","2160","S012","2.0",""
"6","2152","S108","2.0",""
"7","6029","S099","1.0","僅描述 valid/invalid bit，未說明 demand paging 按需載入的核心概念"
"8","5679","S070","0.5","僅描述 valid/invalid bit 機制，未說明 demand paging 按需載入的核心概念"
"9","2254","S080","2.0",""
"10","1753","S003","2.0",""
"11","2058","S035","2.0",""
"12","2347","S037","2.0",""
"13","6046","S096","1.5","正確描述 demand paging 概念，但未回答為何被廣泛使用"
"14","2004","S013","1.0","混合 paging 一般優點，未清楚描述 demand paging 按需載入的概念"
"15","2142","S040","2.0",""
"16","1897","S124","1.5","正確描述 demand paging 概念，但未回答為何被廣泛使用"
"17","6488","S121","1.0","描述 virtual memory 位址轉換（MMU/logical→physical），非 demand paging 按需載入"
"18","2665","S068","2.0",""
"19","1933","S102","2.0",""
"20","2082","S034","2.0",""
"21","5587","S084","2.0",""
"22","2458","S079","2.0",""
"23","6564","S122","0.0","答案完全錯誤"
"24","1964","S086","1.0","部分正確但未明確說明「按需載入」，且未回答為何被廣泛使用"
"25","2187","S052","2.0",""
"26","2193","S033","0.5","描述的是 paging 一般概念（固定大小分割），非 demand paging（按需載入）"
"27","6234","S123","0.5","page 不在 memory 時應從 disk 載入而非 abort，觀念有誤"
"28","1986","S027","0.5","描述方向有誤"
"29","5393","S081","1.0","描述不清楚，未正確解釋 demand paging 的概念"
"30","2317","S008","2.0",""
"31","5681","S078","0.0","未作答"
"32","4813","S087","2.0",""
"33","5806","S022","0.5","描述過於模糊，未說明 demand paging 的具體概念"
"34","3218","S110","1.5","正確描述機制（按需載入+page replacement），但未回答為何被廣泛使用"
"35","2123","S082","2.0",""
"36","2204","S105","2.0",""
"37","1956","S111","2.0",""
"38","2038","S085","2.0",""
"39","2059","S004","2.0",""
"40","1562","S011","2.0",""
"41","6273","S046","1.0","僅描述 valid/invalid bit 機制，未說明按需載入概念"
"42","1617","S005","2.0",""
"43","6032","S061","0.5","未描述 demand paging 的機制，僅簡略提及可減少 memory"
"44","1916","S028","2.0",""
"45","5552","S107","0.5","觀念有誤（page 和 frame 大小通常相同），未正確描述 demand paging"
"46","1952","S126","2.0",""
"47","5697","S017","1.0","僅描述 valid/invalid bit 機制，非 demand paging 按需載入的核心概念"
"48","1868","S115","0.5","僅描述 valid/invalid bit 機制，未說明按需載入的核心概念"
"49","2017","S089","1.0","僅描述 valid/invalid bit，未說明按需載入概念"
"50","2127","S009","1.0","未描述 demand paging 的機制（按需載入），僅說明物理記憶體有限"
"51","4745","S041","1.0","僅描述 valid/invalid bit 機制，非 demand paging 核心概念"
"52","5973","S031","2.0",""
"53","4173","S116","1.0","描述的是 page table 查詢效率，非 demand paging 按需載入的概念"
"54","2561","S059","2.0",""
"55","2006","S101","1.0","對 demand paging 機制描述不準確"
"56","2156","S103","1.0","主要描述 valid/invalid bit，對 demand paging 按需載入的描述不夠明確"
"57","2610","S104","2.0",""
"58","6609","S023","2.0",""
"59","1805","S113","2.0",""
