"index","exam_answer_id","username","original_score","original_feedback"
"1","3755","S109","2.0",""
"2","3626","S015","2.0",""
"3","4722","S054","2.0",""
"4","4723","S117","2.0",""
"5","3910","S093","2.0",""
"6","5067","S012","2.0",""
"7","5792","S108","2.0",""
"8","4438","S099","2.0",""
"9","4015","S070","2.0",""
"10","5633","S080","2.0",""
"11","2527","S003","2.0",""
"12","4815","S035","2.0",""
"13","5493","S037","2.0",""
"14","4651","S096","2.0",""
"15","5025","S013","2.0",""
"16","4729","S040","2.0",""
"17","2627","S124","2.0",""
"18","4356","S121","2.0",""
"19","5287","S068","0.0",""
"20","4287","S102","2.0",""
"21","5081","S034","2.0",""
"22","6417","S084","2.0",""
"23","5956","S079","2.0",""
"24","3691","S122","2.0",""
"25","5758","S086","2.0",""
"26","4973","S052","2.0",""
"27","5212","S033","2.0",""
"28","4261","S123","2.0",""
"29","4231","S027","2.0",""
"30","2783","S081","1.0",""
"31","5328","S008","2.0",""
"32","4601","S078","2.0",""
"33","3773","S087","2.0",""
"34","3783","S022","2.0",""
"35","6472","S110","2.0",""
"36","4580","S082","2.0",""
"37","5951","S105","2.0",""
"38","3941","S111","2.0",""
"39","4178","S085","2.0",""
"40","5021","S004","2.0",""
"41","4125","S011","2.0",""
"42","3969","S046","2.0",""
"43","2413","S005","2.0",""
"44","2376","S061","2.0",""
"45","2151","S014","2.0",""
"46","3904","S028","2.0",""
"47","3950","S107","2.0",""
"48","4398","S126","2.0",""
"49","4105","S017","2.0",""
"50","5337","S115","2.0",""
"51","2983","S089","2.0",""
"52","4348","S009","2.0",""
"53","2864","S094","2.0",""
"54","6727","S066","2.0",""
"55","2780","S041","2.0",""
"56","5105","S031","2.0",""
"57","3637","S116","2.0",""
"58","4837","S059","2.0",""
"59","2766","S064","2.0",""
"60","4248","S101","2.0",""
"61","6042","S103","2.0",""
"62","4619","S104","2.0",""
"63","4842","S023","2.0",""
"64","2806","S113","2.0",""
"65","4637","S055","2.0",""
"66","4311","S119","2.0",""
"67","5331","S067","2.0",""
"68","6183","S076","2.0",""
"69","2368","S074","2.0",""
"70","3705","S063","2.0",""
"71","4927","S090","2.0",""
"72","3560","S100","2.0",""
"73","4257","S114","2.0",""
"74","2878","S038","2.0",""
"75","4970","S047","2.0",""
"76","4472","S044","2.0",""
"77","4674","S075","0.0",""
"78","4033","S030","2.0",""
"79","5001","S106","2.0",""
"80","4744","S019","2.0",""
"81","3465","S020","2.0",""
"82","2417","S010","2.0",""
"83","4250","S091","2.0",""
"84","5275","S051","2.0",""
"85","3442","S039","2.0",""
"86","3852","S018","2.0",""
"87","4083","S049","2.0",""
"88","5268","S053","2.0",""
"89","4749","S092","2.0",""
"90","4120","S125","2.0",""
"91","6552","S021","2.0",""
"92","5302","S050","2.0",""
"93","3779","S036","2.0",""
"94","4442","S048","2.0",""
"95","4828","S112","2.0",""
"96","3605","S006","2.0",""
"97","5203","S026","2.0",""
"98","6569","S057","2.0",""
"99","6461","S002","2.0",""
"100","4878","S007","2.0",""
"101","6381","S016","2.0",""
"102","6345","S083","2.0",""
"103","4392","S088","2.0",""
"104","5561","S058","2.0",""
"105","4953","S043","2.0",""
"106","4247","S060","2.0",""
"107","3857","S024","2.0",""
"108","6392","S095","2.0",""
"109","3808","S077","2.0",""
"110","4018","S120","2.0",""
"111","4283","S073","2.0",""
"112","3899","S069","2.0",""
"113","2590","S072","2.0",""
"114","3537","S042","2.0",""
"115","4016","S071","2.0",""
"116","6099","S062","2.0",""
"117","4870","S045","2.0",""
"118","3713","S056","2.0",""
"119","5464","S029","1.0",""
"120","4473","S065","2.0",""
"121","6549","S025","2.0",""
"122","4998","S098","2.0",""
