"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3700","S109","是當一個process太久沒有被處理，隨著時間會提升它的priority，例如 shortest job first 中一個很花時間而久未被處理的job","1","未說明 aging 解決 starvation 問題",""
"2","3486","S015","Aging technique solves the starvation by increasing the priority of remained task periodically.","2","",""
"3","5023","S054","as time progresses, 提高還未執行process的優先度, 避免starvation ,也就是有些低優先的process永遠執行不到.","2","",""
"4","4577","S117","stavation","0","未說明 aging 機制，也未正確說明解決的問題",""
"5","3832","S093","Aging是如果一個process一直因為priority太低而沒有被執行，則會使其priority上升，以此來解決starvation的問題","2","",""
"6","4814","S012","low priority process could increase priority with the time goes. it solves the problem that low priority process may never run on cpu because there may always exist a process has a higher priority","2","",""
"7","5440","S108","Aging: process 在經過一段時間都沒拿到資源後，提高其優先程度。此方法是為了解決 starving 的問題，也就是低優先程度的 process 因為高優先程度的 process 不斷進入導致其永遠拿不到資源。","2","",""
"8","4233","S099","1. 當一個 process 一直沒有被分配的 CPU 資源時，該 process 會隨著時間被提高執行優先度。2. Starvation","2","",""
"9","4325","S070","隨者時間變長會讓低權限的thread(process)的權限慢慢變高，可以解決starvation","2","",""
"10","5309","S080","aging is to raise the priority of process that cannot run as the time grow, to solve the starvation","2","",""
"11","2751","S003","Aging means the priority would grows as the time goes, to solve the starving problem","2","",""
"12","4306","S035","q1 : increase the priority of a process when it haven't run for a long time. q2 : the low priority process's starvation ","2","",""
"13","5675","S037","Aging make a process wait in ready state for a long time to higher priority. It prevent the starvation in priority scheduling","2","",""
"14","4335","S096","Problem: low-priority process doesn't get cpu time for a long time, because of the high-priority processes. Solution: processes, that haven't get cpu time for a long time, get higher priority (this is called aging)","2","",""
"15","4868","S013","1. increase the priority from low to high. 2. Starvation","2","",""
"16","4599","S040","long time not be processed process will be aging for higher priority, prevent starving.","2","",""
"17","2555","S124","Aging is when a lower priority process has been waiting for a long time, its priority becomes higher. It solves starvation.","2","",""
"18","4095","S121","Aging technique consist to increase the priority level of a process if it is waiting too long in the scheduler queue. It solves the starvation problem, where high priority processes take a the cpu utilization and do not allow low priority process to run ","2","",""
"19","5646","S068","讓尚未執行的 process 隨著時間推移增加其對於系統資源的使用優先權，這可以避免某些低優先權的 process 始終無法獲得資源的狀況，即 starvation。","2","",""
"20","4342","S102","隨著時間增加會增加process的 priority，避免他持續的執行不到","2","",""
"21","4907","S034","aging is gradually increasing the priority of process that wait in the system for a long time. aging solve starvation.","2","",""
"22","4243","S084","1. 慢慢提高低優先權的priority。2. 解決starvation。","2","",""
"23","5821","S079","aging says that a low priority process is raises its priority over time. this solution solve the ""starvation"" problem.","2","",""
"24","3542","S122","可以解決低優先權和長時間被占用資源的問題，使用此方法可以解決上述問題，隨著時間越長的，他的優先權會變大，避免starvation問題產生","2","",""
"25","5501","S086","Aging refers to as time progresses, increasing the priority of the waiting threads. It can solve starvation, which means low priority threads may never execute.","2","",""
"26","4796","S052","Aging 讓process或thread隨著時間提高priority，可以解決低priority process或thread永遠無法執行到的問題(starvation)。)","2","",""
"27","5005","S033","Agine是指根據時間流逝，提升thread的priority，他可以處理starvation的問題。","2","",""
"28","4193","S123","starvation","1","未說明 aging 機制",""
"29","4116","S027","As time processes raises priority of each thread","1","未說明 aging 解決 starvation 問題",""
"30","2592","S081","In priority scheduling, since it has lower priority so whenever the higher priority is in the quene that is given focus therefore the one with lower doesnt have the chance to execute. To solve this problem they increase the priority of the lower over time so it does fall behind","2","",""
"31","4918","S008","Aging is increase the tasks' priority when the time the task is not running increases.","1","未說明 aging 解決 starvation 問題",""
"32","6127","S078","To prevent the low priority process not to be scheduling","0","未說明 aging 機制，也未正確說明解決的問題",""
"33","3615","S087","Aging是指一個process長時間未被執行到時，隨著時間增加它的優先度。用於解決starvation。","2","",""
"34","3591","S022","A process with long waiting time will get its priority increased. It solves starvation.","2","",""
"35","6390","S110","when some process can't get the CPU for a long time, its priority can be upgraded. starvation","2","",""
"36","4263","S082","the priority of the process which is not yet chosen will be increase. it can solve starvation problem.","2","",""
"37","5759","S105","process priority 會隨著等待時間增加而逐漸提升。可以解決 Starvation 問題。","2","",""
"38","3827","S111","當一個process等待時間越長，其priority也會逐步上升。用於解決priority scheduling中一些process無限等待的問題。","2","",""
"39","4001","S085","持續等待的低優先級程式將提升優先度，避免高優先級持續取得資源，低優先級者飢餓","2","",""
"40","5274","S004","aging是指說隨著job在系統的時間越來越久，逐步提升它的優先權。主要是解決starvation(low priority job可能永遠無法完成工作)的問題","2","",""
"41","2235","S011","一個task的優先級會隨著ready的時間而逐漸升高，可以解決starvation。","2","",""
"42","3786","S046","Aging 會將很久沒有run的process的priority提高。他主要解決的問題是starvation。","2","",""
