"index","exam_answer_id","username","original_score","original_feedback"
"1","3700","S109","2.0",""
"2","3486","S015","2.0",""
"3","5023","S054","2.0",""
"4","4577","S117","1.5",""
"5","3832","S093","2.0",""
"6","4814","S012","2.0",""
"7","5440","S108","2.0",""
"8","4233","S099","2.0",""
"9","4325","S070","2.0",""
"10","5309","S080","2.0",""
"11","2751","S003","2.0",""
"12","4306","S035","2.0",""
"13","5675","S037","2.0",""
"14","4335","S096","2.0",""
"15","4868","S013","2.0",""
"16","4599","S040","2.0",""
"17","2555","S124","2.0",""
"18","4095","S121","2.0",""
"19","5646","S068","2.0",""
"20","4342","S102","2.0",""
"21","4907","S034","2.0",""
"22","4243","S084","2.0",""
"23","5821","S079","2.0",""
"24","3542","S122","2.0",""
"25","5501","S086","2.0",""
"26","4796","S052","2.0",""
"27","5005","S033","2.0",""
"28","4193","S123","1.5",""
"29","4116","S027","2.0",""
"30","2592","S081","2.0",""
"31","4918","S008","2.0",""
"32","6127","S078","2.0",""
"33","3615","S087","2.0",""
"34","3591","S022","2.0",""
"35","6390","S110","2.0",""
"36","4263","S082","2.0",""
"37","5759","S105","2.0",""
"38","3827","S111","2.0",""
"39","4001","S085","2.0",""
"40","5274","S004","2.0",""
"41","2235","S011","2.0",""
"42","3786","S046","2.0",""
"43","2332","S005","2.0",""
"44","2487","S061","2.0",""
"45","2267","S014","2.0",""
"46","3647","S028","2.0",""
"47","3130","S107","2.0",""
"48","4118","S126","2.0",""
"49","4539","S017","2.0",""
"50","5107","S115","2.0",""
"51","2862","S089","2.0",""
"52","4434","S009","2.0",""
"53","3039","S094","2.0",""
"54","6720","S066","2.0",""
"55","2653","S041","2.0",""
"56","4909","S031","2.0",""
"57","3888","S116","2.0",""
"58","4654","S059","2.0",""
"59","2668","S064","2.0",""
"60","4014","S101","2.0",""
"61","5877","S103","2.0",""
"62","5012","S104","2.0",""
"63","4521","S023","2.0",""
"64","2923","S113","2.0",""
"65","4415","S055","2.0",""
"66","4053","S119","2.0",""
"67","5110","S067","1.5",""
"68","5957","S076","2.0",""
"69","5499","S074","2.0",""
"70","3558","S063","1.5",""
"71","4401","S090","2.0",""
"72","3358","S100","2.0",""
"73","4147","S114","2.0",""
"74","2602","S038","1.5",""
"75","4855","S047","0.5",""
"76","4211","S044","2.0",""
"77","4131","S075","2.0",""
"78","3915","S030","2.0",""
"79","4850","S106","2.0",""
"80","4546","S019","2.0",""
"81","3324","S020","2.0",""
"82","2596","S010","2.0",""
"83","4430","S091","2.0",""
"84","5102","S051","2.0",""
"85","3517","S039","2.0",""
"86","3578","S018","2.0",""
"87","3977","S049","2.0",""
"88","5070","S053","2.0",""
"89","4478","S092","2.0",""
"90","3949","S125","2.0",""
"91","6565","S021","2.0",""
"92","4950","S050","2.0",""
"93","3581","S036","2.0",""
"94","4221","S048","2.0",""
"95","5184","S112","2.0",""
"96","3464","S006","2.0",""
"97","5047","S026","2.0",""
"98","6537","S057","2.0",""
"99","6389","S002","2.0",""
"100","5161","S007","2.0",""
"101","6270","S016","2.0",""
"102","6261","S083","1.5",""
"103","4075","S088","2.0",""
"104","5258","S058","2.0",""
"105","4752","S043","2.0",""
"106","6359","S060","2.0",""
"107","3735","S024","2.0",""
"108","6367","S095","2.0",""
"109","3582","S077","2.0",""
"110","3826","S120","2.0",""
"111","4440","S073","2.0",""
"112","3799","S069","2.0",""
"113","2810","S072","2.0",""
"114","3335","S042","2.0",""
"115","3885","S071","2.0",""
"116","5922","S062","2.0",""
"117","4607","S045","2.0",""
"118","3589","S056","2.0",""
"119","5087","S029","2.0",""
"120","4237","S065","2.0",""
"121","6468","S025","2.0",""
"122","4805","S098","2.0",""
