"index","exam_answer_id","username","original_score","original_feedback"
"1","2582","S109","6.0",""
"2","2621","S015","6.0",""
"3","6022","S054","5.0","少1"
"4","3719","S117","6.0",""
"5","4386","S093","6.0",""
"6","3261","S012","6.0",""
"7","4043","S108","6.0",""
"8","3004","S099","6.0",""
"9","2516","S070","6.0",""
"10","4069","S080","6.0",""
"11","3150","S003","6.0",""
"12","3298","S035","6.0",""
"13","4159","S037","6.0",""
"14","2710","S096","6.0",""
"15","4038","S013","4.0","stack, register"
"16","3877","S040","0.0","完全反了"
"17","2243","S124","6.0",""
"18","2828","S121","6.0",""
"19","6603","S068","6.0",""
"20","2874","S102","6.0",""
"21","4165","S034","6.0",""
"22","3572","S084","6.0",""
"23","4177","S079","6.0",""
"24","6078","S122","0.0",""
"25","3839","S086","5.0","少1"
"26","3711","S052","6.0",""
"27","3748","S033","3.0","缺少 shared 屬性"
"28","3467","S123","3.0",""
"29","2895","S027","6.0",""
"30","2273","S081","3.0","shared3"
"31","3233","S008","6.0",""
"32","3388","S078","5.0","shared 少一項"
"33","3205","S087","6.0",""
"34","2778","S022","6.0",""
"35","4989","S110","6.0",""
"36","3133","S082","6.0",""
"37","4422","S105","5.0","dynamic memories 是 shared"
"38","2700","S111","6.0",""
"39","2693","S085","6.0",""
"40","2986","S004","6.0",""
"41","1987","S011","5.0","mutex"
"42","2757","S046","5.0","Global register"
"43","1972","S005","6.0",""
"44","5505","S061","4.0","Thread , Global Replacement"
"45","2603","S014","4.5",""
"46","2776","S028","5.0",""
"47","2513","S107","4.0","signal, stack"
"48","2836","S126","5.0",""
"49","5554","S017","6.0",""
"50","2818","S115","6.0",""
"51","2453","S089","6.0",""
"52","2717","S009","5.0","少"
"53","3838","S094","6.0",""
"54","6628","S066","6.0",""
"55","2331","S041","6.0",""
"56","3859","S031","6.0",""
"57","5014","S116","6.0",""
"58","3914","S059","6.0",""
"59","2218","S064","6.0",""
"60","2763","S101","4.0","少2"
"61","4454","S103","6.0",""
"62","6211","S104","6.0",""
"63","2814","S023","3.0","CPU utilization, throughput, waiting time"
"64","3594","S113","6.0",""
"65","3515","S055","6.0",""
"66","2990","S119","4.0","execution context? 少1"
"67","3847","S067","6.0",""
"68","4512","S076","6.0",""
"69","4459","S074","4.0","Track counter
Pointer"
"70","2870","S063","6.0",""
"71","3763","S090","6.0",""
"72","3784","S100","6.0",""
"73","3402","S114","6.0",""
"74","2134","S038","6.0",""
"75","2837","S047","4.0","Global variable對 但你只寫一項 要三個"
"76","2869","S044","6.0",""
"77","3925","S075","5.0","process time"
"78","2585","S030","5.0","resources 有點太攏統"
"79","3957","S106","6.0",""
"80","3504","S019","6.0",""
"81","2680","S020","5.0","少1"
"82","4049","S010","4.0","少2"
"83","2648","S091","6.0",""
"84","4219","S051","6.0",""
"85","4470","S039","6.0",""
"86","2893","S018","6.0",""
"87","3319","S049","6.0",""
"88","4058","S053","6.0",""
"89","3502","S092","6.0",""
"90","2476","S125","3.0","Shared 部分?"
"91","6322","S021","4.0","address,register"
"92","2772","S050","6.0",""
"93","2718","S036","6.0",""
"94","3048","S048","6.0",""
"95","6399","S112","4.0","少2"
"96","2909","S006","6.0",""
"97","3618","S026","4.0","pc是not shared
cp是什麼?"
"98","2520","S032","5.5","file directory不夠精確"
"99","5265","S057","6.0",""
"100","6091","S002","6.0",""
"101","6364","S007","6.0","process ID 是share 但你有列counter"
"102","4628","S016","6.0",""
"103","4893","S083","5.5","要講全域變數或global variables 小扣 
少1"
"104","2892","S088","6.0",""
"105","3809","S058","6.0",""
"106","3666","S043","5.0","少1"
"107","2697","S060","6.0",""
"108","2673","S024","6.0",""
"109","6222","S095","4.0","少2"
"110","3149","S077","6.0",""
"111","2795","S120","6.0",""
"112","3119","S073","6.0",""
"113","2843","S069","5.0",""
"114","3535","S072","6.0",""
"115","2823","S042","5.0","local variable 在 stack，而 stack 是 thread-private"
"116","2977","S071","6.0",""
"117","4476","S062","6.0",""
"118","2973","S045","4.0","Stack  Queue"
"119","2715","S056","3.0","and"
"120","3652","S029","4.0","1.stack 2.stack pointer是not shared"
"121","3446","S065","6.0",""
"122","5711","S025","6.0",""
"123","2764","S098","6.0",""
