"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1879","S109","running state can go to ready state，如果不是preemptive，這樣一來因為需要io而被趕去block的process就會跟被preempt的process搞混在一起，而有preemptive的話，隨時可以由scheduler從ready state 的process中去挑選","1","有提到可從 ready 狀態挑選工作，但未清楚說明 non-preemptive 差異，也沒有具體有利情境。",""
"2","2040","S015","A preemptive scheduler could stop the running process, move it to ready queue, and select another process to run.
A non-preemptive scheduler can't stop a process. When a process use the CPU, it could always hold it until the process is terminated.
Preemptive scheduling is always useful to prevent a task holding CPU for a long time, block other short and fast process, leading the decreasing of throughput.","3","完整說明可強制中斷與不可搶占的差異，並舉出長工作阻塞短工作的情境。",""
"3","5462","S054","non-preeptive必須等待thread執行完畢或主動提出i/o interrupt，preeptive 可以把正在執行的thread 拉下來(run to ready),換上優先度更高的thread，例如最低緩衝時間的scheduling，在確保所有工作都能在時間內完成德情況下,屬於preeptive的最低緩衝時間scheduling能避免因處理單一工作而造成其他工作沒來的及趕上deadline.
 ","3","差異與 preemptive 可中斷執行中的 thread 都有說清楚，例子也對應到 deadline / 負載分配。",""
"4","2489","S117","preemptive根據priority scheduler選擇priority高的process執行，當一個process執行中但有更高priority的process ready，則會換成priority高的process執行，原本的process從running到ready。non-preemptive 會執行當下的process直到結束或需要等待IO，不會強制切換到另一個process。
當有一個需要的cpu time很長，但是deadline很晚的process A，和一個需要的cpu time很短但deadline很早的process B，如process原本在執行A，preemptive 根據priority可中斷A並執行B，使得兩個process都在ddl前完成，non-preemptive因為要先等待A完成，可能錯過B的deadline。","3","兩者差異明確，並用長短工作與 deadline 的例子說明 preemptive 的優勢。",""
"5","4812","S093","preemptive scheduler跟non-preemptive scheduler會的差別在於當現在在執行的process的priority < 現在enter的process，如果是preemptive的話會將目前的process暫停後去做enter的high priority process;；反之non-preemptive會先將目前的prcess執行完成後再去執行high priority process。
example: priority值越小，priority越高
T=0 enter p1 CPU time = 20  priority = 5
T=1 enter p2 CPU time =1 priority = 1
此時如果是preemptive scheduler的話waiting time會比較小","3","有說明執行中可否被高優先序工作打斷，例子也指出 preemptive 可降低等待時間。",""
"6","2485","S012","preemptive scheduler可以在process跑到一半的時候os主動把他從cpu換下來加入ready queue，狀態會是從running -> ready，而non-preemptive scheduler則不會出現running -> ready的情形，只會有running -> block或是running -> terminated。
在現在的os中，user在邊執行一個自製的program邊移動滑鼠，滑鼠的移動可以即時顯示在螢幕上，program也同時在cpu上面跑，就是因為滑鼠移動打斷了自製program，先讓cpu處理滑鼠移動，再回去處理program，這樣會讓user有更好的os體驗。","3","差異清楚，並以互動式使用情境說明 preemptive 能提升使用者體驗。",""
"7","2822","S108","preemptive: 當 process A 在執行時，有更加符合此排程演算法的 process B 進入 ready 狀態，或是正在執行的 process A 達到特定條件(在RR中執行時間過長等)，此時 process A 會被中斷工作，強制進入 waiting 狀態，並將 CPU 交給其他工作使用。
non-preemptive: process 一旦開始執行，就會執行直到其工作結束或是其自願放棄  CPU。
例子: 若是有一個 process A 為 cpu-bound 執行時間為 500ms，其在剛開始執行工作時，另外有 process B, C, D 為I/O-bound 執行時間為 20ms 進入 ready 狀態，此時 preemptive scheduling (例如最短剩餘時間演算法)會中斷 process A 的工作，將 CPU 交給 process B, C, D 使用。
此例子的優點為: responsiveness提高了，user 比較不會在輸入指令後等待過久，而 CPU-bound 的工作則可以慢慢做。","3","有正確區分強制中斷與執行完成，例子也連到 responsiveness 提升。",""
"8","2492","S099","Preemptive: 可以強制把一個正在執行中的 process 的 CPU 資源釋放掉。
Non-preemptive: 只要 process 拿到 CPU 資源，就一定會執行完。
若某個執行中 process 的執行時間過長，但已有許多週期較短的 process 已是 ready 狀態，則此時將 CPU 資源釋放給多個週期較短的 CPU 資源可以降低 average waiting time。","2","有抓到搶占與否，但 non-preemptive 的描述過於絕對，例子也較簡略。",""
"9","4593","S070","1.preemptive scheduler可能會讓一個在執行的thread(process)先暫停去做其他thread任務，non-preemptive scheduler不會
2.一個新來的任務要在短時間做完，而當前的任務截止時間還很久，scheduler可以先將當前任務暫停，去做緊急的任務。","2","差異大致正確，但說明偏簡短，例子未充分展開情境與優勢。",""
"10","2770","S080","a preemptive scheduler can let a ""running"" process go back to ""ready"" involuntarily, while non-preemptive只會在執行的process自己結束後才能換下一個，不能強制暫停或換下一個。
example: when there is a process that need to run one minute, but there is another process like click the mouse that only take fewer time. In non-preemptive scheduler, if we start the previous first, we have to wait for one minute and then we can finally let the mouse move. But if it is a preemptive schedular, even we start from the longer process, we can still have faster response on the mouse click than a preemptive schedular.","3","有清楚說明 running 可否被強制轉回 ready，例子也能對應互動反應更快。",""
"11","3772","S003","The difference is that the preemptive scheduler can make a running process be preempted, by higher priority or when times up.
When a process need faster responds, it can have high priority and get the responds as soon as possible.
while in the non-preemptive, it may be block by a process that takes lots of CPU time, and increase its waiting time.

","2","有提到可被 preempt 與高優先序/時間到，但 non-preemptive 與有利情境說明不足。",""
"12","2309","S035","q1: a preemptive scheudler can preempt a executing process then execute another process, while a non-preempt scheudler will execute a process until it is terminated or block.
q2:  when there is a process run for a long time(may be CPU burst and have a long work), then it will block other process with a short time work. If the system let other process work, the whole efficiency will be better, which is beneficial when use preemptive scheduling.","3","差異與例子都完整，能說明 preemptive 對長工作與短工作並存時的優勢。",""
"13","2682","S037","在preemptive scheduler，cpu scheduler會制定preemptive的規則，避免一個process長期占據cpu資源。
而在non-preemptive cpu，只要一個process開始running，cpu就無法中斷他，等到process運行完。
當所有的cpu資源都被佔滿的時候，有一個有高responsive的任務到達，此時preemptive scheduler就可以讓出一部分cpu資源，來運行，而non-preemptive scheduler就不行，從而增加repsonse time.","3","有正確說明搶占式可避免單一工作長期占用 CPU，並舉出高反應需求情境。",""
"14","2022","S096","Preemptive scheduler can move the process in the execution from running state back to queue even if the process didn't call system call or interrupt occurred. This can be beneficial if the process takes too much time to run, without preempting the process it could possibly run forever which would stall all the other processes.","3","清楚說明可強制把 running 轉回 queue，並指出避免其他工作被卡住的優勢。",""
"15","2756","S013","1. for preemptive scheduler, CPU can directly change the running process into another process since some interrupt happened; while for non-preemptive scheduler, CPU cannot change the running process into another process until the running process is blocked.
2. when the process which CPU is occupied by is over the time slice, the task for the another process is near the deadline, then it changes to the process near the deadline first.","2","有說到時間片與 deadline，但 non-preemptive 的條件描述較不精確，整體略簡。",""
"16","2363","S040","In preemptive scheduler, OS can force a process go to ready state, even it don't use IO or any system call. But non-preemptive scheduler can't.
For example, some processes like demon server, it always runs. If we use preemptive scheduler, we can make sure other process can also be run. Prevent cpu only run demon processes.","3","有說明 OS 可強制讓出 CPU，並舉出長時間常駐程序不致壟斷 CPU 的情境。",""
"17","1938","S124","A preemptive scheduler is able to interrupt a process's interruption to execute another process instead (for example if a process of higher priority enters the queue), meanwhile a non-preemptive scheduler needs to execute a process that it started executing to its very end before executing another, no matter its priority. ","2","有提到高優先序進入時可被中斷，但非搶占式的說明與例子都不夠完整。",""
"18","2168","S121","- Preemptive scheduler can choose to  turn a running process to ready process and make the cpu compute a new ready process.
- Non-preemptive scheduler order the cpu to compute a process until this process is completed or blocked by I/O ressources for instance.

* AV = arrival time
Example : PA : 7 unit burst -  0 AV / PB : 3 unit burst - 2 AV / PC : 1 unit burst - 3AV
SJF - average waiting time : (0 + 7 + 8)  / 3 = 15/3 = 5
SRTF - average waiting time : ( 4+1+0) / 3 = 5/3

with 5/3 < 5 => preemptive scheduling is beneficial


","3","差異正確，並用 SJF 與 SRTF 的等待時間比較說明 preemptive 的好處。",""
"19","6746","S068","preemptive 之下可以讓後來到得較高優先權 process 享有資源使用權，且會先打斷原先執行的低優先權 process。這樣的好處是有一些比較緊急或是重要的 process 可以被及時處理。non-preemptive 則是先到先執行，可能會讓一些緊急的 task 無法如期完成。

例如車子行駛時如果有警急情況 preemptive 可以中斷其他任務優先給煞車系統執行，non-preemptive 則無法。","3","有清楚說明搶占式可優先處理緊急工作，並用緊急煞車的情境作例子。",""
"20","2076","S102","preemptive scheduler可以在執行的過程中中斷，並切換成其他process
non-preemptive scheduler會把當下執行的process完整執行完，才會切換到下一個process

當有process陷入無限迴圈時，preemptive scheduler可以強行中斷，讓其他process可以執行","3","差異明確，也有說出可在無限迴圈時強制中斷，符合 preemptive 的優勢。",""
"21","2214","S034","Preemptive scheduler can let running process change by saving the old process's state and storing the new one's.

if the old process run definitely, the new one never execute. Therefore, the preemptive scheduler can avoid this scenario.","1","有提到可切換執行中的 process，但 non-preemptive 與有利情境都不完整。",""
