"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3624","S109","many to one: 導致cpu只看的到 kernel 也就是1個，而導致沒有用到multi-core的優勢
one to one :可以利用到multi-core的優勢
one to one 可以有更好用到multi-core的優勢，因為這樣可以有更好的scalability，可以隨著number of cores去擴展","3","",""
"2","3384","S015","1 to 1: 1 kernel thread serves 1 user thread.
N to 1: 1 kernel thread can serve more than 1 user thread.
N to 1 allows better utilization of multi-core processor since it could use the core frequently by switch to another thread.","2","選擇 Many-to-One 錯誤；兩種模型描述正確",""
"3","6625","S054","one-to-one, because  many-to-one is dependent on single kernel, so it's vulnerable; in contrast, one-to-one can have many kernal one user coincided one kernel, means they run independently or currently on multi-core processors. ","3","",""
"4","4568","S117","one to one, since user level thread can only use single processor, only use more kernel-thread can use multi-core processors.","1","未描述兩種模型定義；選擇與理由正確",""
"5","3716","S093","One-to-one可以使用multithreading model，因為OS可以直觀的看到所有的thread，如果有thread被block的時候就可以執行其他thread；然而many-to-one model會因為一個thread被block而導致，整個process都被block，因為OS無法分別哪些user thread是被block的，所以會全部block住","3","",""
"6","4652","S012","many-to-one means many user-level threads is assigned to one kernel-level thread
one-t-one means one userlevel thread is assigned to one kernel-level thread

one-to-one, because each user-level thread can run on cpu when its corresponding kernel-level thread runs on cpu, it doesn't have to compete with other user-level threads. ","3","",""
"7","5297","S108","Many-to-One 為多個 user threads 對應到一個 kernel thread
One-to-One 為一個 user thread 對應到一個 kernel thread
One-to-One 可以善用 multi-core processors，因為他可以讓多個 kernel thread 平行運作，一次服務多個 user thread。
Many-to-One 只有一個 kernel thread 的情況下則無法，因為只有 kernel thread 可以平行運作。","3","",""
"8","4139","S099","One-to-One.
因為 user-level threads 會被 OS 視為是單一個 process，即使有多條 user-level threads，只對應到一條 kernel-level thread 也無法使用到 multi-core；一條 user-level thread 直接對應一條 kernel-level thread 才可以發揮 multi-core 的優勢。","3","",""
"9","5306","S070","1.一個是多個user-level thread對一個kernal-level thread，一個是一個user-level thread對一個kernal-level thread
2.one to one 比較好，可以運行在多核心上，many to one 因為只對一個kernal-level thread，所以那些user-level thread只能在一個核心運行","3","",""
"10","5147","S080","one-to-one will have better utilization of multi-core processor because each thread can allocate into different core and run concurrently. while many-to-one can only run in one core.","1","未描述兩種模型定義；選擇與理由正確",""
"11","2768","S003","One to one
the many-to-one is still be seemed as one , didn't make good use of the multi-core processors.","1","未描述兩種模型；選擇正確但理由過簡",""
"12","4202","S035","One-to-One, because we can let a process (or a thread) run on different core then increase the scability when run in the multi-core processors, which is efficient. For Many-to-One, many threads bounded to one process, it can't better utilize the multi-core processors.","2","未描述 One-to-One 模型",""
"13","5027","S037","One to one, because in Many-to-one when a user thread need to wait for an I/O other user thread in the same group would also be blocked. And one-to-one would only block its own kernel thread, so one-to-one would have better utilization","3","",""
"14","4207","S096","Many-to-One - many user threads can use the same kernel thread to be executed.
One-to-One - one kernel thread is created for each user thread, so only one user thread can use the same kernel thread to be executed. This model allows better utilization of multi-core processors, because kernel manages kernel threads and it can execute them on different cpu cores. However the kernel is not aware of user-level threads, so it can not execute them on different cores, thus many-to-one model can not run truly parallel on a multi-core processors.","3","",""
"15","4802","S013","one to one","0","僅寫 one to one，未描述模型、無解釋",""
"16","4514","S040","1:1 can use multi-core processors, since M:1 only has one kernel-level thread, and os can only schedule kernel-level thread, so this M user-level thread can't use multi-core cpu.","2","未描述 One-to-One 模型",""
"17","6336","S124","Threads are an execution flow. An user thread cannot use multi-core processors, but entrusting it to a kernel thread allows the kernel thread to use multi-core processors to execute it. 
If we attribute many user threads to a kernel one, he will be able to use the multiple cores to execute them all. If we attribute one thread to a kernel one, he will also be able to use the multiple cores to execute it, but that makes the throughput much more efficient (if we have N user threads, it would be more efficient to use 1 kernel to execute them rather than N ones)","2","選擇 Many-to-One 錯誤；兩種模型描述正確",""
"18","3898","S121","Many to one means(N:1) Many user-level threads for 1 kernel level threads while One-to-one(1:1) means 1 user-level thread for 1 kernel-level threads. 

The first one allows better utilization of multi-core processors because it separates the process in multiple threads that can works asynchronously thanks to the multi-core processors.","2","選擇 Many-to-One 錯誤；兩種模型描述正確",""
"19","5991","S068","One-to-One 會有更好的利用率。多核處理器對應的是 kernel level threads 而非 user level threads。假設 kernel threads 有多條，且單一核對應一條 kernel thread。如果多條 user threads 同時對應到單一條 kernel thread 則等於多條 user threads 只能使用單一核。反之，如果是 1:1 的對應方式則每一條 user thread 都可以透過各自對應的 kernel thread 獨自只用單一核。這使得 1:1 mapping 方式可以有更好的多核處理器利用率。","3","",""
"20","4751","S102","many to one have better utilization of multi-core processors, since one thread can only work on a processor, so in one-to-one case,  increase the number of processor do not have any benefit.","0","選擇 Many-to-One 錯誤；未描述模型",""
"21","6408","S034","many-to-one是N個user-level和一個kernel-level，可以多個user和kernel互動。
one-to-one是一個user-level和一個kernel-level，採一對一，且有更好的使用率在多核心processors，因為many-to-one只有一個kernel，所以所有user共享，而one-to-one不需要共享。","3","",""
"22","6383","S084","Many-to-one的multithreading model更能利用多核的優勢，因為many-to-one可以分工並行處理，share memory也不用再額外撰寫inter-process的一些手段，creat與switch也較容易，造成較少的CPU overhead。","0","選擇 Many-to-One 錯誤；未描述模型",""
"23","5650","S079","Although the best answer will be many too many...

Here I will say the one-to-one, since in many-to-one models, we use many user level threads, but only 1 kernel level thread, this will not utilize multi-core processors, since we run many threads on only 1 kernel= 1 core. So relatively speaking, the 1-1 multithreading model allow better utilization. ","3","",""
"24","3396","S122","many to one 
因為她在multi的利用率較高，降低等待的時間以及行為
","0","選擇 Many-to-One 錯誤；未描述模型",""
"25","5345","S086","One-to-One multithreading models allows better utilization of multi-core processors, because CPU can only see the kernel level thread, One-to-One multithreading models means the number of kernel level thread are equal to user level thread, CPU can run more cores concurrently, while  Many-to-one multithreading models means there are many user level threads but one kernel level thread, CPU can only run one core while there are more than one core.","3","",""
"26","6591","S052","Many-to-one is model with many user-level threads and one kernel-level thread. 
One-to-one is model with one user-level thread and one kernel-level thread.
One-to-one allows better utilization of multi-core processors because the proportion of the kernel-level thread is higher in this model.","3","",""
"27","4883","S033","One-to-One allows better utilization因為每個threads各自對應到一個core，可以平行運作，但Many-to-One代表所有threads需要在同一個core處理，較沒有效率。","1","未描述兩種模型；選擇與理由正確",""
"28","4168","S123","1-1 is better because many user-level threads is only seen as 1 process.","2","未描述 One-to-One 模型",""
"29","4056","S027","One-to-One is better because 如果many-to-one這樣只有一個kernel thread,沒辦法使用multi-core
 processors","2","未描述 One-to-One 模型",""
"30","5595","S081","'one-to-one' multithreading model has better utilization of the multi-core processors as it allows the resources to be allocated directly without having to wait but it may have longer process time but will be executed thoroughly.","0","未描述模型；理由與核心觀念無關",""
"31","4830","S008","One-to-One allows better utilization of multi-core processors, because when using Many-to-One, only one actual cpu is associated to it, it can not run threads simutaneously.","2","未描述 One-to-One 模型",""
"32","4326","S078","Many-to-one, since if one thread is finish it can switch to another. ","0","選擇 Many-to-One 錯誤；未描述模型",""
"33","5651","S087","One-to-One讓multi-core processors可以有更好的利用，因為many-to-one產生出的多個thread都在user mode裡面，但是os是看不到這些threads的，所以無法利用多核心的優勢。","2","未描述 One-to-One 模型",""
"34","3525","S022","Many user threads is controlled by one kernel thread is called ""Many-to-one"".
One user thread is controlled by one kernel thread is called ""One-to-One"".

One-to-One allows better utilization of multi-core processors, since an application with multi-threads is controlled by multiple kernel threads, and we can allocate these threads cpu resources concurrently using multi-core processor system.","3","",""
"35","6357","S110","one to one, because os only see one process whatever having how many user-level threads","2","未描述 One-to-One 模型",""
"36","4153","S082","One-to-One, because processors will consider Many-to-One as a whole, so processors will not distribute the resource for the thread inside. it's not able to utilize the multi-core processor.","2","未描述 One-to-One 模型",""
"37","5693","S105","Many-to-One. 當其中一個 user thread 被 block 住，例如 要進行 IO 時，可以將 kernel thread 指派給另一個 user thread 繼續利用 CPU 資源。","1","選擇 Many-to-One 錯誤；Many-to-One 描述正確",""
"38","3728","S111","Many-to-one is better, 因為可以同時處理多個thread.","0","選擇 Many-to-One 錯誤；未描述模型",""
"39","3921","S085","1:1更好，每一thread可以對應1核心，M:1則是多對應1","2","兩種模型描述正確；未說明選擇理由",""
"40","5477","S004","N:1 model:kernel只看得到一個process，看不到內部的threads。
1:1 model:kernel看得到process內部的所有threads，scheduler可以分配每個threads到不同cores，可以parellel。
所以1:1 model比較適合muti-core processors。","3","",""
"41","2177","S011","{
  ""text"": """"
}","0","答案為空 JSON，無實質內容",""
"42","3706","S046","One-to-One allows better utilization of multi-core processors.
因為One-to-One可以一個kernel對一個user，如果Many-to-One的話，一個user如果報錯，就會讓kernel卡住，讓其他user跟著一起卡住。","3","",""
"43","2284","S005","Many-to-One : multi user thread to one kernel thread
One - to - One : one user thread to one kernel thread


one to one: 
Because only kernel thread can use multi-core processors","3","",""
"44","5925","S061","one to one.
it will cant ne handled.","0","理由為無意義文字；未描述模型",""
"45","4856","S014","1-1(better):parellel  多核心
N-1:單核心","3","",""
"46","3640","S028","one to one can has better utilization of multi-core processors
因為1-1可以讓每一個thread分別對應到一個CPU/core去執行
而Many-to-one則是多個thread限制在一個CPU/Core上面","3","",""
"47","6523","S107","one-to-one allows better utilization of multi-core processors because each kernel thread has only a user thread, making it easy to addressed by multi-core processors.","2","未描述 Many-to-One 模型",""
"48","4009","S126","many to one有比較好的利用率，因為多個thread會共享一些資源，比較好去執行多核心","0","選擇 Many-to-One 錯誤；未描述模型",""
"49","4753","S017","1-1比較能利用，因為N-1的話是多個user level threads map到一個kernel thread上，但os只能看到那一個kernel thread，因此只能分配一個core/processor給它用，無法利用multi core來多工處理。
1-1就相當於每個user thread map到一個kernel thread，所以相當於每個user thread都能被os分配到不同的core/processor上運行，進而達到多工處理提升效率","3","",""
"50","4995","S115","One to one utilizes better, because for many to one, the one means one kernel thread, and there is no way to run on multiple cores for a single kernel thread. For better utilization you would need multiple kernel threads, for our case one user to one kernel utilizes cores way better than multiple user threads to one kernel thread.","3","",""
"51","2800","S089","One-to-one，這樣的model能夠多核平行運行","1","未描述兩種模型；選擇正確但理由過簡",""
"52","4730","S009","one to one allows better utilization. because only kernel-level threads can utilize by processors' core and user-level threads cannot. so one user-level thread to one kernel-level thread can have better utilization","2","未描述 Many-to-One 模型",""
"53","5255","S094","Many-to-One
因為""多對一""代空間有被有效利用，CPU可以同時執行","0","選擇 Many-to-One 錯誤；未描述模型",""
"54","6710","S066","One-to-One更可以增加多核使用率，因為每個user-level thread都可以對應自己的kernel-level thread，而Many-to-One必須多個user-level threads共用一個kernel-level thread，而無法充分利用多核作業。","3","",""
"55","2571","S041","one-to-one
多個 user space 的程序對上一個 core 無法有效利用多核處理器的優勢","2","未描述 One-to-One 模型",""
"56","6409","S031","Many-to-One allows better utilization of multi-core processors. 因為這樣可以更有效率","0","選擇 Many-to-One 錯誤；未描述模型",""
"57","3985","S116","1:1是最好的multithread的model，N:1的model不僅不能發揮多核心的優勢，如果一個thread運行卡住，甚至還會導致面的threads也跟著卡死。","2","未描述 One-to-One 模型定義",""
"58","4590","S059","one to one.

因為一對一的處理器可以平行處理就能利用多核化平行化來增加效能

但是用多對一的話是多條user-level-thread對應到單一條kernel-level thread是做不到多核心處理的,因為一個kernel要管很多user thread","3","",""
"59","2604","S064","one-to-one
kernel-level thread 有更好的utilization
","1","未描述兩種模型；選擇與理由正確但過簡",""
"60","3944","S101","many-to-one因為一次平行執行多個threads。","0","選擇 Many-to-One 錯誤；未描述模型",""
"61","5434","S103","1.
many-to-one : 多個user thread配1個kernel thread
one-to-one : 1個user thread配1個kernel thread
2. one-to-one
3. many-to-one只有1個kernel, 即使有多個core也無法讓多個user thread使用","3","",""
"62","5153","S104","Many-to-one 因為這樣可以時執行多個threads提高CPU utilization
","0","選擇 Many-to-One 錯誤；未描述模型",""
