"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4096","S109","是當多個process 嘗試要去access shared data 的情況，這時結果會取決於process執行的順序","2","明確指出多個 process 存取共享資料，結果取決於執行順序。",""
"2","3945","S015","The race condition is that more than 1 processes try to write a change to the same destination (ex. variable, file). The result of destination depends on the order of writting.","2","提到多個 process 對同一資源寫入，且結果受寫入順序影響。",""
"3","2761","S054","the result of the program infected by the order of execution threads, and it could cause unwanted result.","1","有提到執行順序影響結果，但未完整說明共享資源的概念。",""
"4","5295","S117","two or more process access a resource at the same time","1","有說明多個 process 同時存取同一資源，但未提到結果會受順序影響。",""
"5","4271","S093","如果有很多process或thread共同分享一個variable時，每個process搶到CPU使用權要對該variable做write的時候，會發生race condition，因為會造成該write的數值尚未完成CPU就被搶走了，導致最後的數值結果不正確","2","有共享 variable 的並行存取，且描述了搶占/中斷造成結果不正確。",""
"6","5699","S012","multiple process needs to use a resource in the same time and the different excution orders leads to different results","2","有指出同時使用資源，且不同執行順序會導致不同結果。",""
"7","6182","S108","當兩個 process 都要讀取與寫入相同的資料，若管理不當，可能導致某一 process 在讀取時被中斷，變成另一個 process 讀取與寫入，此時兩邊資料不對齊，計算結果就會出錯。","1","有提到同一資料的讀寫衝突，但未清楚表達結果依執行順序而定。",""
"8","5138","S099","多個 threads 去存取同個 data，且不同的存取順序會導致不同的結果，造成計算結果不一致的情況。","2","明確指出多個 threads 存取同一資料且順序不同會導致不同結果。",""
"9","3462","S070","當多個thread(process)同時access一個share data的時候 他的結果取決於那些thread修改完的順序","2","有共享資料與修改順序影響結果的核心概念。",""
"10","6158","S080","two or more threads or process want to access the same resource, and the final result will depends on the execution order of the threads or process.","2","完整提到共享資源與執行順序影響最終結果。",""
"11","2192","S003","When multiple process accessing same shared data space, and the outputs would be based on the order of each.","2","有共享資料與輸出依存取順序而定的概念。",""
"12","5219","S035","when two or more threads(or processes) want to access the shared memory(like data or file)  and their execution order will influence the outcome result.","2","明確指出共享記憶體與執行順序影響結果。",""
"13","5101","S037","When two process access the same resouce concurrently and the result of the program would be change if the order is different.","2","有說到同一資源的並行存取，且順序不同會改變結果。",""
"14","5327","S096","When the result of a program depends on the execution order of threads or processes that use a shared resource ","2","完整描述結果依 threads/processes 使用共享資源的執行順序而定。",""
"15","5563","S013","the shared data is modified at a moment and is unpredictable since it's decided by the order of the process","2","有共享資料與順序決定結果的不確定性。",""
"16","5157","S040","two or more threads use the same memory at the same time and the result depends on access order","2","有同時使用同一記憶體，且結果依存取順序而定。",""
"17","2880","S124","Race condition is when multiple threads try to access a shared resource (read/write it), but the result of the computation is dependent from the order of access","2","完整提到共享資源的並行存取與結果受存取順序影響。",""
"18","5144","S121","A race condition occurs when two or more threads/processes try to access to the same data simustaneousy.","1","只提到多個 threads/processes 同時存取同一資料，未說明結果依順序而變。",""
"19","4157","S068","兩個 process 互相擁有對方所需的資源，且這些資源是不可以同時被兩個 process所共享的，造成互相等待對方（hold and wait）","0","內容偏向 deadlock/互相等待，未回答 race condition。",""
"20","3849","S102","when more than one process want the same shared data, the result will depend on the order they reach","2","有同一共享資料與結果取決於到達順序的核心概念。",""
"21","5528","S034","race condition occurs when threads/processes access a shared resource concurrently, and the final outcome depends on their execution order.","2","完整指出共享資源並行存取，且結果取決於執行順序。",""
"22","4726","S084","當兩個程式都想存取共享且未受保護的資源時，就會發生race condition。","1","有提到共享且未受保護的資源，但未說明結果會受執行順序影響。",""
"23","6280","S079","if the two process is using the same resource and the result is determined based on the order of when the process operates then the race condition happens.","2","有共享資源與結果依執行順序決定的核心概念。",""
"24","4186","S122","多PROCESS THREAD同時進入共享資源時，根據先後順序來做執行處理","2","有多個 thread/process 存取共享資源，且先後順序會影響執行。",""
"25","2588","S086","Race condition is the situation that when multiple processes access and modify shared data concurrently, the final results depend on the order of execution.","2","完整描述並行存取共享資料，且最終結果依執行順序而定。",""
"26","5692","S052","Race condition occurs when multiple processes or threads want to access shared resource, and the outcome of the program depends on the orders of execution of the processes and threads","2","完整提到共享資源與執行順序影響輸出。",""
"27","5832","S033","當多個thread獲process同時存取使用shared的data，會造成最後結果因為thread或process的執行順序產生不同結果。","2","有共享資料與執行順序造成不同結果的核心概念。",""
"28","4702","S123","2 or more processes access a shared resource, and the outcome depends on the order in which the processes execute.","2","完整描述共享資源與執行順序影響結果。",""
"29","4698","S027","It occurs when multiple threads access shared data,and the final result depends on the execution order","2","有共享資料與結果取決於執行順序。",""
"30","3001","S081","it is the counterintuvitive process allows the processes to run concurrently for example in a bank account it has $500 and if A deposits $1000 and at the same time B withdraws $500 so if the system is right it will show $1500","1","有提到並行情境與可能出現錯誤結果，但未直接定義 race condition。",""
"31","3580","S008","Race condition happens when two or more threads/processes trying to read/write to the same resource.","1","只提到多個 threads/processes 讀寫同一資源，未完整說明結果依順序而變。",""
"32","2321","S078","When a section only one can process, but many need to process. it call race condition.","0","敘述過於籠統，未說明共享資源與執行順序造成的結果差異。",""
"33","4282","S087","當多個thread都要對一個變數去進行操作時，變數的結果可能會因為執行順序的不同而改變","2","有說明多個 thread 操作同一變數，且結果會因執行順序不同而改變。",""
"34","4140","S022","Multiple processes are accessing some sharing variables, and the outcome can be different due to different code line running sequence.","2","有共享變數與不同執行順序導致結果不同。",""
"35","6611","S110","some process shared the variable and the variable outcome changes by the order of process execute","2","有共享變數與執行順序改變輸出的概念。",""
"36","5246","S082","when multi process are accessing the same block of memory. The order may lead to the different result.","1","有提到同一記憶體與順序影響結果，但描述較簡略。",""
"37","6323","S105","當兩個 thread 讀寫同一個變數，不同讀寫順序會產生不同結果的現象。","2","完整指出同一變數的讀寫順序不同會產生不同結果。",""
"38","4206","S111","當有兩個process都會使用同一個data，且他們使用的順序會影響最終的結果時，此狀況稱為race condition。","2","完整描述共享資料與使用順序影響最終結果。",""
"39","4643","S085","多程式共享同一資源，且運行結果因程式運行順序不同而改變","2","有共享資源與執行順序改變結果的核心概念。",""
"40","4133","S004","在並行的系統中，兩個或兩個以上的process要存取某個共享資源，且至少有一方要寫入，由於操作non-atomic，缺乏正確的同步，導致結果會因為執行順序不同而不同","2","完整提到共享資源、非原子操作與結果受執行順序影響。",""
