"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12287","S109","發布者和訂閱者不能直接做溝通，發布者需要通過中介者: broker 來傳遞消息
(1) 會先建立一個 channel ，就相當於建立一個相關群組
(2) 訂閱者會通過訂閱自己有興趣的主題來接收訊息
(3) 發布者發布消息之後，會藉由 broker 來 foward 消息","1","channel↔group 正確，但 subscribe 未對應 join group，publish 僅提 broker forward 而非 multicast to group",""
"2","12261","S015","A channel based pub./sub. system is that publishers send messages to channel, and the channel sends it to the receiver which is interested in it.
To implement it by group communication, we can set all the receivers that are interested in one topic to a group. And the group could be viewed as a channel. The publishers send message to the group, and the group sends it to all members.","2","",""
"3","15837","S054"," channel-based publish/subscribe system在實行時，任何發布群組訊息都會讓有訂閱該群組頻道者接收到","1","方向正確但過於簡略，未明確說明 subscribe↔join、publish↔multicast 對應關係",""
"4","12895","S117","在創建channel時就創一個group，將所有subscribers加入這個group，publisher如果要在這個channel發送message，就向這個group發送。如果有新的subscriber，將其加入這個group。","2","",""
"5","12485","S093","在group communication中，在一個close group中只有該group中的人可以在此group發布message，因此group communication去實作 channel-based publish/subscribe system，可以讓publisher有一個channel(group)，而publisher可以在該group中發message所有的subscriber都會收到message，這樣就能完成 channel-based publish/subscribe system","1","提到 channel=group 與 publish→group，但 subscribe↔join group 不明確",""
"6","15401","S012","the publisher sends message to the channel, and the middleware sends the message to all subscribers or the subscribers can poll the channel regularly ot fetch the message","0","僅描述 pub/sub 基本概念，未說明如何用 group communication 實作",""
"7","12385","S108","首先先建立 channel，並且同時建立 group，subscribe 的方式就是讓 process 加入此 group，而 sender 只需要對此 group 發出訊息，所有 subscriber 皆會收到。 ","2","",""
"8","12300","S070","增加新的channel的時候就新增一個group，如果有其他人要加入這個channel就加入那個group，publish的時候就可以一起寄給group裡面的所有人","2","",""
"9","16101","S080","a channel-based publisher can publish the information and the brocker can deliver message to all subscriber in the channel.","0","僅描述 pub/sub 基本概念（broker 傳遞），未說明如何用 group communication 實作",""
"10","11376","S003","source and data are published to a channel and subscribers can subscribe the channel and get the source. Imagine creating a specific channel as creating an associated group and joining the group through subscribing it.","1","提到 channel=group 與 subscribe=join group，但未說明 publish 對應 multicast/send to group",""
"11","12729","S035","The publisher can send the message to the group, and the subscriber who want to get the publisher's message(or the subscriber wants the message from the publisher, just like channel-based system)  join the group. when the publisher send the message to the group, all the members in the group will get the message, which is like the operation of channel-based publish/subscribe system.","2","",""
"12","13558","S037","We can group the subscriber with the same subscribe channel in one group. If publishers push new messages to the channel, the middleware can notify all of the subscriber by multicasting the group.","2","",""
"13","12620","S097","1. Subscribe can be implemented by joining the group
2. Publish can be implemented by sending message to the group","2","",""
"14","12733","S013","Establishing two groups for publishers and subscribers with communication channel. If it is interested in the publish of the publishers,  it can be added into the group of the subscribers. Then, the publishers send message directly by the communication channel, so the subscribers can receive the message.","1","建立兩個 group（publishers/subscribers）的模型有誤，正確應為一個 channel 對應一個 group",""
"15","12992","S040","a channel as a group, if someone subscribe a channel, add it into the group, and if publisher publish something, brocast it to the group","2","",""
"16","11313","S124","In a channel-based publish/subscribe system, a group of recipients is subscribes to a channel, waiting for the publisher to publish something on said channel. To implement this, we could simply implement the group of subscribers as a multicast group and have the sender use multicasting to publish something by sending the data to the group as a multicast ","2","",""
"17","13069","S121","In channel-based pub/sub, processes can subscribe to a named-channel and then received a publication from other processes that publish on the named-channel. It can be implemented such as :
- to create a new named-channel, it creates a new group.
- to subscribe a process to a named-channel, it adds the process to the associated group.
- to publish on a named-channel, it sends a message to the group.","2","",""
"18","16204","S068","因為這樣可以解決不同步 clock 造成收發訊息拖累整體效能的問題","0","答非所問，討論 clock 同步問題而非如何用 group communication 實作 channel-based pub/sub",""
"19","12217","S102","訂閱channel = join the group
publish a message to channel = sent message to the group
subscribe channel  = receive message from the group","2","",""
"20","12319","S034","event發布，在特定channel裡面的subscriber可以收到訊息，建立channel就是建立associated group，subscriber就是group的成員。","2","",""
"21","11539","S084","在channel-based publish/subscribe系統中，publisher的訊息會發布到特定的channel上，當channel建立時等同於建立group，訂閱此channel的subscriber就是group裡的成員，這些成員都會收到publisher發布的訊息。","2","",""
"22","15906","S079","servers publish the messages like out(""app"", 123), out(""app"", 70), onto the IN, while the client subscribe to the server with certain requirement such as in(""app"", ?x), for x less than 80. In this case, we can see that the client will subscribe to the server with (""app"", 70).

for a pseudo code case we can write the server as 
1. publish its server ID
2. read the client's request
3. process the request
4. publish the result

for a pseudo code case we can write the client as 
1. read the server's ID
2. write the request and send it to the server
3. wait and receive reply from server","0","描述 tuple-space 風格的 pub/sub 範例碼，未說明如何用 group communication 實作 channel-based pub/sub",""
"23","16160","S122","可以增加他們的共通性 靈活度
","0","僅討論 pub/sub 的益處（共通性、靈活度），未回答如何實作",""
"24","12302","S086","The channel can be mapping as a group, the subscribers join the group, the publisher multicast event to the group, and the subscribers receive the message.","2","",""
"25","13129","S052","In a channel-based publish/subscribe system, publishers publish events on a channel, and the subscribers that are interested in can copy the message from the channel. To implement this by group communication, the subscribers can be organized in an associated group, then the publisher can send the message to the group members. The group members(subscribers) have the access to the message.","2","",""
"26","12464","S033","因為publish/subscribe system 可以產生群組，並發送訊息給所有群組的成員，這就是group communication的概念","0","因果倒置：題目問如何用 group communication 實作 pub/sub，非 pub/sub 如何達成 group communication",""
"27","13115","S123","Channels can be implemented as groups. Publishers can send messages to the ","0","句子未完成，內容不完整",""
"28","12067","S027","建立channel -> 建立 group
訂閱channel -> 加入 group
發布event -> 向group中的所有訂閱者發佈訊息","2","",""
