"index","exam_answer_id","username","original_score","original_feedback"
"1","2503","S109","2.0",""
"2","2566","S015","2.0",""
"3","6358","S054","1.0",""
"4","3655","S117","2.0",""
"5","2791","S093","2.0",""
"6","3172","S012","2.0",""
"7","3978","S108","2.0",""
"8","2981","S099","2.0",""
"9","2469","S070","2.0",""
"10","3946","S080","2.0",""
"11","3301","S003","2.0",""
"12","3171","S035","2.0",""
"13","4020","S037","2.0",""
"14","2573","S096","2.0",""
"15","3937","S013","1.0","SCAN is incorrect"
"16","3843","S040","2.0",""
"17","2206","S124","2.0",""
"18","2706","S121","1.0",""
"19","6616","S068","2.0",""
"20","2747","S102","2.0",""
"21","4046","S034","2.0",""
"22","3346","S084","2.0",""
"23","4031","S079","2.0","Correct order; head position should not be included."
"24","2385","S122","2.0",""
"25","3210","S086","2.0",""
"26","3590","S052","2.0",""
"27","3627","S033","2.0",""
"28","2827","S123","2.0",""
"29","2782","S027","2.0",""
"30","1926","S081","1.0",""
"31","3112","S008","0.0","Incorrect order; extra tracks and missing request 10."
"32","3230","S078","0.0",""
"33","3131","S087","2.0",""
"34","2709","S022","2.0",""
"35","4833","S110","2.0",""
"36","3063","S082","2.0",""
"37","4059","S105","2.0",""
"38","2608","S111","1.0",""
"39","2632","S085","2.0",""
"40","2879","S004","2.0",""
"41","1795","S011","2.0",""
"42","2660","S046","2.0",""
"43","4497","S005","2.0",""
"44","3304","S061","2.0",""
"45","2624","S014","2.0","Correct order; head position should not be included."
"46","2669","S028","2.0",""
"47","2688","S107","2.0",""
"48","2735","S126","2.0",""
"49","2865","S017","2.0","Correct order; head position should not be included."
"50","4109","S115","2.0",""
"51","2387","S089","2.0",""
"52","2605","S009","2.0",""
"53","3911","S094","2.0",""
"54","6602","S066","2.0",""
"55","2207","S041","2.0",""
"56","3654","S031","2.0",""
"57","4852","S116","2.0",""
"58","3807","S059","2.0",""
"59","2155","S064","2.0",""
"60","2625","S101","2.0","Correct order; head position should not be included."
"61","4281","S103","2.0",""
"62","6254","S104","2.0",""
"63","2722","S023","2.0",""
"64","3548","S113","2.0",""
"65","2894","S055","0.0",""
"66","2903","S119","2.0",""
"67","3722","S067","2.0",""
"68","4276","S076","2.0","Correct logic; only requested tracks should be listed."
"69","4254","S074","2.0","Correct logic; only requested tracks should be listed."
"70","2774","S063","2.0",""
"71","3672","S090","2.0",""
"72","3687","S100","2.0",""
"73","4616","S114","2.0",""
"74","2083","S038","2.0",""
"75","2785","S047","2.0",""
"76","2744","S044","2.0",""
"77","2708","S075","2.0",""
"78","2495","S030","2.0",""
"79","3785","S106","2.0",""
"80","6243","S019","2.0",""
"81","2636","S020","2.0",""
"82","3970","S010","2.0",""
"83","4136","S051","2.0",""
"84","4550","S039","2.0",""
"85","2815","S018","2.0","Correct order; head position should not be included."
"86","3100","S049","2.0",""
"87","3952","S053","2.0",""
"88","3457","S092","2.0",""
"89","2443","S125","2.0",""
"90","6288","S021","2.0",""
"91","2546","S050","2.0",""
"92","2523","S036","2.0",""
"93","2887","S048","2.0",""
"94","6433","S112","2.0",""
"95","2798","S006","2.0",""
"96","3450","S026","2.0",""
"97","6072","S032","1.0",""
"98","4975","S057","2.0",""
"99","6019","S002","2.0",""
"100","6377","S007","2.0",""
"101","4203","S016","2.0",""
"102","4629","S083","2.0",""
"103","2858","S088","2.0",""
"104","3602","S058","2.0",""
"105","3187","S043","2.0",""
"106","2560","S060","2.0",""
"107","2519","S024","2.0",""
"108","6202","S095","2.0",""
"109","2995","S077","2.0",""
"110","2743","S120","2.0",""
"111","2928","S073","2.0",""
"112","2754","S069","2.0",""
"113","3550","S072","2.0",""
"114","2703","S042","2.0",""
"115","2805","S071","2.0",""
"116","4407","S062","2.0",""
"117","2742","S045","2.0",""
"118","2629","S056","2.0",""
"119","3340","S029","2.0",""
"120","3310","S065","2.0",""
"121","5482","S025","2.0",""
"122","2622","S098","2.0",""
