"index","exam_answer_id","username","original_score","original_feedback"
"1","12054","S109","4.0","4/4：四項核心失敗皆涵蓋。"
"2","12677","S015","4.0","4/4：四項核心失敗皆涵蓋。"
"3","15299","S054","4.0","有 locate server、request lost、server crash；缺 response lost。"
"4","13482","S117","4.0","有 request/response lost 與 server crash；client crash 不算核心項。"
"5","12200","S093","4.0","4/4：四項核心失敗皆涵蓋。"
"6","12578","S012","2.0","只對到 request/response lost，crash 描述不清。"
"7","12668","S108","1.0","只有 server crash 較明確，其餘描述不夠對應。"
"8","12478","S099","4.0","有 locate server、request lost、reply lost；client crash 不算核心項。"
"9","12539","S070","4.0","4/4：四項核心失敗皆涵蓋。"
"10","13576","S080","4.0","有 locate server、request/response lost；client crash 不算核心項。"
"11","11570","S003","4.0","有 request/response lost 與 server crash；缺 locate server，client crash 不加分。"
"12","13119","S035","4.0","4/4：四項核心失敗皆涵蓋。"
"13","14385","S037","0.0","答非所問。"
"14","12948","S097","4.0","4/4：四項核心失敗皆涵蓋。"
"15","12500","S013","4.0","有 server crash、request lost、reply lost；client crash 不算核心項。"
"16","13359","S040","4.0","有 request/response loss 與 server crash；client crash 不算核心項。"
"17","11435","S124","4.0","miss  Client cannot locate the server"
"18","13697","S121","3.0","有 request/response lost；crash 描述不夠精確，client crash 不算核心項。"
"19","14984","S068","4.0","4/4：四項核心失敗皆涵蓋。"
"20","12465","S102","4.0","4/4：四項核心失敗皆涵蓋。"
"21","12743","S034","4.0","4/4：四項核心失敗皆涵蓋。"
"22","11738","S084","4.0","4/4：四項核心失敗皆涵蓋。"
"23","12997","S079","4.0","4/4：四項核心失敗皆涵蓋，extra client crash 不扣分。"
"24","11971","S122","2.0","只明確對到 response lost, Request message is lost。"
"25","12678","S086","4.0","4/4：四項核心失敗皆涵蓋，extra client crash 不扣分。"
"26","13565","S052","4.0","4/4：四項核心失敗皆涵蓋。"
"27","12779","S033","3.0","有 locate server、request/reply lost；server crash 時點不符。"
"28","13474","S123","4.0","4/4：四項核心失敗皆涵蓋。"
"29","12366","S027","4.0","4/4：四項核心失敗皆涵蓋。"
"30","11659","S081","1.0","只有 server crash 相關描述。"
"31","13202","S008","4.0","4/4：四項核心失敗皆正確。"
"32","11412","S078","4.0","receive/respond fail 可對應 request/response lost，再加 server crash；client crash 不算核心項。"
"33","12741","S087","3.0","有 request/response lost 與 server crash；缺 locate server。"
"34","11877","S022","0.0","答非所問。"
"35","13425","S110","4.0","4/4：四項核心失敗皆涵蓋。"
"36","13345","S082","3.0","miss  Client cannot locate the server"
"37","13140","S105","4.0","4/4：四項核心失敗皆涵蓋，client crash 為額外項。"
"38","11817","S111","4.0","有 request/reply lost 與 server crash；缺 locate server。"
"39","12563","S085","4.0","有 request/response lost 與 server crash；缺 locate server。"
"40","12652","S004","4.0","4/4：四項核心失敗皆涵蓋。"
"41","12384","S046","4.0","4/4：四項核心失敗皆涵蓋。"
"42","11686","S005","4.0","4/4：四項核心失敗皆涵蓋。"
"43","11594","S014","4.0","有 request/response lost 與 server crash；client crash 不算核心項。"
"44","12418","S107","4.0","4/4：四項核心失敗皆涵蓋。"
"45","13196","S126","4.0","可對應 locate server、request fault、reply fault、server fault。"
"46","15471","S017","4.0","4/4：四項核心失敗皆涵蓋，extra sender crash 不扣分。"
"47","11749","S115","3.0","miss  Client cannot locate the server"
"48","12309","S089","4.0","4/4：四項核心失敗皆涵蓋。"
"49","12934","S009","2.0","僅部分可對應到 request lost / client disconnected，未完整對到四項核心失敗。"
"50","13268","S094","4.0","4/4：四項核心失敗皆涵蓋。"
"51","11523","S066","3.0","有 request lost、response lost、server crash；缺 locate server。"
"52","12490","S041","4.0","有 request/response lost 與 server crash；client crash 不算核心項。"
"53","15537","S031","4.0","4/4：四項核心失敗皆涵蓋。"
"54","12358","S116","2.0","只明確對到 request/reply lost。"
"55","13253","S059","4.0","4/4：四項核心失敗皆涵蓋。"
"56","11302","S064","4.0",""
"57","13303","S101","3.0","有 request/response lost 與 locate server；sender crash 不算核心項。"
"58","12561","S103","2.0","只對到 request/response lost，crash 時點錯誤。"
"59","12736","S104","4.0","4/4：四項核心失敗皆涵蓋。"
"60","13318","S023","4.0","4/4：四項核心失敗皆涵蓋。"
"61","12363","S113","4.0","4/4：四項核心失敗皆涵蓋。"
"62","12696","S055","4.0","4/4：四項核心失敗皆涵蓋。"
"63","13034","S119","4.0","not sender"
"64","12872","S067","4.0","miss  Client cannot locate the server."
"65","13564","S076","3.0","有 request/response lost 與 server crash；缺 locate server。"
