"index","exam_answer_id","username","original_score","original_feedback"
"1","4560","S109","2.0","Mutual Exclusion No Preemption"
"2","2899","S015","3.0","Mutual Exclusion"
"3","6147","S117","1.0","Hold and Wait No Preemption Circular Wait"
"4","3110","S093","4.0",""
"5","3866","S012","4.0",""
"6","4566","S108","3.0","No Preemption"
"7","6369","S099","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"8","6729","S070","1.0","Mutual Exclusion Hold and Wait No Preemption"
"9","4424","S080","4.0",""
"10","4689","S003","2.0","Mutual Exclusion No Preemption"
"11","3562","S035","3.0",""
"12","6126","S037","2.0",""
"13","6223","S096","2.0","Mutual Exclusion Hold and Wait"
"14","4383","S013","4.0",""
"15","3189","S121","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"16","6534","S068","3.0","Mutual Exclusion"
"17","6447","S034","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"18","6634","S084","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"19","6744","S079","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"20","6617","S122","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"21","5361","S027","4.0",""
"22","5994","S081","0.0",""
"23","5841","S008","1.0","Mutual Exclusion Hold and Wait No Preemption"
"24","6196","S078","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"25","3368","S087","4.0",""
"26","2974","S022","4.0",""
"27","5889","S110","4.0",""
"28","4475","S111","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"29","3530","S085","4.0",""
"30","3471","S004","4.0",""
"31","6474","S046","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"32","6466","S005","1.0","Hold and Wait No Preemption Circular Wait"
"33","3621","S061","1.0","Mutual Exclusion No Preemption Circular Wait"
"34","3753","S014","4.0",""
"35","6114","S028","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"36","6048","S126","4.0",""
"37","6173","S017","1.0","Mutual Exclusion Hold and Wait Circular Wait"
"38","6148","S115","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"39","2587","S089","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"40","6168","S009","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"41","5742","S041","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"42","6745","S031","1.0","Mutual Exclusion Hold and Wait Circular Wait"
"43","6312","S116","2.0","Hold and Wait Circular Wait"
"44","4148","S059","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"45","5977","S101","2.0","No Preemption Circular Wait"
"46","4906","S103","1.0","Hold and Wait No Preemption Circular Wait"
"47","6584","S104","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"48","4349","S113","1.0","Hold and Wait No Preemption Circular Wait"
"49","6424","S067","1.0","Mutual Exclusion Hold and Wait No Preemption"
"50","6605","S076","2.0","Hold and Wait Circular Wait"
"51","4714","S074","4.0",""
"52","4764","S063","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"53","4196","S090","4.0",""
"54","3967","S100","4.0",""
"55","3596","S114","4.0",""
"56","2346","S038","4.0",""
"57","3905","S047","3.0","Mutual Exclusion"
"58","3559","S044","3.0","No Preemption"
"59","3445","S075","1.0","Hold and Wait No Preemption Circular Wait"
"60","2846","S030","4.0",""
"61","5915","S106","2.0","No Preemption Circular Wait"
"62","3718","S019","4.0",""
"63","2829","S020","4.0",""
"64","4603","S010","3.0","Hold and Wait"
"65","4666","S091","4.0",""
"66","4604","S051","4.0",""
"67","6136","S039","3.0","Mutual Exclusion"
"68","5662","S018","4.0",""
"69","5839","S049","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"70","4505","S053","4.0",""
"71","3780","S092","1.0","Hold and Wait No Preemption Circular Wait"
"72","2885","S125","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"73","6613","S021","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"74","4115","S050","2.0","Hold and Wait Circular Wait"
"75","3569","S048","3.0","Hold and Wait"
"76","6743","S112","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"77","5149","S006","3.0","Circular Wait"
"78","4417","S026","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"79","6140","S057","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"80","6623","S002","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"81","6049","S007","4.0",""
"82","6732","S016","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"83","4396","S058","1.0","Mutual Exclusion Hold and Wait No Preemption"
"84","6443","S043","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"85","6432","S060","4.0",""
"86","5502","S024","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"87","3427","S077","2.0","No Preemption Circular Wait"
"88","6079","S069","4.0",""
"89","6297","S072","1.0","Hold and Wait No Preemption Circular Wait"
"90","5011","S071","4.0",""
"91","6350","S062","4.0",""
"92","3768","S045","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"93","4032","S029","0.0","Mutual Exclusion Hold and Wait No Preemption Circular Wait"
"94","6272","S065","2.0","Hold and Wait Circular Wait"
"95","3741","S098","3.0","No Preemption"
