"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3828","S109","1. number of queues
2. scheduling algorithm for each queue
3. algorithm to determine when to upgrade a process","3","列出 3 個正確參數：queue 數量、各 queue 的排程演算法、升級規則。",""
"2","3675","S015","1. Number of queues
2. Schedule policy for each queue
3. When to upgrade or downgrade a process in a queue.","3","列出 3 個正確參數：queue 數量、各 queue 的排程政策、升降級條件。",""
"3","4534","S054","queue 的順序
methods that process upgrade in queue
methods that process d降級 in queue
","2","有升級與降級條件，但「queue 的順序」不算明確正確參數。",""
"4","4861","S117","number of queues, policy to upgrade a process, policy to downgrade a process, priority schedule for each queue","3","列出 4 個正確參數，超過滿分需求。",""
"5","4070","S093","可以有幾個waiting queue、每個queue的algorithm、promotion的條件","3","列出 3 個正確參數：waiting queue 數量、各 queue 演算法、promotion 條件。",""
"6","5129","S012","1. number of queues
2. algorithm to determine when to demote a process
3. algorithm to determine when to upgrade a process","3","列出 3 個正確參數：queue 數量、升級與降級規則。",""
"7","5875","S108","1. queue 的數量
2. process 升級/降級的條件 (向上面的 queue 移動或向下)
3. 每個 queue 的 scheduling algorithm","3","列出 3 個正確參數：queue 數量、升降級條件、各 queue 排程演算法。",""
"8","4632","S099","1. Number of queue.
2. Method to determine when to upgrade a process.
3. Scheduling strategy for each queue.","3","列出 3 個正確參數：queue 數量、升級規則、各 queue 排程策略。",""
"9","3920","S070","1.queue的數量
2.不同queue的scheduling algorithm
3.如何決定升級到更高的queue","3","列出 3 個正確參數：queue 數量、各 queue 演算法、升級規則。",""
"10","5769","S080","numbers of the queues
method to determine the time to upgrade the process
method to determine the time to demote the process
method to determine which queue to start when the process come in","3","列出 4 個正確參數，超過滿分需求。",""
"11","2456","S003","numbers of queue
scheduling algorithm for each queue
methods to determine which to upgrade
methods to determine which to demote","3","列出 4 個正確參數，超過滿分需求。",""
"12","4914","S035","1. number of queue
2. the promotion criteria
3. the demotion criteria
4. the CPU scheduling algorithm
5. decide which queue a process will be when it comes in.","3","列出 5 個正確參數，超過滿分需求。",""
"13","5410","S037","Number of queues
Algorithn of each queues
The method to upgrade a process to higher proirity queue","3","列出 3 個正確參數：queue 數量、各 queue 演算法、升級規則。",""
"14","4727","S096","- Several queues
- What algorithm is used in each queue
- What are conditions to move a process to a higher or lower queue","3","列出 3 個正確參數：queue 數量、各 queue 演算法、升降級條件。",""
"15","5119","S013","1. number of queue
2. the method of schedular for the queue
3. the method of demoting the level of the process","3","列出 3 個正確參數：queue 數量、各 queue 排程方式、降級規則。",""
"16","4800","S040","how many queue
how to schedule in each queue
how to deside which process enter which queue","3","列出 3 個正確參數：queue 數量、各 queue 排程方式、進入哪個 queue 的判定。",""
"17","2670","S124","- The number of queues 
- The algorithms in each of these queues 
- The method to determine when to UPGRADE a process from one queue to a HIGHER priority one 
- The method to determine when to DEMOTE a process from one queue to a LOWER priority one 
- The method to determine in which queue a process needs to be put when it enters a Multilevel Feedback Queue ","3","列出 5 個正確參數，超過滿分需求。",""
"18","4474","S121","- Number a queues
- scheduling algorithms for each queue
- how to upgrade a process 
- how to demote a process
- In which queue insert a process that wants to enter to do its service.","3","列出 5 個正確參數，超過滿分需求。",""
"19","5241","S068","1. Queue 的數量
2. 每一個 Queue 的優先權級別
3. 每一個 process 待在 Queue 的時間，用來實現 aging 機制避免 starvation","1","僅明確對應到 queue 數量；其餘內容未清楚對應題目參數。",""
"20","4218","S102","number of queue
schuduling algorithm for each queue
mechanism for deciding to go to the higher priority queue or lower priority queue","3","列出 3 個正確參數：queue 數量、各 queue 演算法、升降級機制。",""
"21","5162","S034","a)number of queues
b)methods used to determine when to upgrade the queue.
c)methods used to determine when to demote the queue.","3","列出 3 個正確參數：queue 數量、升級規則、降級規則。",""
"22","4418","S084","1. number of queues
2. 每個queue裡搶佔的規則
3. 不同queues之間升降級的規則","3","列出 3 個正確參數：queue 數量、各 queue 的排程規則、升降級規則。",""
"23","6051","S079","the number of queue,
the scheduling algorithm for different queues,
to decide when should we demote a process from a queue,
to decide when should we promote a process into a prior queue.","3","列出 4 個正確參數，超過滿分需求。",""
"24","3798","S122","number of queue
排程演算法
降低時間
multi同時執行
thread更有效率
","2","只有 queue 數量與排程演算法較明確；其餘內容與題目參數不夠對應。",""
"25","2889","S086","number of queue
scheduling algorithm of each queue
method used to determine when to upgrade the process
method used to determine when to demote the process","3","列出 4 個正確參數，超過滿分需求。",""
"26","5099","S052","1. number of queues
2. scheduling algorithms in each queue
3. when to upgrade or demote a process in a queue","3","列出 3 個正確參數：queue 數量、各 queue 演算法、升降級條件。",""
