"index","exam_answer_id","username","original_score","original_feedback"
"1","11797","S109","2.0","async 與 scalability 明確；第3點較不對題"
"2","12978","S015","3.0","3 points: decoupling、async、many-to-many"
"3","14825","S054","3.0","3 points: scalability、decoupling、many-to-many"
"4","13992","S117","3.0","3 points: many-to-many、scalability、decoupling"
"5","12514","S093","3.0","3 points: scalability、async、many-to-many"
"6","13065","S012","3.0","3 points: scalability、async、decoupling"
"7","13017","S108","3.0","3 points: decoupling、scalability、async"
"8","12817","S099","3.0","3 points: scalability、async、many-to-many"
"9","12763","S070","3.0","3 points: scalability、decoupling、async"
"10","14196","S080","3.0","3 points: scalability、decoupling、async"
"11","11793","S003","2.0","scalability、asynchronous 兩點明確；source replication 不算"
"12","13434","S035","3.0","3 points: scalability、decoupling、async"
"13","15031","S037","3.0","3 points: async、many-to-many、scalability"
"14","13254","S097","1.0","僅 scalability 較明確，後兩點不夠對題"
"15","11522","S013","3.0","3 points: scalability、many-to-many、decoupling"
"16","13754","S040","3.0","3 points: async、many-to-many、scalability"
"17","14395","S124","2.0","新增 subscriber 與 one-to-many 兩點較明確；其餘偏泛"
"18","14364","S121","3.0","3 points: many-to-many、scalability、decoupling/transparency"
"19","11933","S068","0.0","非對稱/透明性/自由性 未明確對應本題核心優點"
"20","12750","S102","3.0","3 points: many-to-many、decoupling、scalability"
"21","15207","S034","3.0","3 points: scalability、async、decoupling"
"22","11845","S084","3.0","3 points: decoupling、async、many-to-many"
"23","16080","S079","2.0","many client to many server 與 scalability 較明確；其餘偏穩定/資源描述"
"24","13419","S122","0.0","flexibility / avoid single point / share 未清楚對應核心優點"
"25","13290","S086","1.0","僅有 efficiency / overhead 類描述，未明確對應核心優點"
"26","14072","S052","3.0","3 points: scalability、async、many-to-many"
"27","12966","S033","3.0","3 points: async、many-to-many、scalability"
"28","13647","S123","3.0","3 points: scalability、decoupling、many-to-many"
"29","12651","S027","3.0","3 points: scalability、decoupling、async"
"30","14370","S081","1.0","僅清楚提到 many-to-many，其餘較偏穩定/速度"
"31","14033","S008","3.0","3 points: many-to-many、async、scalability"
"32","12474","S087","2.0","async 與 many-to-many 兩點明確"
"33","13108","S022","0.0","higher safety/redundancy 未對應本題三個核心優點"
"34","13885","S110","3.0","3 points: scalability、many-to-many、decoupling"
"35","14223","S082","3.0","3 points: many-to-many、async、decoupling"
"36","15736","S105","1.0","僅提到 traffic 減少，屬部分相關但不足三點"
"37","12035","S111","3.0","3 points: scalability、decoupling、async"
"38","12862","S085","3.0","3 points: async、decoupling、many-to-many"
"39","13037","S004","3.0","3 points: scalability、decoupling、many-to-many"
"40","12448","S011","2.0","send to all receivers 與較少連線兩點較明確；第3點未作答"
"41","12670","S046","3.0","3 points: decoupling、scalability、many-to-many"
"42","11863","S005","3.0","3 points: scalability、decouple、async"
"43","11681","S014","0.0","內容與本題無關"
"44","12629","S107","3.0","3 points: scalability、decoupling、async"
"45","13319","S126","2.0","decoupling、scalability 兩點明確；第3點未作答"
"46","11003","S017","3.0","4點皆相關；可視為 many-to-many、scalability、async、decoupling"
"47","11856","S115","3.0","3 points: decoupling、async、many-to-many"
"48","12605","S089","3.0","3 points: scalability、many-to-many、async"
"49","15171","S009","1.0","僅明確提到較佳吞吐/擴充性，其餘偏穩定性描述"
"50","13774","S094","3.0","3 points: async、decoupling、scalability"
"51","13631","S066","3.0","3 points: scalability、decoupling、async"
"52","12726","S041","3.0","3 points: scalability、decoupling、async"
"53","15834","S031","3.0","3 points: scalability、decoupling、many-to-many"
"54","12682","S116","3.0","3 points: decoupling、scalability、many-to-many"
"55","13679","S059","3.0","3 points: async、decoupling、scalability"
"56","13792","S064","3.0","3 points: async、decoupling、scalability"
"57","13827","S101","3.0","3 points: async、decoupling、many-to-many"
"58","12851","S103","3.0","3 points: many-to-many、async、decoupling"
"59","11969","S104","3.0","3 points: scalability、many-to-many、async"
"60","13737","S023","3.0","3 points: scalability、decoupling、async、many-to-many"
"61","12573","S113","3.0","4點皆相關；可視為 scalability、many-to-many、decoupling、async"
"62","12962","S055","3.0","3 points: many-to-many、scalability、decoupling/async"
"63","13342","S119","3.0","3 points: scalability、async、many-to-many"
"64","13070","S067","3.0","3 points: decoupling、async、scalability"
"65","14290","S076","3.0","3 points: decoupling、async、many-to-many"
"66","11892","S074","2.0","decoupling、scalability 兩點明確；dynamic network topology 較泛"
