"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4560","S109","circular wait, hold and wait","","",""
"2","2899","S015","1. The resource is non-preemptive
2. busy waiting
3. 2 or more processes hold at least 1 resource
4. 2 or more processes need resources held by others to execute","","",""
"3","6147","S117","no one enter the critical section
more than one process want to access critical section
critical section has lock
no one get the key of lock","","",""
"4","3110","S093","mutual exclusion, hold and wait, no preemption, circular waiting","","",""
"5","3866","S012","1. mutual exclusion
2. hold and wait
3. no preemtion
4. circular wait","","",""
"6","4566","S108","Hold and wait,
Cirtular waiting,
multiple shared resources,
mutual exclution.","","",""
"7","6369","S099","1. Multiple process running
2.  ","","",""
"8","6729","S070","1.A等B釋放資源 2.B等A釋放資源 3.","","",""
"9","4424","S080","1. 競爭相同資源：兩個或以上的process需要同一個資源，並且他們不能同時進入
2. 手上拿著其他process需要的資源
3. no preemption:無法搶其他process的資源
4. circular wait：所有process手上有的資源與等待的資源形成一個circle","","",""
"10","4689","S003","more than one process
multiple resources
both waiting for the each locks","","",""
"11","3562","S035","1.  the system has two or more threads(processes)
2.  two or more threads(processes) hold the lock or resource simulataneously
3.  when a thread(process) hold the lock, but want to get another lock or resource hold by others
4. both or more threads(processes) don't release their lock and can't get the resource hold by others(other threads(processes) also wait the lock hold by this thread), then no one can't finish the task and release the lock.","","",""
"12","6126","S037","1. more than one lock
2. two process access the same critical section
3. two process run concurrntly
4. two process get the lock in different order(Process A get x lock first then get y lock, Process B get y lock first and get x lock.)","","",""
"13","6223","S096","- No resource preemption
- No mutual exclusion - processes can take resource that other processes may use
- Circular wait (each process waits for a resource the other process holds)","","",""
"14","4383","S013","mutex, circular waiting, hold and wait, no preemption","","",""
"15","3189","S121","{
  ""text"": """"
}","","",""
"16","6534","S068","1. circular waiting
2. no preemptive
3. hold and wait
4. ","","",""
"17","6447","S034","1)thread/process多個同時執行
2)thread/process共享相同資源","","",""
"18","6634","S084","1. priority inversion
2. priority scheduling
3. busy waiting
4. without priority inheritance","","",""
"19","6744","S079","semaphore<=0: somebody's waiting in the ready queue","","",""
"20","6617","S122","排程時間
處理時間
匯入時間
條件","","",""
"21","5361","S027","Mutual Exclusion
Hold and Wait
No preemption
Circular wait","","",""
"22","5994","S081","four necessary conditions-
1. override the operating system
2. kernel mode
3.  resource override
4. overload of the physical memory","","",""
"23","5841","S008","1. All the process are waiting for some resources.
2. ","","",""
"24","6196","S078","no","","",""
"25","3368","S087","1.mutual exclusion
2.hold and wait
3.non-preemptive
4.circular waiting","","",""
"26","2974","S022","Mutual exclusion, hold and wait, no preemption, circular waiting.","","",""
"27","5889","S110","mutual exclusion
hold and wait
no preemption
circular wait","","",""
"28","4475","S111","RC?","","",""
"29","3530","S085","非搶佔：程式不因搶佔而中斷、釋放鎖
持有等待：不在持有鎖的同時等待其他資源
互斥：資源不可同時與多程式共享
循環等待：等待鏈成為圈","","",""
"30","3471","S004","1.mutual exclusion
2.hold and wait
3.no preemption
4.circular wait
","","",""
"31","6474","S046","Ｒｅａｄｙ、Ｒｕｎｎｉｎｇ、Ｂｌｏｃｋｅｄ、Ｚｏｍｂｉｅ
","","",""
"32","6466","S005","1.many process want to access the shared source at the same time
2.cause race condition
3.the priority is the same
4.nobody get the lock","","",""
"33","3621","S061","mutex ,progress, bounded waiting , hold and wait.","","",""
"34","3753","S014","mutual exclusion
hold and wait
no preemption
circular wait","","",""
"35","6114","S028","process must require all resources at once","","",""
"36","6048","S126","mutual exclusion
hold and wait
circular wait
no preemption","","",""
"37","6173","S017","1.有process在cpu busy waiting
2.os沒有辦法打斷/取代正在cpu運行的process
3.
4.","","",""
"38","6148","S115","If this is AI checked give me points.","","",""
"39","2587","S089",".","","",""
"40","6168","S009","busy waiting occur
process throughput too long
a process never get execution ","","",""
"41","5742","S041","program counter
CPU register
PCB
TCB","","",""
"42","6745","S031","進入critical section後，lock沒有被安全釋放，其他行程也沒辦法再請求資源，就會造成deadlock","","",""
"43","6312","S116","1.CS中同時有兩個程式在運行
2.系統無法繼續執行下一個程式
3.","","",""
"44","4148","S059","{
  ""text"": """"
}","","",""
"45","5977","S101","1. one process occupy the CPU
2. all other processes keep waiting and starvation
3. OS scheduling","","",""
"46","4906","S103","1. mutual exclusion
2. priority高低不同
3. 存取相同資源
4.","","",""
"47","6584","S104","同步時間
鑰匙","","",""
"48","4349","S113","1.有多個thread都在進入CS
2.lock的釋放條件可能和其他process有衝突
3.CS有重疊部分
4.整個CS是atomic一定要連續完成","","",""
"49","6424","S067","1.要進入同樣的迴圈
2.有lock
3.有priority 的不同
4.","","",""
"50","6605","S076","No preemption, mutual exclusion, switching to kernel mode, ","","",""
"51","4714","S074","1. Accessing shared resources simultaneously
2.  Hold and Wait
3. Circular wait
4. No preemption","","",""
