"index","exam_answer_id","username","original_score","original_feedback"
"1","3989","S109","1.5","4K"
"2","3815","S015","0.0","4096"
"3","3892","S054","0.0","4096"
"4","5108","S117","2.0",""
"5","4101","S093","2.0",""
"6","5378","S012","0.0","4096"
"7","6053","S108","2.0",""
"8","5006","S099","2.0",""
"9","3664","S070","2.0",""
"10","5981","S080","1.5","4K"
"11","2334","S003","2.0",""
"12","5085","S035","2.0",""
"13","5259","S037","1.5","4K"
"14","5039","S096","0.0","4096"
"15","5326","S013","2.0",""
"16","5036","S040","1.5","4K"
"17","5294","S124","0.0","4096"
"18","4826","S121","0.0","4096"
"19","6749","S068","0.0","4096"
"20","3990","S102","0.0","4096"
"21","5314","S034","2.0",""
"22","4531","S084","1.5","4K"
"23","6197","S079","0.0","4096"
"24","4036","S122","1.5","4K"
"25","2762","S086","1.5","4K"
"26","5400","S052","2.0",""
"27","5621","S033","2.0",""
"28","4477","S123","2.0",""
"29","4513","S027","2.0",""
"30","5747","S081","0.0","4096"
"31","5689","S008","2.0",""
"32","2388","S078","0.0","4096"
"33","4054","S087","2.0",""
"34","4030","S022","2.0",""
"35","6579","S110","0.0","4096"
"36","4947","S082","2.0",""
"37","6224","S105","2.0",""
"38","4102","S111","2.0",""
"39","4496","S085","2.0",""
"40","4452","S004","2.0",""
"41","2356","S011","0.0","4096"
"42","4385","S046","2.0",""
"43","5775","S005","2.0",""
"44","2002","S061","2.0",""
"45","3684","S014","2.0",""
"46","4123","S028","2.0",""
"47","3473","S107","0.0","4096"
"48","4549","S126","2.0",""
"49","3759","S017","2.0",""
"50","5498","S115","2.0",""
"51","3082","S089","2.0",""
"52","3630","S009","2.0",""
"53","2502","S094","0.0","4096"
"54","6370","S066","2.0",""
"55","3022","S041","2.0",""
"56","5483","S031","2.0",""
"57","2873","S116","2.0",""
"58","5094","S059","0.0","4096"
"59","3797","S064","0.0","4096"
"60","4671","S101","2.0",""
"61","6311","S103","0.0","4096"
"62","4048","S104","2.0",""
"63","5479","S023","2.0",""
"64","4204","S113","2.0",""
"65","4829","S055","2.0",""
"66","4746","S119","2.0",""
"67","5743","S067","0.0","4K"
"68","6378","S076","0.0","4096"
"69","2240","S074","0.0","4096"
"70","3875","S063","2.0",""
"71","4656","S090","2.0",""
"72","2406","S100","2.0",""
"73","4892","S114","2.0",""
"74","2687","S038","2.0",""
"75","5186","S047","2.0",""
"76","4817","S044","2.0",""
"77","4790","S075","2.0",""
"78","4318","S030","0.0","4096"
"79","5310","S106","2.0",""
"80","6375","S019","2.0",""
"81","3629","S020","2.0",""
"82","2190","S010","2.0",""
"83","5779","S091","0.0","4096"
"84","5533","S051","0.0","4096"
"85","3177","S039","2.0",""
"86","4091","S018","2.0",""
"87","4408","S049","2.0",""
"88","5568","S053","2.0",""
"89","5166","S092","2.0",""
"90","4491","S125","2.0",""
"91","6463","S021","2.0",""
"92","6043","S050","2.0",""
"93","4913","S036","2.0",""
"94","4642","S048","2.0",""
"95","4210","S112","0.0","4096"
"96","3908","S006","2.0",""
"97","5647","S026","2.0",""
"98","5421","S032","0.0","4096"
"99","6608","S057","2.0",""
"100","6545","S002","2.0",""
"101","4288","S007","0.0","4096"
"102","6497","S016","2.0",""
"103","6567","S083","0.0","4096"
"104","4767","S088","2.0",""
"105","5902","S058","2.0",""
"106","5242","S043","2.0",""
"107","4487","S060","2.0",""
"108","4166","S024","2.0",""
"109","6441","S095","2.0",""
"110","4002","S077","2.0",""
"111","4252","S120","0.0","4096"
"112","3936","S073","2.0",""
"113","4188","S069","2.0",""
"114","2280","S072","2.0",""
"115","3817","S042","1.5","4K"
"116","4350","S071","2.0",""
"117","6232","S062","2.0",""
"118","5243","S045","2.0",""
"119","3940","S056","2.0",""
"120","6178","S029","2.0",""
"121","5079","S065","2.0",""
"122","6607","S025","2.0",""
"123","5382","S098","0.0","4096"
