question_order,question_label,max_score,exam_answer_id,username,original_score,deepseek-v4-flash,deepseek-v4-pro,pro_minus_flash,flash_minus_baseline,pro_minus_baseline
6,Q6 List methods,4.0,11100,S115,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11177,S124,4.0,3.0,3.0,0.0,-1.0,-1.0
6,Q6 List methods,4.0,11243,S003,2.0,2.0,2.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11255,S084,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11327,S014,2.0,3.0,3.0,0.0,1.0,1.0
6,Q6 List methods,4.0,11331,S005,2.0,2.0,2.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11373,S111,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11377,S114,3.0,3.0,3.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11458,S020,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11528,S125,0.0,0.0,0.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11549,S051,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11562,S106,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11564,S113,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11566,S042,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11583,S103,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11584,S024,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11591,S060,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11626,S043,0.0,0.0,0.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11628,S108,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11630,S027,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11634,S093,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11642,S120,4.0,3.0,4.0,1.0,-1.0,0.0
6,Q6 List methods,4.0,11644,S049,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11651,S046,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11669,S116,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11671,S102,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11679,S006,3.0,3.0,3.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11685,S099,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11689,S012,3.0,3.0,2.0,-1.0,0.0,-1.0
6,Q6 List methods,4.0,11690,S085,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11710,S089,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11718,S092,2.0,1.0,1.0,0.0,-1.0,-1.0
6,Q6 List methods,4.0,11731,S088,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11743,S018,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11754,S107,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11763,S010,2.0,2.0,2.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11766,S004,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11769,S015,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11782,S030,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11786,S034,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11796,S126,3.0,3.0,3.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11800,S075,0.0,0.0,0.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11801,S091,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11803,S070,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11807,S050,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11810,S119,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11814,S069,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11822,S090,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11823,S101,3.0,4.0,4.0,0.0,1.0,1.0
6,Q6 List methods,4.0,11826,S019,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11837,S086,1.0,1.0,1.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11838,S007,1.0,1.0,1.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11855,S041,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11869,S033,2.0,2.0,2.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11874,S112,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11888,S036,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11894,S053,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11898,S047,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11899,S048,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11910,S095,3.0,3.0,3.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11915,S067,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11916,S055,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11928,S077,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11934,S065,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11944,S079,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11958,S117,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11979,S071,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,11984,S063,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12010,S072,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12013,S057,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12017,S094,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12039,S064,0.0,0.0,0.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12040,S073,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12056,S045,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12091,S035,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12119,S082,4.0,3.0,3.0,0.0,-1.0,-1.0
6,Q6 List methods,4.0,12124,S040,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12128,S008,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12135,S023,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12159,S059,4.0,4.0,4.0,0.0,0.0,0.0
6,Q6 List methods,4.0,12167,S052,4.0,4.0,4.0,0.0,0.0,0.0
