"index","exam_answer_id","username","original_score","original_feedback"
"1","3715","S109","2.0",""
"2","3570","S015","2.0",""
"3","4908","S054","1.5",""
"4","4649","S117","2.0",""
"5","3900","S093","2.0",""
"6","4876","S012","2.0",""
"7","5575","S108","2.0",""
"8","4347","S099","2.0",""
"9","4158","S070","2.0",""
"10","5398","S080","2.0",""
"11","2720","S003","2.0",""
"12","4493","S035","2.0",""
"13","5589","S037","2.0",""
"14","4485","S096","2.0",""
"15","4896","S013","2.0",""
"16","4663","S040","2.0",""
"17","2581","S124","2.0",""
"18","4172","S121","2.0",""
"19","5451","S068","2.0",""
"20","5622","S102","2.0",""
"21","6292","S034","2.0",""
"22","6119","S084","2.0",""
"23","5883","S079","2.0",""
"24","4936","S122","1.5",""
"25","5601","S086","2.0",""
"26","4819","S052","2.0",""
"27","5127","S033","2.0",""
"28","4167","S027","2.0",""
"29","5921","S081","1.0",""
"30","5174","S008","2.0",""
"31","6104","S078","2.0",""
"32","3661","S087","2.0",""
"33","3663","S022","2.0",""
"34","6440","S110","2.0",""
"35","4369","S082","1.5",""
"36","5873","S105","2.0",""
"37","3897","S111","2.0",""
"38","4035","S085","2.0",""
"39","5150","S004","2.0",""
"40","3140","S011","2.0",""
"41","6561","S046","1.0",""
"42","2370","S005","2.0",""
"43","4128","S061","1.0",""
"44","4994","S014","2.0",""
"45","3800","S028","2.0",""
"46","3156","S107","1.5",""
"47","4269","S126","2.0",""
"48","4321","S017","2.0",""
"49","5130","S115","2.0",""
"50","2939","S089","2.0",""
"51","5488","S009","2.0",""
"52","2967","S094","1.5",""
"53","6722","S066","2.0",""
"54","2713","S041","2.0",""
"55","4974","S031","2.0",""
"56","3742","S116","2.0",""
"57","4738","S059","2.0",""
"58","4081","S101","2.0",""
"59","5919","S103","2.0",""
"60","4810","S104","2.0",""
"61","6361","S023","1.0",""
"62","2867","S113","2.0",""
"63","4558","S055","2.0",""
"64","4179","S119","2.0",""
"65","5139","S067","2.0",""
"66","6111","S076","2.0",""
"67","2395","S074","2.0",""
"68","3633","S063","2.0",""
"69","4501","S090","2.0",""
"70","3431","S100","2.0",""
"71","4189","S114","2.0",""
"72","2654","S038","2.0",""
"73","4877","S047","2.0",""
"74","4290","S044","2.0",""
"75","4195","S075","2.0",""
"76","4006","S030","2.0",""
"77","4925","S106","2.0",""
"78","4611","S019","2.0",""
"79","3365","S020","2.0",""
"80","2504","S010","2.0",""
"81","4411","S091","1.0",""
"82","5179","S051","2.0",""
"83","5934","S039","2.0",""
"84","3739","S018","2.0",""
"85","4003","S049","2.0",""
"86","5171","S053","2.0",""
"87","4627","S092","2.0",""
"88","3994","S125","2.0",""
"89","6559","S021","1.0",""
"90","5111","S050","2.0",""
"91","3651","S036","0.5",""
"92","4343","S048","1.5",""
"93","4921","S112","2.0",""
"94","3538","S006","2.0",""
"95","5115","S026","1.0",""
"96","6585","S002","1.5",""
"97","5018","S007","2.0",""
"98","6313","S016","2.0",""
"99","6316","S083","0.0",""
"100","4126","S088","2.0",""
"101","5441","S058","2.0",""
"102","6539","S043","1.0",""
"103","4162","S060","2.0",""
"104","3788","S024","2.0",""
"105","6372","S095","2.0",""
"106","3692","S077","2.0",""
"107","3886","S120","2.0",""
"108","4344","S073","2.0",""
"109","3834","S069","2.0",""
"110","2671","S072","2.0",""
"111","3422","S042","2.0",""
"112","5251","S071","2.0",""
"113","5958","S062","2.0",""
"114","4695","S045","2.0",""
"115","4929","S056","2.0",""
"116","5437","S029","2.0",""
"117","4447","S065","2.0",""
"118","6503","S025","2.0",""
"119","4859","S098","2.0",""
