"index","exam_answer_id","username","original_score","original_feedback"
"1","12701","S109","2.0","SI-LB 描述正確且指出 RI-LB 表現較好，但 RI-LB 描述有誤（提到詢問 underloaded node）"
"2","11904","S015","2.0","SI-LB 描述正確且指出 RI-LB 在 heavy load 較好，但未描述 RI-LB 機制"
"3","16061","S054","1.0","僅指出 RI-LB 在 heavy load 下維持效能，未描述兩種演算法"
"4","12077","S117","3.0",""
"5","11775","S093","3.0",""
"6","11756","S012","2.0","SI-LB 描述正確且指出 RI-LB 較好，但未描述 RI-LB 機制"
"7","11975","S108","3.0",""
"8","11870","S099","3.0",""
"9","11981","S070","3.0",""
"10","12697","S080","3.0",""
"11","12442","S003","3.0",""
"12","12275","S035","3.0",""
"13","12842","S037","2.0","SI-LB 描述正確且指出 RI-LB，但未描述 RI-LB 機制"
"14","12320","S097","1.0","僅指出 RI-LB 在 heavy load 下較好，兩種演算法描述皆不準確"
"15","13369","S013","3.0",""
"16","12404","S040","3.0",""
"17","11228","S124","3.0",""
"18","12390","S121","3.0",""
"19","15979","S068","1.0","僅說 RI-LB 較好，未描述兩種演算法"
"20","11806","S102","3.0",""
"21","11902","S034","3.0",""
"22","11334","S084","3.0",""
"23","12127","S079","3.0",""
"24","12470","S122","2.0","SI-LB 與 RI-LB 描述正確，但錯誤總結為 SI-LB 在 heavy load 下較好"
"25","11908","S086","3.0",""
"26","12392","S052","3.0",""
"27","11991","S033","1.0","僅指出 RI-LB，未正確描述兩種演算法機制"
"28","12425","S123","3.0",""
"29","11778","S027","3.0",""
"30","12786","S081","0.0","描述混淆且錯誤指出 SI-LB 在 heavy load 下維持效能"
"31","12344","S008","3.0",""
"32","12942","S022","1.0","SI-LB/RI-LB 描述不正確，僅指出 RI-LB"
"33","12807","S110","1.0","僅回答 RI-LB，未描述兩種演算法"
"34","12368","S082","1.0","描述 RI-LB 機制但未描述 SI-LB，也未回答 heavy load 下誰表現較好"
"35","12293","S105","1.0","僅回答 Receiver-Initiated LB，未描述兩種演算法"
"36","11425","S111","2.0","RI-LB 描述正確且指出 heavy load 下表現較好，但未描述 SI-LB 機制"
"37","11790","S085","3.0",""
"38","11911","S004","3.0",""
"39","11879","S011","1.0","僅回答 Receiver-Initiated，未描述兩種演算法"
"40","11785","S046","1.0","僅回答 RI-LB 在 heavy load 下維持效能，未描述兩種演算法"
"41","11388","S005","1.0","僅回答 Receiver-Initiated 並說明原因，未描述兩種演算法"
"42","11338","S014","1.0","僅回答 RI-LB 在 heavy load 下維持效能，未描述兩種演算法"
"43","11836","S107","2.0","RI-LB 描述正確且指出 RI-LB 在 heavy load 較好，但未描述 SI-LB"
"44","11997","S126","3.0",""
"45","14028","S017","3.0",""
"46","11258","S115","3.0",""
"47","11780","S089","2.0","SI-LB 與 RI-LB 描述正確，但錯誤指出 RI-LB 在 underloaded 下維持效能（題目問 heavy load）"
"48","11862","S009","2.0","SI-LB 描述正確且指出 RI-LB 在 heavy load 較好，但 RI-LB 描述混淆"
"49","12258","S094","1.0","僅指出 RI-LB 在 heavy load 下不降效能，未描述兩種演算法"
"50","12659","S066","3.0",""
"51","11914","S041","3.0",""
"52","14280","S031","3.0",""
