"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","13010","S109","他會降低cache miss: 因為不用到處去要data, data 直接就在附近
會降低TLB miss: 各個cpu有各自獨立的TLB
但不會影響page fault: 這些cpu通常都共享同個 ram ，而page 就在裡面，所以不影響","3","",""
"2","11335","S015","Affinity scheduling may reduce the miss rate of cache and TLB. It is likely that the instructions or data of the last some tasks are still in the cache and TLB. With affinity scheduling, we can reuse these datas and prevent the cold start miss.
However, page faults can't be prevented by affinity scheduling. Page fault means the needed page isn't in the main memory, so whatever CPU the task uses, page fault always happens.","3","",""
"3","16173","S054","good for  page faults
no influence for  TLB misses
bad for cache misses
","0","三點皆錯：affinity scheduling 應降低 cache misses 與 TLB misses，且不影響 page faults",""
"4","11355","S117","cache misses降低，因為affinity scheduling優先執行佔據cache較多的work
TLB misses降低，affinity scheduling assign right process to right cpu, 需要的data大部分已在CPU
page faults不會降低，因為在SMP裡，data不是存在共用的memory就是存在更下一階的儲存裝置","3","",""
"5","11268","S093","1. 可以降低cache misses
2. 可以降低TLB misses
3. 對於page fault沒有影響","3","",""
"6","11159","S012","a process data may has some cache data in the core it just switched from, if we run the process on the core it just switched from, it can use data in the cache. If run the process in other core, it could generate cache misses, tlb miss, and page fault","2","page fault 應不受影響，學生認為會改善",""
"7","11173","S108","cache misses and TLB misses will be reduced, since it allows threads to run on the processor it previously run.
page fault will not be redueced, since pages should be stored in secondary storage, unrelated of where does the thread run.","3","",""
"8","11250","S099","1. TLB 是在 CPU 內的硬體，affinity scheduling 可以降低 cache misses 和 TLB mises
2. Page fault 發生的原因是因為資料不在主記憶體，需要去 disk 找，且在 MP System 中每個 processes 共用主記憶體，affinity scheduling 不影響 page faults。","3","",""
"9","11325","S070","affinity scheduling 可以減少cache misses and TLB misses，因為他是讓threads能盡量回到上一個cpu，可以重複利用之前cache留下來的data跟TLB，但不影響page faults，因為memory是所有cpu共享的。
","3","",""
"10","11343","S080","affinity scheduling may impact cache misses, TLB misses, but won't impact page fault.
when a thread is executing, the cache may store data and information related to the thread, thus if the processor change to execute other thread which is nothing to do with the previous thread, the cache and TLB in the same cpu may miss more, that's why need the affinity scheduling. but the paging is shared by the same RAM, so it has nothing to do with the affinity scheduling.","3","",""
"11","11039","S003","improve cache misses, TLB misses, but nothing with page faults","3","",""
"12","11405","S035","1. affinity scheduling reduce cache misses because the thread/processor is executed on the right processor which preserve the cache data, executing on it again can use the cache data, which reduce the cache miss.
2. affinity scheduling reduce TLB misses, because the thread/processor executed on the right processor also can use the data in TLB. which reduce the TLB misses.
3. affinity scheduling doesn't influence page fault rate, because the page is either in shared physical RAM or backing storage.","3","",""
"13","11717","S037","First, it may decrease cache misses because the process has affinity to the cpu which create the process. It may be the same in TLB misses, the process may be flush when it is not running. Last, the page fault may be no big difference in UMA but can be better in NUMA system, UMA system share a large shared memory. NUMA which each cpu has own memory takes advantage of affinity.  ","3","",""
