"index","exam_answer_id","username","original_score","original_feedback"
"1","13125","S109","2.0",""
"2","11168","S015","2.0",""
"3","14179","S054","0.0",""
"4","11121","S117","2.0",""
"5","11080","S093","2.0",""
"6","10978","S012","2.0",""
"7","11028","S108","2.0",""
"8","11106","S099","2.0",""
"9","11207","S070","2.0",""
"10","11125","S080","2.0",""
"11","11004","S003","2.0",""
"12","11225","S035","2.0",""
"13","11454","S037","2.0",""
"14","11170","S097","2.0",""
"15","14863","S013","2.0",""
"16","11275","S040","2.0",""
"17","11034","S124","2.0",""
"18","11254","S121","2.0",""
"19","11074","S068","2.0",""
"20","11164","S102","2.0",""
"21","11204","S034","2.0",""
"22","10952","S084","2.0",""
"23","11136","S079","2.0",""
"24","12957","S122","0.5",""
"25","11127","S086","2.0",""
"26","11203","S052","2.0",""
"27","11054","S033","2.0",""
"28","11305","S123","2.0",""
"29","11069","S027","2.0",""
"30","12295","S081","0.5",""
"31","11160","S008","2.0",""
"32","14403","S078","0.0",""
"33","11120","S087","2.0",""
"34","10887","S022","0.0",""
"35","12093","S110","2.0",""
"36","11181","S082","2.0",""
"37","11117","S105","2.0",""
"38","10976","S111","2.0",""
"39","11130","S085","2.0",""
"40","11078","S004","2.0",""
"41","11089","S046","2.0",""
"42","11046","S005","2.0",""
"43","11081","S014","2.0",""
"44","11131","S107","2.0",""
"45","11219","S126","2.0",""
"46","12576","S017","2.0",""
"47","10931","S115","2.0",""
"48","11286","S089","2.0",""
"49","11058","S009","2.0",""
"50","11369","S094","2.0",""
"51","11824","S066","2.0",""
"52","11087","S041","2.0",""
"53","12804","S031","2.0",""
"54","11043","S116","2.0",""
"55","11167","S059","2.0",""
"56","11460","S064","1.0",""
"57","11128","S101","2.0",""
"58","11119","S103","2.0",""
"59","15451","S104","2.0",""
"60","11062","S023","2.0",""
"61","11053","S113","2.0",""
"62","11101","S055","2.0",""
"63","10973","S119","2.0",""
"64","11161","S067","2.0",""
"65","11674","S076","2.0",""
"66","13396","S074","2.0",""
"67","11278","S063","2.0",""
"68","11175","S090","2.0",""
"69","12440","S100","2.0",""
"70","11016","S114","2.0",""
"71","10940","S038","2.0",""
"72","11185","S047","2.0",""
"73","11650","S044","2.0",""
"74","11110","S075","2.0",""
"75","11196","S030","2.0",""
"76","11064","S106","2.0",""
"77","11035","S019","2.0",""
"78","10967","S020","2.0",""
"79","11221","S010","2.0",""
"80","11280","S091","2.0",""
"81","10985","S051","2.0",""
"82","13746","S039","2.0",""
"83","11092","S018","2.0",""
"84","11126","S049","2.0",""
"85","11109","S053","2.0",""
"86","11024","S092","2.0",""
"87","10982","S125","0.0",""
"88","13173","S021","0.0",""
"89","11145","S050","2.0",""
"90","11152","S036","2.0",""
"91","11002","S048","2.0",""
"92","11312","S112","2.0",""
"93","11061","S006","2.0",""
"94","11257","S057","2.0",""
"95","13430","S002","2.0",""
"96","11198","S007","2.0",""
"97","12646","S016","2.0",""
"98","11597","S083","2.0",""
"99","11149","S088","2.0",""
"100","11585","S058","2.0",""
"101","10966","S043","2.0",""
"102","11096","S060","2.0",""
"103","11052","S024","2.0",""
"104","11077","S095","2.0",""
"105","11310","S077","2.0",""
"106","11009","S120","2.0",""
"107","11259","S073","2.0",""
"108","11281","S069","2.0",""
"109","11151","S072","2.0",""
"110","11083","S042","2.0",""
"111","11296","S071","2.0",""
"112","11169","S062","2.0",""
"113","11233","S045","2.0",""
"114","11955","S056","2.0",""
"115","11137","S128","2.0",""
"116","11141","S029","2.0",""
"117","11114","S065","2.0",""
"118","11324","S098","2.0",""
