"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12287","S109","發布者和訂閱者不能直接做溝通，發布者需要通過中介者: broker 來傳遞消息
(1) 會先建立一個 channel ，就相當於建立一個相關群組
(2) 訂閱者會通過訂閱自己有興趣的主題來接收訊息
(3) 發布者發布消息之後，會藉由 broker 來 foward 消息","1","有提到 channel→group 與 subscribe→join，但 publish 部分描述為透過 broker 而非 group multicast，不完整",""
"2","12261","S015","A channel based pub./sub. system is that publishers send messages to channel, and the channel sends it to the receiver which is interested in it.
To implement it by group communication, we can set all the receivers that are interested in one topic to a group. And the group could be viewed as a channel. The publishers send message to the group, and the group sends it to all members.","2","清楚涵蓋 channel→group、subscribe→group member、publish→send to group 三點",""
"3","15837","S054"," channel-based publish/subscribe system在實行時，任何發布群組訊息都會讓有訂閱該群組頻道者接收到","0","過於空泛，未說明 channel/group/subscribe/publish 間的對應關係",""
"4","12895","S117","在創建channel時就創一個group，將所有subscribers加入這個group，publisher如果要在這個channel發送message，就向這個group發送。如果有新的subscriber，將其加入這個group。","2","清楚說明 channel→group、subscribe→join、publish→send to group",""
"5","12485","S093","在group communication中，在一個close group中只有該group中的人可以在此group發布message，因此group communication去實作 channel-based publish/subscribe system，可以讓publisher有一個channel(group)，而publisher可以在該group中發message所有的subscriber都會收到message，這樣就能完成 channel-based publish/subscribe system","2","涵蓋 channel→group、publish→send to group、subscriber 收到訊息三概念",""
"6","15401","S012","the publisher sends message to the channel, and the middleware sends the message to all subscribers or the subscribers can poll the channel regularly ot fetch the message","0","僅描述基本 pub/sub（publisher→channel→subscriber），未提及 group communication",""
"7","12385","S108","首先先建立 channel，並且同時建立 group，subscribe 的方式就是讓 process 加入此 group，而 sender 只需要對此 group 發出訊息，所有 subscriber 皆會收到。 ","2","清楚說明 channel→group、subscribe→join group、publish→send to group",""
"8","12300","S070","增加新的channel的時候就新增一個group，如果有其他人要加入這個channel就加入那個group，publish的時候就可以一起寄給group裡面的所有人","2","涵蓋 channel→group、subscribe→join group、publish→send to group",""
"9","16101","S080","a channel-based publisher can publish the information and the brocker can deliver message to all subscriber in the channel.","0","僅描述 broker 傳遞訊息，未提及 group communication 的 mapping",""
"10","11376","S003","source and data are published to a channel and subscribers can subscribe the channel and get the source. Imagine creating a specific channel as creating an associated group and joining the group through subscribing it.","1","有說明 channel→group 與 subscribe→join，但缺少 publish 如何對應 group communication",""
"11","12729","S035","The publisher can send the message to the group, and the subscriber who want to get the publisher's message(or the subscriber wants the message from the publisher, just like channel-based system)  join the group. when the publisher send the message to the group, all the members in the group will get the message, which is like the operation of channel-based publish/subscribe system.","2","清楚說明 publisher→group、subscribe→join、所有成員接收訊息",""
"12","13558","S037","We can group the subscriber with the same subscribe channel in one group. If publishers push new messages to the channel, the middleware can notify all of the subscriber by multicasting the group.","2","說明相同 channel 的 subscriber 成一 group，publish→multicast to group",""
"13","12620","S097","1. Subscribe can be implemented by joining the group
2. Publish can be implemented by sending message to the group","1","涵蓋 subscribe→join group 與 publish→send to group，但未明確說 channel→group 映射",""
"14","12733","S013","Establishing two groups for publishers and subscribers with communication channel. If it is interested in the publish of the publishers,  it can be added into the group of the subscribers. Then, the publishers send message directly by the communication channel, so the subscribers can receive the message.","0","描述混淆（建立兩個 group），未正確說明 channel-based pub/sub 的 group communication 映射",""
"15","12992","S040","a channel as a group, if someone subscribe a channel, add it into the group, and if publisher publish something, brocast it to the group","2","清楚說明 channel→group、subscribe→add to group、publish→broadcast to group",""
"16","11313","S124","In a channel-based publish/subscribe system, a group of recipients is subscribes to a channel, waiting for the publisher to publish something on said channel. To implement this, we could simply implement the group of subscribers as a multicast group and have the sender use multicasting to publish something by sending the data to the group as a multicast ","2","清楚說明 subscriber 為 multicast group，publish→multicast to group",""
"17","13069","S121","In channel-based pub/sub, processes can subscribe to a named-channel and then received a publication from other processes that publish on the named-channel. It can be implemented such as :
- to create a new named-channel, it creates a new group.
- to subscribe a process to a named-channel, it adds the process to the associated group.
- to publish on a named-channel, it sends a message to the group.","2","三點皆清楚說明：channel→group、subscribe→add to group、publish→send to group",""
"18","16204","S068","因為這樣可以解決不同步 clock 造成收發訊息拖累整體效能的問題","0","回答與題目無關（時鐘同步問題）",""
"19","12217","S102","訂閱channel = join the group
publish a message to channel = sent message to the group
subscribe channel  = receive message from the group","1","有 subscribe→join group 與 publish→send to group，但 channel→group 不明確，且 subscribe 定義重複",""
"20","12319","S034","event發布，在特定channel裡面的subscriber可以收到訊息，建立channel就是建立associated group，subscriber就是group的成員。","2","清楚說明 channel→group、subscriber→group member、publish→receive via channel/group",""
