"index","exam_answer_id","username","original_score","original_feedback"
"1","13010","S109","3.0",""
"2","11335","S015","3.0",""
"3","16173","S054","0.5",""
"4","11355","S117","3.0",""
"5","11268","S093","3.0",""
"6","11159","S012","2.5",""
"7","11173","S108","3.0",""
"8","11250","S099","3.0",""
"9","11325","S070","3.0",""
"10","11343","S080","3.0",""
"11","11039","S003","3.0",""
"12","11405","S035","3.0",""
"13","11717","S037","3.0",""
"14","11588","S097","3.0",""
"15","14402","S013","3.0",""
"16","11472","S040","3.0",""
"17","12246","S124","3.0",""
"18","11495","S121","3.0",""
"19","13738","S068","3.0",""
"20","11271","S102","3.0",""
"21","14867","S034","3.0",""
"22","11010","S084","3.0",""
"23","11274","S079","3.0",""
"24","15233","S122","0.0",""
"25","11304","S086","3.0",""
"26","11485","S052","3.0",""
"27","11285","S033","3.0",""
"28","11609","S123","3.0",""
"29","11270","S027","3.0",""
"30","12355","S081","2.0",""
"31","11554","S008","3.0",""
"32","13357","S087","3.0",""
"33","12241","S110","3.0",""
"34","11385","S082","3.0",""
"35","15278","S105","1.5",""
"36","11140","S111","3.0",""
"37","11220","S085","3.0",""
"38","11289","S004","2.5",""
"39","11282","S046","3.0",""
"40","11071","S005","3.0",""
"41","15808","S014","3.0",""
"42","11326","S107","3.0",""
"43","11487","S126","3.0",""
"44","12861","S017","3.0",""
"45","12447","S115","3.0",""
"46","11406","S089","3.0",""
"47","11348","S009","1.5",""
"48","11532","S094","3.0",""
"49","11957","S066","3.0",""
"50","13171","S041","3.0",""
"51","13084","S031","3.0",""
"52","11134","S116","3.0",""
"53","11606","S059","3.0",""
"54","11617","S064","3.0",""
"55","11350","S101","3.0",""
"56","11183","S103","3.0",""
"57","15132","S104","3.0",""
"58","11357","S023","3.0",""
"59","11157","S113","3.0",""
"60","11283","S055","3.0",""
"61","11260","S119","3.0",""
"62","11436","S067","3.0",""
"63","11954","S076","3.0",""
"64","16151","S074","3.0",""
"65","11533","S063","3.0",""
"66","11478","S090","3.0",""
"67","13075","S100","3.0",""
"68","11135","S114","3.0",""
"69","12462","S038","3.0",""
"70","11347","S047","3.0",""
"71","11947","S044","3.0",""
"72","11172","S075","3.0",""
"73","11256","S030","3.0",""
"74","11193","S106","3.0",""
"75","11245","S019","3.0",""
"76","11079","S020","3.0",""
"77","11364","S010","3.0",""
"78","11381","S091","3.0",""
"79","11143","S051","3.0",""
"80","11293","S018","3.0",""
"81","11208","S049","3.0",""
"82","11397","S053","3.0",""
"83","11269","S092","3.0",""
"84","11091","S125","3.0",""
"85","10909","S021","2.0",""
"86","11311","S050","3.0",""
"87","11318","S036","3.0",""
"88","11147","S048","3.0",""
"89","11441","S112","3.0",""
"90","11215","S006","3.0",""
"91","11513","S057","2.5",""
"92","13634","S002","3.0",""
"93","11301","S007","3.0",""
"94","12974","S016","3.0",""
"95","16202","S083","3.0",""
"96","11294","S088","3.0",""
"97","11815","S058","3.0",""
"98","11239","S043","3.0",""
"99","11309","S060","3.0",""
"100","11212","S024","3.0",""
"101","11337","S095","3.0",""
"102","11519","S077","3.0",""
"103","11201","S120","3.0",""
"104","11433","S073","3.0",""
"105","11384","S069","3.0",""
"106","11514","S072","3.0",""
"107","11209","S042","3.0",""
"108","11515","S071","3.0",""
"109","11354","S062","3.0",""
"110","11352","S045","3.0",""
"111","12203","S056","3.0",""
"112","12656","S128","1.5",""
"113","11300","S029","3.0",""
"114","11321","S065","3.0",""
"115","11598","S098","3.0",""
